home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,day_of_week,month,year
France,Belgium,3,3,Friendly,Colombes,France,False,D,Sunday,October,1948
Poland,Finland,1,0,Friendly,Warsaw,Poland,False,H,Sunday,October,1948
Trinidad and Tobago,Haiti,0,0,Friendly,Port of Spain,Trinidad and Tobago,False,D,Saturday,October,1948
Wales,Scotland,1,3,British Championship,Cardiff,Wales,False,A,Saturday,October,1948
Romania,Hungary,1,5,Balkan Cup,Bucharest,Romania,False,A,Sunday,October,1948
Trinidad and Tobago,Haiti,4,0,Friendly,Port of Spain,Trinidad and Tobago,False,H,Wednesday,October,1948
Iran,Turkey,1,1,Friendly,Teheran,Iran,False,D,Thursday,October,1948
Trinidad and Tobago,Haiti,4,0,Friendly,Port of Spain,Trinidad and Tobago,False,H,Saturday,October,1948
Czechoslovakia,Austria,3,1,International Cup,Bratislava,Czechoslovakia,False,H,Sunday,October,1948
Bulgaria,Hungary,1,0,Balkan Cup,Sofia,Bulgaria,False,H,Sunday,November,1948
England,Wales,1,0,British Championship,Birmingham,England,False,H,Wednesday,November,1948
Austria,Sweden,2,1,Friendly,Vienna,Austria,False,H,Sunday,November,1948
Scotland,Northern Ireland,3,2,British Championship,Glasgow,Scotland,False,H,Wednesday,November,1948
Belgium,Netherlands,1,1,Friendly,Antwerp,Belgium,False,D,Sunday,November,1948
Turkey,Greece,2,1,Friendly,Istanbul,Turkey,False,H,Sunday,November,1948
England,Switzerland,6,0,Friendly,London,England,False,H,Thursday,December,1948
Republic of Ireland,Switzerland,0,1,Friendly,Dublin,Éire,False,A,Sunday,December,1948
Dominica,Martinique,0,6,Friendly,Basse-Terre,Guadeloupe,True,A,Thursday,December,1948
Guadeloupe,Haiti,1,0,Friendly,Pointe-à-Pitre,Guadeloupe,False,H,Thursday,December,1948
Guadeloupe,French Guiana,7,2,Friendly,Pointe-à-Pitre,Guadeloupe,False,H,Saturday,December,1948
Martinique,Suriname,4,3,Friendly,Basse-Terre,Guadeloupe,True,H,Saturday,December,1948
Guadeloupe,Martinique,3,0,Friendly,Pointe-à-Pitre,Guadeloupe,False,H,Monday,December,1948
Egypt,Norway,1,1,Friendly,Cairo,Egypt,False,D,Friday,December,1948
China PR,South Korea,3,2,Friendly,So Kon Po,Hong Kong,True,H,Sunday,January,1949
Spain,Belgium,1,1,Friendly,Barcelona,Spain,False,D,Sunday,January,1949
Vietnam,South Korea,3,3,Friendly,Saigon,Vietnam,False,D,Sunday,January,1949
Macau,South Korea,1,5,Friendly,Macau,Macau,False,A,Tuesday,January,1949
Italy,Portugal,4,1,Friendly,Genoa,Italy,False,H,Sunday,February,1949
Northern Ireland,Wales,0,2,British Championship,Belfast,Northern Ireland,False,A,Wednesday,March,1949
Netherlands,Belgium,3,3,Friendly,Amsterdam,Netherlands,False,D,Sunday,March,1949
Austria,Turkey,1,0,Friendly,Vienna,Austria,False,H,Sunday,March,1949
Portugal,Spain,1,1,Friendly,Oeiras,Portugal,False,D,Sunday,March,1949
Czechoslovakia,Luxembourg,2,2,Friendly,Bratislava,Czechoslovakia,False,D,Wednesday,March,1949
Spain,Italy,1,3,Friendly,Madrid,Spain,False,A,Sunday,March,1949
Brazil,Ecuador,9,1,Copa América,Rio de Janeiro,Brazil,False,H,Sunday,April,1949
Switzerland,Austria,1,2,International Cup,Lausanne,Switzerland,False,A,Sunday,April,1949
Bolivia,Chile,3,2,Copa América,São Paulo,Brazil,True,H,Wednesday,April,1949
Colombia,Paraguay,0,3,Copa América,São Paulo,Brazil,True,A,Wednesday,April,1949
England,Scotland,1,3,British Championship,London,England,False,A,Saturday,April,1949
Brazil,Bolivia,10,1,Copa América,São Paulo,Brazil,False,H,Sunday,April,1949
Colombia,Peru,0,4,Copa América,Rio de Janeiro,Brazil,True,A,Sunday,April,1949
Czechoslovakia,Hungary,5,2,International Cup,Prague,Czechoslovakia,False,H,Sunday,April,1949
Ecuador,Paraguay,0,1,Copa América,Rio de Janeiro,Brazil,True,A,Sunday,April,1949
Brazil,Chile,2,1,Copa América,São Paulo,Brazil,False,H,Wednesday,April,1949
Ecuador,Uruguay,2,3,Copa América,Rio de Janeiro,Brazil,True,A,Wednesday,April,1949
Paraguay,Peru,3,1,Copa América,Rio de Janeiro,Brazil,True,H,Wednesday,April,1949
Bolivia,Uruguay,3,2,Copa América,Rio de Janeiro,Brazil,True,H,Sunday,April,1949
Brazil,Colombia,5,0,Copa América,São Paulo,Brazil,False,H,Sunday,April,1949
Chile,Ecuador,1,0,Copa América,São Paulo,Brazil,True,H,Sunday,April,1949
Chile,Colombia,1,1,Copa América,Rio de Janeiro,Brazil,True,D,Wednesday,April,1949
Ecuador,Peru,0,4,Copa América,Rio de Janeiro,Brazil,True,A,Wednesday,April,1949
Haiti,Trinidad and Tobago,2,2,Friendly,Port-au-Prince,Haiti,False,D,Wednesday,April,1949
Paraguay,Uruguay,1,2,Copa América,São Paulo,Brazil,True,A,Wednesday,April,1949
Haiti,Trinidad and Tobago,2,3,Friendly,Port-au-Prince,Haiti,False,A,Saturday,April,1949
Netherlands,France,4,1,Friendly,Rotterdam,Netherlands,False,H,Saturday,April,1949
Brazil,Peru,7,1,Copa América,Rio de Janeiro,Brazil,False,H,Sunday,April,1949
Republic of Ireland,Belgium,0,2,Friendly,Dublin,Republic of Ireland,False,A,Sunday,April,1949
Bolivia,Ecuador,2,0,Copa América,São Paulo,Brazil,True,H,Monday,April,1949
Haiti,Trinidad and Tobago,5,0,Friendly,Port-au-Prince,Haiti,False,H,Monday,April,1949
Uruguay,Colombia,2,2,Copa América,São Paulo,Brazil,True,D,Monday,April,1949
Bolivia,Peru,0,3,Copa América,Santos,Brazil,True,A,Wednesday,April,1949
Chile,Paraguay,2,4,Copa América,São Paulo,Brazil,True,A,Wednesday,April,1949
Scotland,France,2,0,Friendly,Glasgow,Scotland,False,H,Wednesday,April,1949
Bolivia,Paraguay,0,7,Copa América,Rio de Janeiro,Brazil,True,A,Saturday,April,1949
Brazil,Uruguay,5,1,Copa América,Rio de Janeiro,Brazil,False,H,Saturday,April,1949
Chile,Peru,0,3,Copa América,São Paulo,Brazil,True,A,Saturday,April,1949
Ethiopia,Djibouti,6,0,Friendly,Addis Abeba,Ethiopia,False,H,Sunday,May,1949
Jamaica,Trinidad and Tobago,3,1,Friendly,Kingston,Jamaica,False,H,Monday,May,1949
Colombia,Ecuador,1,4,Copa América,Rio de Janeiro,Brazil,True,A,Tuesday,May,1949
Jamaica,Trinidad and Tobago,2,1,Friendly,Kingston,Jamaica,False,H,Wednesday,May,1949
Peru,Uruguay,4,3,Copa América,Rio de Janeiro,Brazil,True,H,Wednesday,May,1949
Bolivia,Colombia,4,0,Copa América,Rio de Janeiro,Brazil,True,H,Friday,May,1949
Jamaica,Trinidad and Tobago,1,2,Friendly,Kingston,Jamaica,False,A,Saturday,May,1949
Brazil,Paraguay,1,2,Copa América,Rio de Janeiro,Brazil,False,A,Sunday,May,1949
Chile,Uruguay,3,1,Copa América,Belo Horizonte,Brazil,True,H,Sunday,May,1949
Hungary,Austria,6,1,International Cup,Budapest,Hungary,False,H,Sunday,May,1949
Romania,Poland,2,1,Friendly,Bucharest,Romania,False,H,Sunday,May,1949
Cuba,Martinique,0,0,Friendly,Parmaribo,Suriname,True,D,Monday,May,1949
Puerto Rico,Trinidad and Tobago,2,8,Friendly,San Juan,Puerto Rico,False,A,Monday,May,1949
Brazil,Paraguay,7,0,Copa América,Rio de Janeiro,Brazil,False,H,Wednesday,May,1949
Puerto Rico,Trinidad and Tobago,0,7,Friendly,San Juan,Puerto Rico,False,A,Wednesday,May,1949
Egypt,Turkey,2,3,Friendly,Athens,Greece,True,A,Thursday,May,1949
Suriname,Cuba,0,1,Friendly,Paramaribo,Suriname,False,A,Thursday,May,1949
Sweden,England,3,1,Friendly,Solna,Sweden,False,H,Friday,May,1949
Cuba,Dominican Republic,0,1,Friendly,Parmaribo,Suriname,True,A,Saturday,May,1949
Greece,Turkey,1,2,Friendly,Athens,Greece,False,A,Sunday,May,1949
Portugal,Wales,3,2,Friendly,Oeiras,Portugal,False,H,Sunday,May,1949
Greece,Egypt,1,3,Friendly,Athens,Greece,False,A,Wednesday,May,1949
Norway,England,1,4,Friendly,Oslo,Norway,False,A,Wednesday,May,1949
Belgium,Wales,3,1,Friendly,Liège,Belgium,False,H,Sunday,May,1949
Czechoslovakia,Romania,3,2,Friendly,Prague,Czechoslovakia,False,H,Sunday,May,1949
France,England,1,3,Friendly,Colombes,France,False,A,Sunday,May,1949
Republic of Ireland,Portugal,1,0,Friendly,Dublin,Republic of Ireland,False,H,Sunday,May,1949
Italy,Austria,3,1,International Cup,Florence,Italy,False,H,Sunday,May,1949
Switzerland,Wales,4,0,Friendly,Berne,Switzerland,False,H,Thursday,May,1949
Sweden,Republic of Ireland,3,1,FIFA World Cup qualification,Solna,Sweden,False,H,Thursday,June,1949
France,Switzerland,4,2,Friendly,Colombes,France,False,H,Saturday,June,1949
Denmark,Netherlands,1,2,Friendly,Copenhagen,Denmark,False,A,Sunday,June,1949
Hungary,Italy,1,1,International Cup,Budapest,Hungary,False,D,Sunday,June,1949
Republic of Ireland,Spain,1,4,Friendly,Dublin,Republic of Ireland,False,A,Sunday,June,1949
Finland,Netherlands,1,4,Friendly,Helsinki,Finland,False,A,Thursday,June,1949
Madagascar,Mauritius,1,3,Friendly,Saint-Pierre,Réunion,True,A,Thursday,June,1949
France,Spain,1,5,Friendly,Colombes,France,False,A,Sunday,June,1949
Norway,Yugoslavia,1,3,Friendly,Oslo,Norway,False,A,Sunday,June,1949
Poland,Denmark,1,2,Friendly,Warsaw,Poland,False,A,Sunday,June,1949
Sweden,Hungary,2,2,Friendly,Solna,Sweden,False,D,Sunday,June,1949
United States,Scotland,0,4,Friendly,New York,United States,False,A,Sunday,June,1949
Switzerland,Luxembourg,5,2,FIFA World Cup qualification,Zürich,Switzerland,False,H,Sunday,June,1949
Martinique,Trinidad and Tobago,2,0,Friendly,Fort-de-France,Martinique,False,H,Friday,July,1949
Finland,Norway,1,1,Nordic Championship,Helsinki,Finland,False,D,Friday,July,1949
Hungary,Poland,8,2,Friendly,Debrecen,Hungary,False,H,Sunday,July,1949
Curaçao,Aruba,3,0,Friendly,Willemstad,Curaçao,False,H,Saturday,July,1949
Israel,Cyprus,3,1,Friendly,Tel Aviv,Israel,False,H,Saturday,July,1949
El Salvador,Panama,3,1,Friendly,San Salvador,El Salvador,False,H,Wednesday,August,1949
El Salvador,Panama,2,3,Friendly,San Salvador,El Salvador,False,A,Thursday,August,1949
Denmark,Iceland,5,1,Friendly,Århus,Denmark,False,H,Sunday,August,1949
Suriname,French Guiana,5,0,Friendly,Paramaribo,Suriname,False,H,Sunday,August,1949
Suriname,French Guiana,2,1,Friendly,Paramaribo,Suriname,False,H,Friday,August,1949
Yugoslavia,Israel,6,0,FIFA World Cup qualification,Belgrade,Yugoslavia,False,H,Sunday,August,1949
Czechoslovakia,Bulgaria,1,3,Friendly,Prague,Czechoslovakia,False,A,Sunday,September,1949
Mexico,United States,6,0,FIFA World Cup qualification,Mexico City,Mexico,False,H,Sunday,September,1949
Republic of Ireland,Finland,3,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,H,Thursday,September,1949
Denmark,Finland,0,2,Nordic Championship,Copenhagen,Denmark,False,A,Sunday,September,1949
Mexico,Cuba,2,0,FIFA World Cup qualification,Mexico City,Mexico,False,H,Sunday,September,1949
Norway,Denmark,0,2,Nordic Championship,Oslo,Norway,False,A,Sunday,September,1949
Cuba,United States,1,1,FIFA World Cup qualification,Mexico City,Mexico,True,D,Wednesday,September,1949
Israel,Yugoslavia,2,5,FIFA World Cup qualification,Tel Aviv,Israel,False,A,Sunday,September,1949
Luxembourg,Switzerland,2,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False,A,Sunday,September,1949
Mexico,United States,6,2,FIFA World Cup qualification,Mexico City,Mexico,False,H,Sunday,September,1949
England,Republic of Ireland,0,2,Friendly,Liverpool,England,False,A,Wednesday,September,1949
United States,Cuba,5,2,FIFA World Cup qualification,Mexico City,Mexico,True,H,Wednesday,September,1949
Austria,Czechoslovakia,3,1,International Cup,Vienna,Austria,False,H,Sunday,September,1949
Mexico,Cuba,3,0,FIFA World Cup qualification,Mexico City,Mexico,False,H,Sunday,September,1949
Northern Ireland,Scotland,2,8,FIFA World Cup qualification,Belfast,Northern Ireland,False,A,Saturday,October,1949
Belgium,Switzerland,3,0,Friendly,Brussels,Belgium,False,H,Sunday,October,1949
Poland,Bulgaria,3,2,Friendly,Warsaw,Poland,False,H,Sunday,October,1949
Sweden,Finland,8,1,Nordic Championship,Malmö,Sweden,False,H,Sunday,October,1949
Sweden,Norway,3,3,Nordic Championship,Solna,Sweden,False,D,Sunday,October,1949
Réunion,Mauritius,0,6,Friendly,Saint-Pierre,Réunion,False,A,Friday,October,1949
Sierra Leone,Nigeria,0,2,Friendly,Freetown,Sierra Leone,False,A,Saturday,October,1949
Finland,Republic of Ireland,1,1,FIFA World Cup qualification,Helsinki,Finland,False,D,Sunday,October,1949
Yugoslavia,France,1,1,FIFA World Cup qualification,Belgrade,Yugoslavia,False,D,Sunday,October,1949
Réunion,Madagascar,1,3,Friendly,Saint-Pierre,Réunion,False,A,Monday,October,1949
Wales,England,1,4,FIFA World Cup qualification,Cardiff,Wales,False,A,Saturday,October,1949
Austria,Hungary,3,4,Friendly,Vienna,Austria,False,A,Sunday,October,1949
Denmark,Sweden,3,2,Nordic Championship,Copenhagen,Denmark,False,H,Sunday,October,1949
Lithuania,Estonia,2,1,Baltic Cup,Vilnius,Soviet Union,False,H,Sunday,October,1949
Romania,Albania,1,1,Friendly,Bucharest,Romania,False,D,Sunday,October,1949
Latvia,Estonia,2,1,Baltic Cup,Vilnius,Soviet Union,True,H,Monday,October,1949
Lithuania,Latvia,1,0,Baltic Cup,Vilnius,Soviet Union,False,H,Tuesday,October,1949
Czechoslovakia,Poland,2,0,Friendly,Ostrava,Czechoslovakia,False,H,Sunday,October,1949
France,Yugoslavia,1,1,FIFA World Cup qualification,Colombes,France,False,D,Sunday,October,1949
Hungary,Bulgaria,5,0,Friendly,Budapest,Hungary,False,H,Sunday,October,1949
Netherlands,Belgium,0,1,Friendly,Rotterdam,Netherlands,False,A,Sunday,November,1949
Poland,Albania,2,1,Friendly,Warsaw,Poland,False,H,Sunday,November,1949
Scotland,Wales,2,0,FIFA World Cup qualification,Glasgow,Scotland,False,H,Wednesday,November,1949
France,Czechoslovakia,1,0,Friendly,Colombes,France,False,H,Sunday,November,1949
Republic of Ireland,Sweden,1,3,FIFA World Cup qualification,Dublin,Republic of Ireland,False,A,Sunday,November,1949
Yugoslavia,Austria,2,5,Friendly,Belgrade,Yugoslavia,False,A,Sunday,November,1949
England,Northern Ireland,9,2,FIFA World Cup qualification,Manchester,England,False,H,Wednesday,November,1949
Bulgaria,Albania,0,0,Friendly,Sofia,Bulgaria,False,D,Thursday,November,1949
Hungary,Sweden,5,0,Friendly,Budapest,Hungary,False,H,Sunday,November,1949
Turkey,Syria,7,0,FIFA World Cup qualification,Ankara,Turkey,False,H,Sunday,November,1949
Wales,Belgium,5,1,Friendly,Cardiff,Wales,False,H,Wednesday,November,1949
Greece,Syria,8,0,Friendly,Athens,Greece,False,H,Friday,November,1949
Albania,Romania,1,4,Friendly,Tirana,Albania,False,A,Tuesday,November,1949
England,Italy,2,0,Friendly,London,England,False,H,Wednesday,November,1949
Zanzibar,Kenya,2,3,Friendly,Zanzibar Town,Zanzibar,False,A,Tuesday,December,1949
Kenya,Tanzania,0,2,Friendly,Zanzibar,Zanzibar,True,A,Thursday,December,1949
France,Yugoslavia,2,3,FIFA World Cup qualification,Florence,Italy,True,A,Sunday,December,1949
Netherlands,Denmark,0,1,Friendly,Amsterdam,Netherlands,False,A,Sunday,December,1949
Cuba,Jamaica,2,5,Friendly,Port-au-Prince,Haiti,True,A,Sunday,December,1949
Haiti,Jamaica,2,0,Friendly,Port-au-Prince,Haiti,False,H,Monday,December,1949
Haiti,Cuba,3,0,Friendly,Port-au-Prince,Haiti,False,H,Tuesday,December,1949
Zambia,DR Congo,1,0,Friendly,Kitwe,Northern Rhodesia,False,H,Tuesday,January,1950
Egypt,Greece,2,0,Friendly,Cairo,Egypt,False,H,Friday,February,1950
Bolivia,Chile,2,0,Friendly,La Paz,Bolivia,False,H,Sunday,February,1950
Croatia,Serbia,4,1,Friendly,Zagreb,Yugoslavia,False,H,Sunday,February,1950
Italy,Belgium,3,1,Friendly,Bologna,Italy,False,H,Sunday,March,1950
Wales,Northern Ireland,0,0,FIFA World Cup qualification,Cardiff,Wales,False,D,Wednesday,March,1950
Chile,Bolivia,5,0,Friendly,Santiago,Chile,False,H,Sunday,March,1950
Austria,Switzerland,3,3,International Cup,Vienna,Austria,False,D,Sunday,March,1950
Guyana,Trinidad and Tobago,0,1,Friendly,Georgetown,British Guyana,False,A,Wednesday,March,1950
Guyana,Trinidad and Tobago,1,4,Friendly,Georgetown,British Guyana,False,A,Friday,March,1950
Argentina,Paraguay,2,2,Copa Chevallier Boutell,Buenos Aires,Argentina,False,D,Saturday,March,1950
Guyana,Trinidad and Tobago,1,0,Friendly,Georgetown,British Guyana,False,H,Monday,March,1950
Argentina,Paraguay,4,0,Copa Chevallier Boutell,Buenos Aires,Argentina,False,H,Wednesday,March,1950
Guyana,Trinidad and Tobago,1,2,Friendly,Georgetown,British Guyana,False,A,Wednesday,March,1950
Austria,Italy,1,0,International Cup,Vienna,Austria,False,H,Sunday,April,1950
Spain,Portugal,5,1,FIFA World Cup qualification,Madrid,Spain,False,H,Sunday,April,1950
Chile,Uruguay,1,5,Friendly,Santiago,Chile,False,A,Friday,April,1950
Chile,Uruguay,2,1,Friendly,Santiago,Chile,False,H,Sunday,April,1950
Portugal,Spain,2,2,FIFA World Cup qualification,Oeiras,Portugal,False,D,Sunday,April,1950
Mauritius,Réunion,15,2,Friendly,Antananarivo,Madagascar,True,H,Friday,April,1950
Scotland,England,0,1,FIFA World Cup qualification,Glasgow,Scotland,False,A,Saturday,April,1950
Belgium,Netherlands,2,0,Friendly,Antwerp,Belgium,False,H,Sunday,April,1950
South Korea,Taiwan,3,1,Friendly,Wan Chai,Hong Kong,True,H,Sunday,April,1950
Scotland,Switzerland,3,1,Friendly,Glasgow,Scotland,False,H,Wednesday,April,1950
Hungary,Czechoslovakia,5,0,Friendly,Budapest,Hungary,False,H,Sunday,April,1950
Paraguay,Uruguay,3,2,Friendly,Rio de Janeiro,Brazil,True,H,Sunday,April,1950
Albania,Poland,0,0,Friendly,Tirana,Albania,False,D,Monday,May,1950
Brazil,Uruguay,3,4,Copa Rio Branco,São Paulo,Brazil,False,A,Saturday,May,1950
Brazil,Paraguay,2,0,Copa Oswaldo Cruz,Rio de Janeiro,Brazil,False,H,Sunday,May,1950
Belgium,Republic of Ireland,5,1,Friendly,Brussels,Belgium,False,H,Wednesday,May,1950
Brazil,Paraguay,3,3,Copa Oswaldo Cruz,São Paulo,Brazil,False,D,Saturday,May,1950
Austria,Hungary,5,3,Friendly,Vienna,Austria,False,H,Sunday,May,1950
Brazil,Uruguay,3,2,Copa Rio Branco,Rio de Janeiro,Brazil,False,H,Sunday,May,1950
Poland,Romania,3,3,Friendly,Wrocław,Poland,False,D,Sunday,May,1950
Portugal,England,3,5,Friendly,Oeiras,Portugal,False,A,Sunday,May,1950
Belgium,England,1,4,Friendly,Brussels,Belgium,False,A,Thursday,May,1950
Portugal,Scotland,2,2,Friendly,Oeiras,Portugal,False,D,Sunday,May,1950
Romania,Czechoslovakia,1,1,Friendly,Bucharest,Romania,False,D,Sunday,May,1950
France,Scotland,0,1,Friendly,Colombes,France,False,A,Saturday,May,1950
Ghana,Nigeria,1,0,Friendly,Accra,Gold Coast,False,H,Sunday,May,1950
Turkey,Iran,6,1,Friendly,Istanbul,Turkey,False,H,Sunday,May,1950
Yugoslavia,Denmark,5,1,Friendly,Belgrade,Yugoslavia,False,H,Sunday,May,1950
Albania,Bulgaria,2,1,Friendly,Tirana,Albania,False,H,Sunday,June,1950
Belgium,France,4,1,Friendly,Brussels,Belgium,False,H,Sunday,June,1950
Poland,Hungary,2,5,Friendly,Warsaw,Poland,False,A,Sunday,June,1950
Sweden,Netherlands,4,1,Friendly,Solna,Sweden,False,H,Thursday,June,1950
Finland,Netherlands,4,1,Friendly,Helsinki,Finland,False,H,Sunday,June,1950
Switzerland,Yugoslavia,0,4,Friendly,Berne,Switzerland,False,A,Sunday,June,1950
Zimbabwe,Australia,0,5,Friendly,Salisbury,Southern Rhodesia,False,A,Wednesday,June,1950
Zimbabwe,Australia,1,4,Friendly,Bulawayo,Southern Rhodesia,False,A,Saturday,June,1950
Denmark,Norway,4,0,Nordic Championship,Copenhagen,Denmark,False,H,Thursday,June,1950
Brazil,Mexico,4,0,FIFA World Cup,Rio de Janeiro,Brazil,False,H,Saturday,June,1950
South Africa,Australia,3,2,Friendly,Durban,South Africa,False,H,Saturday,June,1950
Chile,England,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,A,Sunday,June,1950
Denmark,Norway,1,4,Friendly,Århus,Denmark,False,A,Sunday,June,1950
Italy,Sweden,2,3,FIFA World Cup,São Paulo,Brazil,True,A,Sunday,June,1950
Spain,United States,3,1,FIFA World Cup,Curitiba,Brazil,True,H,Sunday,June,1950
Switzerland,Yugoslavia,0,3,FIFA World Cup,Belo Horizonte,Brazil,True,A,Sunday,June,1950
Brazil,Switzerland,2,2,FIFA World Cup,São Paulo,Brazil,False,D,Wednesday,June,1950
Mexico,Yugoslavia,1,4,FIFA World Cup,Porto Alegre,Brazil,True,A,Wednesday,June,1950
Chile,Spain,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,A,Thursday,June,1950
England,United States,0,1,FIFA World Cup,Belo Horizonte,Brazil,True,A,Thursday,June,1950
Paraguay,Sweden,2,2,FIFA World Cup,Curitiba,Brazil,True,D,Thursday,June,1950
Brazil,Yugoslavia,2,0,FIFA World Cup,Rio de Janeiro,Brazil,False,H,Saturday,July,1950
South Africa,Australia,2,1,Friendly,Johannesburg,South Africa,False,H,Saturday,July,1950
Bolivia,Uruguay,0,8,FIFA World Cup,Belo Horizonte,Brazil,True,A,Sunday,July,1950
Chile,United States,5,2,FIFA World Cup,Recife,Brazil,True,H,Sunday,July,1950
England,Spain,0,1,FIFA World Cup,Rio de Janeiro,Brazil,True,A,Sunday,July,1950
