,team,total_matches,neutral_matches,neutral_matches_wins,neutral_matches_losses,neutral_matches_draws,neutral_matches_goal_scored,neutral_matches_goal_conceded,home_matches,home_matches_wins,home_matches_losses,home_matches_draws,home_matches_goal_scored,home_matches_goal_conceded,away_matches,away_matches_wins,away_matches_losses,away_matches_draws,away_matches_goal_scored,away_matches_goal_conceded,color,tot_wins,tot_losses,tot_draws,home_win_rate,away_win_rate,neutral_win_rate,tot_goal_scored,tot_goal_conceded,goal_scored_rate,goal_conceded_rate,home_goal_scored_rate,away_goal_scored_rate,neutral_goal_scored_rate,home_goal_conceded_rate,away_goal_conceded_rate,neutral_goal_conceded_rate
39,Greece,577,59,18,29,12,56,94,264,125,79,60,397,303,254,71,109,74,259,401,darkviolet,37.088388214904676,37.60831889081456,25.30329289428076,47.34848484848485,27.95275590551181,30.508474576271187,712,798,1.2339688041594454,1.3830155979202774,1.503787878787879,1.562992125984252,0.9491525423728814,1.1477272727272727,1.1929133858267718,1.5932203389830508
40,Guatemala,456,169,56,64,49,228,226,152,80,35,37,283,159,135,25,79,31,119,231,deeppink,35.30701754385965,39.03508771929825,25.657894736842106,52.63157894736842,18.51851851851852,33.13609467455622,630,616,1.381578947368421,1.3508771929824561,1.861842105263158,2.096296296296296,1.349112426035503,1.0460526315789473,1.1777777777777778,1.3372781065088757
41,Guinea,473,157,54,54,49,207,198,122,81,13,28,237,85,194,38,97,59,195,301,deepskyblue,36.57505285412262,34.6723044397463,28.752642706131077,66.39344262295081,19.587628865979383,34.394904458598724,639,584,1.3509513742071881,1.2346723044397463,1.9426229508196722,1.2216494845360826,1.3184713375796178,0.6967213114754098,0.4381443298969072,1.2611464968152866
42,Haiti,459,143,61,49,33,212,183,165,84,39,42,328,159,151,47,77,27,191,270,dimgray,41.830065359477125,35.947712418300654,22.22222222222222,50.90909090909091,31.125827814569533,42.65734265734265,731,612,1.5925925925925926,1.3333333333333333,1.9878787878787878,2.172185430463576,1.4825174825174825,0.9636363636363636,1.0529801324503312,1.2797202797202798
43,Honduras,526,184,77,60,47,287,225,175,101,26,48,306,125,167,34,87,46,178,298,dimgrey,40.3041825095057,32.88973384030418,26.806083650190114,57.714285714285715,20.35928143712575,41.84782608695652,771,648,1.4657794676806084,1.231939163498099,1.7485714285714287,1.8323353293413174,1.559782608695652,0.7142857142857143,0.7485029940119761,1.2228260869565217
44,Hong Kong,392,148,46,69,33,235,257,139,53,52,34,238,197,105,28,57,20,108,200,dodgerblue,32.39795918367347,45.40816326530612,22.193877551020407,38.1294964028777,26.666666666666668,31.08108108108108,581,654,1.4821428571428572,1.6683673469387754,1.7122302158273381,2.2666666666666666,1.587837837837838,1.4172661870503598,1.8761904761904762,1.7364864864864864
45,Hungary,948,64,30,22,12,134,91,431,244,91,96,1000,524,453,169,182,102,790,798,firebrick,46.729957805907176,31.118143459915608,22.151898734177212,56.61252900232019,37.30684326710817,46.875,1924,1413,2.029535864978903,1.490506329113924,2.320185614849188,2.207505518763797,2.09375,1.2157772621809744,1.1567328918322295,1.421875
46,IR Iran,506,164,76,40,48,286,146,190,132,21,37,456,110,152,71,38,43,207,148,floralwhite,55.13833992094862,19.565217391304348,25.296442687747035,69.47368421052632,46.71052631578947,46.34146341463415,949,404,1.8754940711462451,0.7984189723320159,2.4,3.0,1.7439024390243902,0.5789473684210527,0.7236842105263158,0.8902439024390244
47,Iceland,460,48,13,21,14,43,70,194,81,77,36,266,257,218,49,133,36,241,443,forestgreen,31.08695652173913,50.21739130434783,18.695652173913043,41.75257731958763,22.477064220183486,27.083333333333332,550,770,1.1956521739130435,1.673913043478261,1.3711340206185567,1.2201834862385321,0.8958333333333334,1.324742268041237,1.1788990825688073,1.4583333333333333
48,India,409,170,64,68,38,237,267,129,52,42,35,199,173,110,25,66,19,130,258,fuchsia,34.474327628361856,43.03178484107579,22.493887530562347,40.310077519379846,22.727272727272727,37.64705882352941,566,698,1.3838630806845966,1.706601466992665,1.5426356589147288,1.809090909090909,1.3941176470588235,1.3410852713178294,1.5727272727272728,1.5705882352941176
49,Indonesia,558,236,95,99,42,439,377,187,91,59,37,346,243,135,22,86,27,139,325,gainsboro,37.27598566308244,43.727598566308245,18.996415770609318,48.663101604278076,16.296296296296298,40.25423728813559,924,945,1.6559139784946237,1.6935483870967742,1.8502673796791445,2.562962962962963,1.8601694915254237,1.2994652406417113,1.8,1.597457627118644
50,Israel,439,31,15,10,6,62,40,225,89,77,59,346,290,183,49,93,41,228,313,ghostwhite,34.851936218678816,41.00227790432802,24.145785876993166,39.55555555555556,26.775956284153008,48.38709677419355,636,643,1.44874715261959,1.4646924829157175,1.5377777777777777,1.8907103825136613,2.0,1.288888888888889,1.5846994535519126,1.2903225806451613
51,Italy,820,141,61,35,45,189,154,377,253,32,92,818,277,302,124,86,92,410,353,gold,53.41463414634147,18.658536585365855,27.926829268292686,67.10875331564988,41.05960264900662,43.262411347517734,1417,784,1.7280487804878049,0.9560975609756097,2.169761273209549,2.7086092715231787,1.3404255319148937,0.7347480106100795,0.9172185430463576,1.0921985815602837
52,Jamaica,572,143,51,55,37,176,190,218,117,48,53,376,199,211,56,115,40,213,369,goldenrod,39.16083916083916,38.111888111888106,22.727272727272727,53.669724770642205,26.540284360189574,35.66433566433567,765,758,1.3374125874125875,1.3251748251748252,1.724770642201835,1.7819905213270142,1.2307692307692308,0.9128440366972477,0.943127962085308,1.3286713286713288
53,Japan,635,224,102,70,52,426,288,259,148,54,57,507,247,152,58,60,34,200,190,gray,48.503937007874015,28.976377952755904,22.51968503937008,57.14285714285714,38.15789473684211,45.535714285714285,1133,725,1.784251968503937,1.141732283464567,1.9575289575289576,3.335526315789474,1.9017857142857142,0.9536679536679536,1.625,1.2857142857142858
54,Jordan,406,116,43,38,35,147,124,160,70,37,53,228,119,130,30,67,33,115,194,green,35.221674876847295,34.97536945812808,29.802955665024633,43.75,23.076923076923077,37.06896551724138,490,437,1.206896551724138,1.0763546798029557,1.425,1.7538461538461538,1.2672413793103448,0.74375,0.9153846153846154,1.0689655172413792
55,Kenya,650,168,73,59,36,265,216,246,129,55,62,405,267,236,45,128,63,238,401,greenyellow,38.0,37.230769230769226,24.76923076923077,52.4390243902439,19.06779661016949,43.452380952380956,908,884,1.396923076923077,1.36,1.646341463414634,1.7161016949152543,1.5773809523809523,1.0853658536585367,1.13135593220339,1.2857142857142858
56,Korea Republic,868,358,178,83,97,616,361,304,188,47,69,603,195,206,92,58,56,309,229,grey,52.764976958525345,21.658986175115206,25.57603686635945,61.8421052631579,44.66019417475729,49.72067039106145,1528,785,1.76036866359447,0.9043778801843319,1.9835526315789473,2.9271844660194173,1.7206703910614525,0.6414473684210527,0.9466019417475728,1.0083798882681565
57,Kuwait,572,205,94,56,55,336,208,226,106,59,61,387,209,141,38,63,40,157,204,honeydew,41.60839160839161,31.11888111888112,27.27272727272727,46.902654867256636,26.95035460992908,45.85365853658537,880,621,1.5384615384615385,1.0856643356643356,1.7123893805309736,2.74468085106383,1.6390243902439023,0.9247787610619469,1.4822695035460993,1.0146341463414634
58,Latvia,410,51,18,19,14,64,61,160,58,64,38,211,232,199,41,113,45,223,388,hotpink,28.536585365853657,47.80487804878049,23.65853658536585,36.25,20.603015075376884,35.294117647058826,498,681,1.2146341463414634,1.6609756097560975,1.31875,1.0603015075376885,1.2549019607843137,1.45,1.1658291457286432,1.196078431372549
59,Lebanon,280,69,18,36,15,78,117,116,40,34,42,174,140,95,19,54,22,71,174,indianred,27.500000000000004,44.285714285714285,28.214285714285715,34.48275862068966,20.0,26.08695652173913,323,431,1.1535714285714285,1.5392857142857144,1.5,1.831578947368421,1.1304347826086956,1.206896551724138,1.4736842105263157,1.6956521739130435
60,Lesotho,257,50,12,26,12,53,82,101,22,34,45,84,106,106,13,69,24,71,223,indigo,18.28793774319066,50.19455252918288,31.517509727626457,21.782178217821784,12.264150943396226,24.0,208,411,0.8093385214007782,1.5992217898832686,0.8316831683168316,0.7924528301886793,1.06,1.0495049504950495,1.0,1.64
61,Liberia,250,30,8,19,3,30,41,116,51,29,36,133,103,104,10,76,18,59,206,ivory,27.6,49.6,22.8,43.96551724137931,9.615384615384617,26.666666666666668,222,350,0.888,1.4,1.146551724137931,1.2788461538461537,1.0,0.8879310344827587,0.9903846153846154,1.3666666666666667
62,Libya,341,85,33,24,28,123,82,127,73,22,32,223,116,129,17,86,26,83,216,khaki,36.070381231671554,38.70967741935484,25.219941348973606,57.48031496062992,13.178294573643413,38.82352941176471,429,414,1.2580645161290323,1.2140762463343109,1.7559055118110236,1.7286821705426356,1.4470588235294117,0.9133858267716536,0.8992248062015504,0.9647058823529412
63,Lithuania,381,50,16,21,13,60,84,137,49,60,28,159,190,194,39,125,30,177,417,lavender,27.296587926509186,54.06824146981627,18.635170603674542,35.76642335766424,20.103092783505154,32.0,396,691,1.0393700787401574,1.8136482939632546,1.1605839416058394,0.8195876288659794,1.2,1.3868613138686132,0.979381443298969,1.68
64,Luxembourg,415,14,2,11,1,9,33,226,26,165,35,158,527,175,10,149,16,87,552,lavenderblush,9.156626506024097,78.3132530120482,12.530120481927712,11.504424778761061,5.714285714285714,14.285714285714285,254,1112,0.6120481927710844,2.6795180722891567,0.6991150442477876,0.9028571428571428,0.6428571428571429,2.331858407079646,3.0114285714285716,2.357142857142857
65,Malawi,574,108,48,27,33,146,104,266,116,70,80,363,260,200,36,110,54,176,365,lawngreen,34.84320557491289,36.062717770034844,29.094076655052266,43.609022556390975,18.0,44.44444444444444,685,729,1.1933797909407666,1.2700348432055748,1.3646616541353382,1.815,1.3518518518518519,0.9774436090225563,1.3,0.9629629629629629
66,Malaysia,606,206,81,73,52,353,318,224,98,69,57,386,269,176,32,103,41,171,342,lemonchiffon,34.81848184818482,40.42904290429043,24.752475247524753,43.75,18.181818181818183,39.32038834951456,910,929,1.5016501650165017,1.533003300330033,1.7232142857142858,2.1931818181818183,1.7135922330097086,1.2008928571428572,1.5284090909090908,1.5436893203883495
67,Mali,505,159,65,53,41,213,181,155,88,26,41,249,119,191,47,96,48,178,280,lightblue,39.603960396039604,34.65346534653465,25.742574257425744,56.774193548387096,24.60732984293194,40.88050314465409,640,580,1.2673267326732673,1.1485148514851484,1.6064516129032258,1.3036649214659686,1.3396226415094339,0.7677419354838709,0.6230366492146597,1.1383647798742138
68,Malta,410,24,6,15,3,20,55,219,35,137,47,176,390,167,10,136,21,62,492,lightcoral,12.439024390243903,70.24390243902438,17.317073170731707,15.981735159817351,5.9880239520958085,25.0,258,937,0.6292682926829268,2.2853658536585364,0.8036529680365296,1.0538922155688624,0.8333333333333334,1.7808219178082192,2.3353293413173652,2.2916666666666665
69,Mexico,888,391,198,106,87,641,416,267,178,33,56,631,212,230,75,94,61,273,319,lightcyan,50.788288288288285,26.238738738738736,22.972972972972975,66.66666666666666,32.608695652173914,50.63938618925832,1545,947,1.739864864864865,1.0664414414414414,2.363295880149813,2.743478260869565,1.639386189258312,0.7940074906367042,0.9217391304347826,1.0639386189258313
70,Morocco,541,124,51,31,42,164,107,235,149,32,54,418,141,182,51,67,64,175,204,lightgoldenrodyellow,46.39556377079482,24.029574861367838,29.57486136783734,63.40425531914894,28.021978021978022,41.12903225806452,757,452,1.399260628465804,0.8354898336414048,1.778723404255319,2.2967032967032965,1.3225806451612903,0.6,0.7747252747252747,0.8629032258064516
71,Mozambique,320,58,15,32,11,45,87,128,65,28,35,190,111,134,25,75,34,105,207,lightgray,32.8125,42.1875,25.0,50.78125,18.65671641791045,25.862068965517242,340,405,1.0625,1.265625,1.484375,1.4179104477611941,0.7758620689655172,0.8671875,0.8283582089552238,1.5
72,Netherlands,802,91,49,18,24,166,81,378,220,73,85,923,392,333,139,122,72,564,514,lightgreen,50.87281795511222,26.55860349127182,22.568578553615957,58.201058201058196,41.74174174174174,53.84615384615385,1653,987,2.061097256857855,1.2306733167082293,2.441798941798942,2.7717717717717716,1.8241758241758241,1.037037037037037,1.177177177177177,0.8901098901098901
73,New Zealand,362,84,30,40,14,117,128,114,63,31,20,270,156,164,53,80,31,232,286,lightgrey,40.331491712707184,41.71270718232044,17.955801104972377,55.26315789473685,32.31707317073171,35.714285714285715,619,570,1.7099447513812154,1.574585635359116,2.3684210526315788,1.646341463414634,1.3928571428571428,1.368421052631579,0.9512195121951219,1.5238095238095237
74,Nigeria,583,179,80,55,44,247,191,181,122,13,46,378,110,223,67,78,78,236,285,lightpink,46.14065180102916,25.04288164665523,28.81646655231561,67.40331491712708,30.04484304932735,44.6927374301676,861,586,1.476843910806175,1.0051457975986278,2.088397790055249,1.695067264573991,1.3798882681564246,0.6077348066298343,0.49327354260089684,1.0670391061452513
75,North Macedonia,251,25,7,10,8,21,30,116,48,45,23,164,136,110,19,58,33,110,175,lightsalmon,29.482071713147413,45.0199203187251,25.49800796812749,41.37931034482759,17.272727272727273,28.000000000000004,295,341,1.1752988047808766,1.3585657370517927,1.4137931034482758,1.490909090909091,0.84,1.1724137931034482,1.2363636363636363,1.2
76,Northern Ireland,656,36,7,20,9,33,58,252,97,100,55,328,351,368,63,219,86,322,825,lightseagreen,25.45731707317073,51.67682926829268,22.865853658536587,38.492063492063494,17.119565217391305,19.444444444444446,683,1234,1.041158536585366,1.8810975609756098,1.3015873015873016,0.8913043478260869,0.9166666666666666,1.3928571428571428,0.9538043478260869,1.6111111111111112
77,Norway,816,44,15,16,13,60,61,389,161,131,97,645,537,383,123,185,75,523,750,lightskyblue,36.6421568627451,40.68627450980392,22.67156862745098,41.38817480719794,32.114882506527415,34.090909090909086,1228,1348,1.5049019607843137,1.6519607843137254,1.6580976863753214,1.6840731070496084,1.3636363636363635,1.3804627249357326,1.402088772845953,1.3863636363636365
