,team,home_matches,away_matches,tot,win,draw,loss
161,Saint Lucia,92,107,199,66,30,103
162,Nepal,91,95,186,40,31,115
163,Bermuda,91,67,158,56,27,75
164,Andorra,91,86,177,6,22,149
165,San Marino,88,86,174,1,6,167
166,Burundi,84,107,191,59,45,87
167,Maldives,81,81,162,47,25,90
168,Guinea-Bissau,76,73,149,42,29,78
169,Solomon Islands,76,94,170,73,28,69
170,Pakistan,74,116,190,38,34,118
171,Laos,73,90,163,31,26,106
172,Palestine,72,119,191,54,52,85
173,French Guiana,71,88,159,47,31,81
174,Equatorial Guinea,69,63,132,30,25,77
175,Dominican Republic,67,52,119,46,17,56
176,Montenegro,64,56,120,41,32,47
177,Saint Vincent and the Grenadines,63,88,151,65,39,47
178,Vanuatu,63,111,174,56,21,97
179,Tajikistan,62,91,153,60,28,65
180,Aruba,62,62,124,22,27,75
181,Macau,62,66,128,21,15,92
182,Chad,60,58,118,27,25,66
183,Kyrgyzstan,60,89,149,45,23,81
184,Gibraltar,59,50,109,32,12,65
185,Turkmenistan,58,82,140,53,23,64
186,Zanzibar,58,147,205,43,39,123
187,Cayman Islands,57,38,95,19,15,61
188,Puerto Rico,55,68,123,25,21,77
189,Papua New Guinea,55,61,116,35,20,61
190,Central African Republic,54,46,100,21,19,60
191,Seychelles,51,62,113,14,17,82
192,Nicaragua,51,110,161,29,15,117
193,Jersey,48,34,82,55,11,16
194,Vietnam Republic,48,105,153,67,25,61
195,Guam,46,55,101,23,9,69
196,Somalia,44,65,109,10,11,88
197,Djibouti,42,48,90,5,7,78
198,British Virgin Islands,41,54,95,17,12,66
199,Réunion,41,40,81,27,13,41
200,Afghanistan,41,75,116,31,27,58
201,Catalonia,39,9,48,19,12,17
202,Guernsey,37,40,77,37,17,23
203,Belize,35,47,82,19,12,51
204,Kosovo,34,19,53,21,10,22
205,Basque Country,33,25,58,38,11,9
206,Samoa,32,19,51,16,4,31
207,Greenland,30,43,73,24,9,40
208,Comoros,30,33,63,9,20,34
209,Ynys Môn,29,32,61,32,11,18
210,Padania,28,15,43,29,8,6
211,Åland Islands,27,19,46,21,6,19
212,Bhutan,27,54,81,8,5,68
213,Mongolia,26,50,76,20,8,48
214,Isle of Wight,26,18,44,23,7,14
215,Eritrea,26,46,72,11,16,45
216,Brunei,26,47,73,10,5,58
217,United States Virgin Islands,24,34,58,7,6,45
218,American Samoa,24,24,48,5,2,41
219,Taiwan,23,129,152,39,20,93
220,Tonga,23,33,56,14,6,36
221,South Sudan,23,25,48,8,9,31
222,Shetland,22,29,51,18,7,26
223,Isle of Man,22,27,49,29,4,16
224,São Tomé and Príncipe,22,26,48,8,5,35
225,Anguilla,22,43,65,3,5,57
226,Northern Cyprus,21,13,34,20,7,7
227,Bahamas,20,21,41,11,7,23
228,Gotland,20,10,30,11,4,15
229,Sápmi,18,8,26,11,2,13
230,Abkhazia,18,10,28,12,12,4
231,Saint Martin,18,26,44,14,3,27
232,Montserrat,17,28,45,11,6,28
233,Cook Islands,17,26,43,9,4,30
234,Sint Maarten,17,17,34,10,4,20
235,Saare County,15,20,35,5,5,25
236,East Timor,15,36,51,4,3,44
237,Iraqi Kurdistan,13,14,27,13,8,6
238,Andalusia,12,1,13,8,4,1
239,Frøya,12,18,30,6,2,22
240,Orkney,12,9,21,5,0,16
241,Western Isles,11,17,28,11,3,14
242,Falkland Islands,11,18,29,6,0,23
243,Tuvalu,11,23,34,5,4,25
244,Barawa,11,1,12,3,0,9
245,Rhodes,11,7,18,11,2,5
246,Turks and Caicos Islands,11,19,30,6,2,22
247,Menorca,11,10,21,10,6,5
248,Northern Mariana Islands,10,14,24,2,2,20
249,Myanmar,9,9,18,5,2,11
250,Székely Land,9,14,23,6,3,14
251,Brittany,9,3,12,6,3,3
252,Occitania,9,9,18,8,3,7
253,Provence,8,9,17,4,1,12
254,United Koreans in Japan,8,3,11,2,6,3
255,Bonaire,8,13,21,7,3,11
256,Ellan Vannin,8,9,17,7,5,5
257,Hitra,8,11,19,4,1,14
258,Silesia,8,0,8,3,2,3
259,Kernow,8,3,11,6,2,3
260,Corsica,8,1,9,4,4,1
261,Artsakh,7,4,11,6,2,3
262,Tamil Eelam,7,10,17,6,0,11
263,South Ossetia,7,7,14,4,3,7
264,Galicia,7,2,9,4,3,2
265,Alderney,7,12,19,3,0,16
266,Mayotte,6,12,18,3,5,10
267,Saarland,6,3,9,1,2,6
268,Kárpátalja,5,5,10,5,4,1
269,Kiribati,5,6,11,0,1,10
270,Chagos Islands,5,6,11,1,1,9
271,Yorkshire,5,2,7,5,1,1
272,Western Armenia,5,11,16,5,4,7
273,North Vietnam,5,19,24,7,3,14
274,Tibet,4,9,13,0,1,12
275,County of Nice,4,5,9,6,1,2
276,Canary Islands,4,0,4,3,0,1
277,Monaco,4,8,12,5,3,4
278,Republic of St. Pauli,4,0,4,1,1,2
279,Darfur,4,3,7,0,0,7
280,Panjab,4,8,12,5,3,4
281,Timor-Leste,3,6,9,1,1,7
282,Wallis Islands and Futuna,3,21,24,5,0,19
283,Western Sahara,3,2,5,2,0,3
284,Gozo,3,3,6,1,0,5
285,Arameans Suryoye,3,7,10,5,2,3
286,Găgăuzia,3,0,3,0,1,2
287,Parishes of Jersey,2,1,3,2,0,1
288,Manchukuo,2,1,3,0,0,3
289,Matabeleland,2,3,5,2,1,2
290,Yemen DPR,2,22,24,5,3,16
291,Niue,2,0,2,0,0,2
292,Palau,2,0,2,0,0,2
293,Micronesia,2,5,7,1,0,6
294,Cascadia,2,5,7,4,1,2
295,Somaliland,2,3,5,2,0,3
296,Felvidék,2,6,8,3,1,4
297,Raetia,2,6,8,1,1,6
298,Vatican City,2,4,6,0,2,4
299,Central Spain,1,1,2,1,0,1
300,Chameria,1,4,5,2,2,1
301,Saint Pierre and Miquelon,1,6,7,0,0,7
302,Sark,1,3,4,0,0,4
303,Kabylia,1,5,6,1,2,3
304,Madrid,1,0,1,0,0,1
305,Crimea,1,4,5,3,0,2
306,Romani people,1,2,3,1,0,2
307,Saint Helena,1,3,4,0,0,4
