,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent,total_score
2694,1957-04-06,Peru,Argentina,2.0,1.0,Copa América,Lima,Peru,False,Home,1957,America,3.0
2695,1957-04-09,Peru,Argentina,1.0,4.0,Friendly,Lima,Peru,False,Away,1957,America,5.0
2696,1957-04-10,Northern Ireland,Wales,0.0,0.0,British Championship,Belfast,Northern Ireland,False,Draw,1957,Europe,0.0
2697,1957-04-13,Peru,Brazil,1.0,1.0,FIFA World Cup qualification,Lima,Peru,False,Draw,1957,America,2.0
2698,1957-04-21,Brazil,Peru,1.0,0.0,FIFA World Cup qualification,Rio de Janeiro,Brazil,False,Home,1957,America,1.0
2699,1957-04-25,Italy,Northern Ireland,1.0,0.0,FIFA World Cup qualification,Rome,Italy,False,Home,1957,Europe,1.0
2700,1957-04-28,Netherlands,Belgium,1.0,1.0,Friendly,Amsterdam,Netherlands,False,Draw,1957,Europe,2.0
2701,1957-05-01,Northern Ireland,Portugal,3.0,0.0,FIFA World Cup qualification,Belfast,Northern Ireland,False,Home,1957,Europe,3.0
2702,1957-05-01,Wales,Czechoslovakia,1.0,0.0,FIFA World Cup qualification,Cardiff,Wales,False,Home,1957,Europe,1.0
2703,1957-05-05,Austria,Sweden,1.0,0.0,Friendly,Vienna,Austria,False,Home,1957,Europe,1.0
2704,1957-05-05,Greece,Yugoslavia,0.0,0.0,FIFA World Cup qualification,Athens,Greece,False,Draw,1957,Europe,0.0
2705,1957-05-12,Indonesia,China PR,2.0,0.0,FIFA World Cup qualification,Jakarta,Indonesia,False,Home,1957,Asia,2.0
2706,1957-05-15,Denmark,England,1.0,4.0,FIFA World Cup qualification,Copenhagen,Denmark,False,Away,1957,Europe,5.0
2707,1957-05-18,Czechoslovakia,Yugoslavia,1.0,0.0,International Cup,Bratislava,Czechoslovakia,False,Home,1957,Europe,1.0
2708,1957-05-19,Republic of Ireland,England,1.0,1.0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,Draw,1957,Europe,2.0
2709,1957-05-19,Poland,Turkey,0.0,1.0,Friendly,Warsaw,Poland,False,Away,1957,Europe,1.0
2710,1957-05-19,Switzerland,Scotland,1.0,2.0,FIFA World Cup qualification,Basel,Switzerland,False,Away,1957,Europe,3.0
2711,1957-05-22,Germany,Scotland,1.0,3.0,Friendly,Stuttgart,Germany,False,Away,1957,Europe,4.0
2712,1957-05-22,Norway,Bulgaria,1.0,2.0,FIFA World Cup qualification,Oslo,Norway,False,Away,1957,Europe,3.0
2713,1957-05-23,Uruguay,Argentina,0.0,0.0,Copa Newton,Montevideo,Uruguay,False,Draw,1957,America,0.0
2714,1957-05-24,Syria,Sudan,1.0,1.0,FIFA World Cup qualification,Damascus,Syria,False,Draw,1957,Asia,2.0
2715,1957-05-26,Austria,Netherlands,3.0,2.0,FIFA World Cup qualification,Vienna,Austria,False,Home,1957,Europe,5.0
2716,1957-05-26,Belgium,Romania,1.0,0.0,Friendly,Brussels,Belgium,False,Home,1957,Europe,1.0
2717,1957-05-26,Czechoslovakia,Wales,2.0,0.0,FIFA World Cup qualification,Prague,Czechoslovakia,False,Home,1957,Europe,2.0
2718,1957-05-26,Denmark,Bulgaria,1.0,1.0,Friendly,Copenhagen,Denmark,False,Draw,1957,Europe,2.0
2719,1957-05-26,Portugal,Italy,3.0,0.0,FIFA World Cup qualification,Oeiras,Portugal,False,Home,1957,Europe,3.0
2720,1957-06-05,Argentina,Uruguay,1.0,1.0,Copa Lipton,Buenos Aires,Argentina,False,Draw,1957,America,2.0
2721,1957-06-11,Brazil,Portugal,2.0,1.0,Friendly,Rio de Janeiro,Brazil,False,Home,1957,America,3.0
2722,1957-06-12,Norway,Hungary,2.0,1.0,FIFA World Cup qualification,Oslo,Norway,False,Home,1957,Europe,3.0
2723,1957-06-13,Paraguay,Bolivia,0.0,1.0,Copa Paz del Chaco,Asunción,Paraguay,False,Away,1957,America,1.0
2724,1957-06-16,Brazil,Portugal,3.0,0.0,Friendly,São Paulo,Brazil,False,Home,1957,America,3.0
2725,1957-06-16,Colombia,Uruguay,1.0,1.0,FIFA World Cup qualification,Bogotá,Colombia,False,Draw,1957,America,2.0
2726,1957-06-16,Greece,Romania,1.0,2.0,FIFA World Cup qualification,Athens,Greece,False,Away,1957,Europe,3.0
2727,1957-06-16,Sweden,Hungary,0.0,0.0,Friendly,Solna,Sweden,False,Draw,1957,Europe,0.0
2728,1957-06-18,Finland,Denmark,2.0,0.0,Friendly,Helsinki,Finland,False,Home,1957,Europe,2.0
2729,1957-06-18,Norway,Sweden,0.0,0.0,Friendly,Turku,Finland,True,Draw,1957,Europe,0.0
2730,1957-06-19,Denmark,Norway,2.0,0.0,Friendly,Tampere,Finland,True,Home,1957,Europe,2.0
2731,1957-06-20,Colombia,Paraguay,2.0,3.0,FIFA World Cup qualification,Bogotá,Colombia,False,Away,1957,America,5.0
2732,1957-06-23,Colombia,Paraguay,1.0,2.0,Friendly,Medellín,Colombia,False,Away,1957,America,3.0
2733,1957-06-30,Denmark,Sweden,1.0,2.0,Nordic Championship,Copenhagen,Denmark,False,Away,1957,Europe,3.0
2734,1957-06-30,Mexico,Canada,3.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,Home,1957,America,3.0
2735,1957-06-30,Uruguay,Colombia,1.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False,Home,1957,America,1.0
2736,1957-07-03,Mexico,Canada,2.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,Home,1957,America,2.0
2737,1957-07-05,Finland,Poland,1.0,3.0,FIFA World Cup qualification,Helsinki,Finland,False,Away,1957,Europe,4.0
2738,1957-07-06,USA,Canada,2.0,3.0,FIFA World Cup qualification,St. Louis,USA,False,Away,1957,America,5.0
2739,1957-07-07,Brazil,Argentina,1.0,2.0,Copa Roca,Rio de Janeiro,Brazil,False,Away,1957,America,3.0
2740,1957-07-07,Paraguay,Colombia,3.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,False,Home,1957,America,3.0
2741,1957-07-08,Iceland,Norway,0.0,3.0,Friendly,Reykjavík,Iceland,False,Away,1957,Europe,3.0
2742,1957-07-10,Brazil,Argentina,2.0,0.0,Copa Roca,São Paulo,Brazil,False,Home,1957,America,2.0
2743,1957-07-12,Denmark,Norway,1.0,3.0,Friendly,Reykjavík,Iceland,True,Away,1957,Europe,4.0
2744,1957-07-21,Bulgaria,Russia,0.0,4.0,Friendly,Sofia,Bulgaria,False,Away,1957,Europe,4.0
2745,1957-07-28,Uruguay,Paraguay,2.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False,Home,1957,America,2.0
2746,1957-08-18,Bolivia,Paraguay,3.0,3.0,Copa Paz del Chaco,La Paz,Bolivia,False,Draw,1957,America,6.0
2747,1957-08-21,Bolivia,Paraguay,2.0,1.0,Copa Paz del Chaco,La Paz,Bolivia,False,Home,1957,America,3.0
2748,1957-08-24,Sierra Leone,Ghana,2.0,3.0,Friendly,Freetown,Sierra Leone,False,Away,1957,Africa,5.0
2749,1957-08-26,Aruba,Panama,2.0,2.0,Friendly,Oranjestad,Aruba,False,Draw,1957,America,4.0
2750,1957-09-01,Finland,Norway,0.0,4.0,Nordic Championship,Helsinki,Finland,False,Away,1957,Europe,4.0
2751,1957-09-15,Bulgaria,Hungary,1.0,2.0,FIFA World Cup qualification,Sofia,Bulgaria,False,Away,1957,Europe,3.0
2752,1957-09-15,Chile,Brazil,1.0,0.0,Copa Bernardo O'Higgins,Santiago,Chile,False,Home,1957,America,1.0
2753,1957-09-15,China PR,Albania,3.0,2.0,Friendly,Beijing,China PR,False,Home,1957,Asia,5.0
2754,1957-09-15,New Caledonia,Tahiti,2.0,4.0,Friendly,Nouméa,New Caledonia,False,Away,1957,Oceania,6.0
2755,1957-09-15,Yugoslavia,Austria,3.0,3.0,Friendly,Belgrade,Yugoslavia,False,Draw,1957,Europe,6.0
2756,1957-09-18,Chile,Brazil,1.0,1.0,Copa Bernardo O'Higgins,Santiago,Chile,False,Draw,1957,America,2.0
2757,1957-09-18,New Caledonia,Tahiti,2.0,1.0,Friendly,Nouméa,New Caledonia,False,Home,1957,Oceania,3.0
2758,1957-09-22,Chile,Bolivia,2.0,1.0,FIFA World Cup qualification,Santiago,Chile,False,Home,1957,America,3.0
2759,1957-09-22,Hungary,Russia,1.0,2.0,Friendly,Budapest,Hungary,False,Away,1957,Europe,3.0
2760,1957-09-22,Norway,Denmark,2.0,2.0,Nordic Championship,Oslo,Norway,False,Draw,1957,Europe,4.0
2761,1957-09-25,Netherlands,Austria,1.0,1.0,FIFA World Cup qualification,Amsterdam,Netherlands,False,Draw,1957,Europe,2.0
2762,1957-09-27,New Caledonia,Tahiti,2.0,0.0,Friendly,Nouméa,New Caledonia,False,Home,1957,Oceania,2.0
2763,1957-09-29,Bolivia,Chile,3.0,0.0,FIFA World Cup qualification,La Paz,Bolivia,False,Home,1957,America,3.0
2764,1957-09-29,Bulgaria,Poland,1.0,1.0,Friendly,Sofia,Bulgaria,False,Draw,1957,Europe,2.0
2765,1957-09-29,Luxembourg,Austria,0.0,3.0,FIFA World Cup qualification,Luxembourg,Luxembourg,False,Away,1957,Europe,3.0
2766,1957-09-29,Romania,Yugoslavia,1.0,1.0,FIFA World Cup qualification,Bucharest,Romania,False,Draw,1957,Europe,2.0
2767,1957-10-02,Denmark,Republic of Ireland,0.0,2.0,FIFA World Cup qualification,Copenhagen,Denmark,False,Away,1957,Europe,2.0
2768,1957-10-05,Northern Ireland,Scotland,1.0,1.0,British Championship,Belfast,Northern Ireland,False,Draw,1957,Europe,2.0
2769,1957-10-06,Bolivia,Argentina,2.0,0.0,FIFA World Cup qualification,La Paz,Bolivia,False,Home,1957,America,2.0
2770,1957-10-06,Hungary,France,2.0,0.0,Friendly,Budapest,Hungary,False,Home,1957,Europe,2.0
2771,1957-10-13,Austria,Czechoslovakia,2.0,2.0,International Cup,Vienna,Austria,False,Draw,1957,Europe,4.0
2772,1957-10-13,Chile,Argentina,0.0,2.0,FIFA World Cup qualification,Santiago,Chile,False,Away,1957,America,2.0
2773,1957-10-13,Denmark,Finland,3.0,0.0,Nordic Championship,Copenhagen,Denmark,False,Home,1957,Europe,3.0
2774,1957-10-19,Wales,England,0.0,4.0,British Championship,Cardiff,Wales,False,Away,1957,Europe,4.0
2775,1957-10-20,Mexico,Costa Rica,2.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,Home,1957,America,2.0
2776,1957-10-20,Poland,Russia,2.0,1.0,FIFA World Cup qualification,Chorzów,Poland,False,Home,1957,Europe,3.0
2777,1957-10-27,Belgium,France,0.0,0.0,FIFA World Cup qualification,Brussels,Belgium,False,Draw,1957,Europe,0.0
2778,1957-10-27,Costa Rica,Mexico,1.0,1.0,FIFA World Cup qualification,San José,Costa Rica,False,Draw,1957,America,2.0
2779,1957-10-27,Ghana,Nigeria,3.0,3.0,Friendly,Accra,Ghana,False,Draw,1957,Africa,6.0
2780,1957-10-31,Cambodia,Malaysia,1.0,3.0,Friendly,Phnom Penh,Cambodia,False,Away,1957,Asia,4.0
2781,1957-11-03,Romania,Greece,3.0,0.0,FIFA World Cup qualification,Bucharest,Romania,False,Home,1957,Europe,3.0
2782,1957-11-06,England,Northern Ireland,2.0,3.0,British Championship,London,England,False,Away,1957,Europe,5.0
2783,1957-11-06,Scotland,Switzerland,3.0,2.0,FIFA World Cup qualification,Glasgow,Scotland,False,Home,1957,Europe,5.0
2784,1957-11-13,Scotland,Wales,1.0,1.0,British Championship,Glasgow,Scotland,False,Draw,1957,Europe,2.0
2785,1957-11-17,Yugoslavia,Romania,2.0,0.0,FIFA World Cup qualification,Belgrade,Yugoslavia,False,Home,1957,Europe,2.0
2786,1957-11-20,Germany,Sweden,1.0,0.0,Friendly,Hamburg,Germany,False,Home,1957,Europe,1.0
2787,1957-11-24,Switzerland,Spain,1.0,4.0,FIFA World Cup qualification,Lausanne,Switzerland,False,Away,1957,Europe,5.0
2788,1957-12-04,Northern Ireland,Italy,2.0,2.0,Friendly,Belfast,Northern Ireland,False,Draw,1957,Europe,4.0
2789,1957-12-08,Turkey,Belgium,1.0,1.0,Friendly,Ankara,Turkey,False,Draw,1957,Europe,2.0
2790,1957-12-13,Egypt,Czechoslovakia,1.0,2.0,Friendly,Cairo,Egypt,False,Away,1957,Africa,3.0
2791,1957-12-22,Germany,Hungary,1.0,0.0,Friendly,Hanover,Germany,False,Home,1957,Europe,1.0
2792,1957-12-22,Italy,Portugal,3.0,0.0,FIFA World Cup qualification,Milan,Italy,False,Home,1957,Europe,3.0
2793,1957-12-25,France,Bulgaria,2.0,2.0,Friendly,Colombes,France,False,Draw,1957,Europe,4.0
2794,1958-01-15,Israel,Wales,0.0,2.0,FIFA World Cup qualification,Ramat-Gan,Israel,False,Away,1958,Europe,2.0
2795,1958-01-15,Northern Ireland,Italy,2.0,1.0,FIFA World Cup qualification,Belfast,Northern Ireland,False,Home,1958,Europe,3.0
2796,1958-01-25,Malta,Denmark,3.0,0.0,Friendly,Gżira,Malta,False,Home,1958,Europe,3.0
2797,1958-02-05,Wales,Israel,2.0,0.0,FIFA World Cup qualification,Cardiff,Wales,False,Home,1958,Europe,2.0
2798,1958-02-18,Hong Kong,Korea Republic,3.0,2.0,Friendly,So Kon Po,Hong Kong,False,Home,1958,Asia,5.0
2799,1958-02-25,Hong Kong,Korea Republic,1.0,1.0,Friendly,So Kon Po,Hong Kong,False,Draw,1958,Asia,2.0
2800,1958-03-02,Belgium,Germany,0.0,2.0,Friendly,Brussels,Belgium,False,Away,1958,Europe,2.0
2801,1958-03-13,France,Spain,2.0,2.0,Friendly,Paris,France,False,Draw,1958,Europe,4.0
2802,1958-03-19,Germany,Spain,2.0,0.0,Friendly,Frankfurt am Main,Germany,False,Home,1958,Europe,2.0
2803,1958-03-23,Austria,Italy,3.0,2.0,International Cup,Vienna,Austria,False,Home,1958,Europe,5.0
2804,1958-04-02,Czechoslovakia,Germany,3.0,2.0,Friendly,Prague,Czechoslovakia,False,Home,1958,Europe,5.0
2805,1958-04-03,Morocco,Libya,3.0,1.0,Friendly,Casablanca,Morocco,False,Home,1958,Africa,4.0
2806,1958-04-06,Uruguay,Argentina,1.0,0.0,Friendly,Montevideo,Uruguay,False,Home,1958,America,1.0
2807,1958-04-13,Spain,Portugal,1.0,0.0,Friendly,Madrid,Spain,False,Home,1958,Europe,1.0
2808,1958-04-16,France,Switzerland,0.0,0.0,Friendly,Paris,France,False,Draw,1958,Europe,0.0
2809,1958-04-16,Wales,Northern Ireland,1.0,1.0,British Championship,Cardiff,Wales,False,Draw,1958,Europe,2.0
2810,1958-04-19,Scotland,England,0.0,4.0,British Championship,Glasgow,Scotland,False,Away,1958,Europe,4.0
2811,1958-04-20,Hungary,Yugoslavia,2.0,0.0,Friendly,Budapest,Hungary,False,Home,1958,Europe,2.0
2812,1958-04-20,Paraguay,Argentina,1.0,0.0,Friendly,Asunción,Paraguay,False,Home,1958,America,1.0
2813,1958-04-26,Argentina,Paraguay,2.0,0.0,Friendly,Avellaneda,Argentina,False,Home,1958,America,2.0
2814,1958-04-30,Argentina,Uruguay,2.0,0.0,Friendly,Buenos Aires,Argentina,False,Home,1958,America,2.0
2815,1958-05-03,Singapore,Malaysia,3.0,3.0,Friendly,Kallang,Singapore,False,Draw,1958,Asia,6.0
2816,1958-05-04,Netherlands,Turkey,1.0,2.0,Friendly,Amsterdam,Netherlands,False,Away,1958,Europe,3.0
2817,1958-05-04,Singapore,Malaysia,0.0,3.0,Friendly,Kallang,Singapore,False,Away,1958,Asia,3.0
2818,1958-05-04,Trinidad and Tobago,Jamaica,1.0,0.0,Friendly,Port of Spain,Trinidad and Tobago,False,Home,1958,America,1.0
2819,1958-05-07,Brazil,Paraguay,0.0,0.0,Copa Oswaldo Cruz,São Paulo,Brazil,False,Draw,1958,America,0.0
2820,1958-05-07,England,Portugal,2.0,1.0,Friendly,London,England,False,Home,1958,Europe,3.0
2821,1958-05-07,Scotland,Hungary,1.0,1.0,Friendly,Glasgow,Scotland,False,Draw,1958,Europe,2.0
2822,1958-05-07,Sweden,Switzerland,3.0,2.0,Friendly,Helsingborg,Sweden,False,Home,1958,Europe,5.0
2823,1958-05-09,Philippines,Indonesia,1.0,2.0,Friendly,Manila,Philippines,False,Away,1958,Asia,3.0
2824,1958-05-11,Poland,Republic of Ireland,2.0,2.0,Friendly,Chorzów,Poland,False,Draw,1958,Europe,4.0
2825,1958-05-13,Philippines,Indonesia,0.0,3.0,Friendly,Manila,Philippines,False,Away,1958,Asia,3.0
2826,1958-05-13,Trinidad and Tobago,Jamaica,0.0,1.0,Friendly,Port of Spain,Trinidad and Tobago,False,Away,1958,America,1.0
2827,1958-05-14,Austria,Republic of Ireland,3.0,1.0,Friendly,Vienna,Austria,False,Home,1958,Europe,4.0
2828,1958-05-15,Denmark,Curaçao,3.0,2.0,Friendly,Århus,Denmark,False,Home,1958,Europe,5.0
2829,1958-05-18,Brazil,Bulgaria,3.0,1.0,Friendly,São Paulo,Brazil,False,Home,1958,America,4.0
2830,1958-05-25,Denmark,Poland,3.0,2.0,Friendly,Copenhagen,Denmark,False,Home,1958,Europe,5.0
2831,1958-05-26,Switzerland,Belgium,0.0,2.0,Friendly,Zürich,Switzerland,False,Away,1958,Europe,2.0
2832,1958-05-28,Norway,Netherlands,0.0,0.0,Friendly,Oslo,Norway,False,Draw,1958,Europe,0.0
2833,1958-06-01,Poland,Scotland,1.0,2.0,Friendly,Warsaw,Poland,False,Away,1958,Europe,3.0
2834,1958-06-04,Hong Kong,Malaysia,2.0,2.0,Friendly,Victoria,Hong Kong,False,Draw,1958,Asia,4.0
2835,1958-06-08,Argentina,Germany,1.0,3.0,FIFA World Cup,Malmö,Sweden,True,Away,1958,Europe,4.0
2836,1958-06-08,Austria,Brazil,0.0,3.0,FIFA World Cup,Uddevalla,Sweden,True,Away,1958,Europe,3.0
2837,1958-06-08,Czechoslovakia,Northern Ireland,0.0,1.0,FIFA World Cup,Halmstad,Sweden,True,Away,1958,Europe,1.0
2838,1958-06-08,England,Russia,2.0,2.0,FIFA World Cup,Gothenburg,Sweden,True,Draw,1958,Europe,4.0
2839,1958-06-08,Hungary,Wales,1.0,1.0,FIFA World Cup,Sandviken,Sweden,True,Draw,1958,Europe,2.0
2840,1958-06-08,Scotland,Yugoslavia,1.0,1.0,FIFA World Cup,Västerås,Sweden,True,Draw,1958,Europe,2.0
2841,1958-06-08,Sweden,Mexico,3.0,0.0,FIFA World Cup,Solna,Sweden,False,Home,1958,Europe,3.0
2842,1958-06-11,Argentina,Northern Ireland,3.0,1.0,FIFA World Cup,Halmstad,Sweden,True,Home,1958,Europe,4.0
2843,1958-06-11,Austria,Russia,0.0,2.0,FIFA World Cup,Borås,Sweden,True,Away,1958,Europe,2.0
2844,1958-06-11,Brazil,England,0.0,0.0,FIFA World Cup,Gothenburg,Sweden,True,Draw,1958,Europe,0.0
2845,1958-06-11,Czechoslovakia,Germany,2.0,2.0,FIFA World Cup,Helsingborg,Sweden,True,Draw,1958,Europe,4.0
2846,1958-06-11,France,Yugoslavia,2.0,3.0,FIFA World Cup,Västerås,Sweden,True,Away,1958,Europe,5.0
2847,1958-06-11,Mexico,Wales,1.0,1.0,FIFA World Cup,Solna,Sweden,True,Draw,1958,Europe,2.0
2848,1958-06-11,Paraguay,Scotland,3.0,2.0,FIFA World Cup,Norrköping,Sweden,True,Home,1958,Europe,5.0
2849,1958-06-12,Sweden,Hungary,2.0,1.0,FIFA World Cup,Solna,Sweden,False,Home,1958,Europe,3.0
2850,1958-06-15,Austria,England,2.0,2.0,FIFA World Cup,Borås,Sweden,True,Draw,1958,Europe,4.0
2851,1958-06-15,Brazil,Russia,2.0,0.0,FIFA World Cup,Gothenburg,Sweden,True,Home,1958,Europe,2.0
2852,1958-06-15,France,Scotland,2.0,1.0,FIFA World Cup,Örebro,Sweden,True,Home,1958,Europe,3.0
2853,1958-06-15,Germany,Northern Ireland,2.0,2.0,FIFA World Cup,Malmö,Sweden,True,Draw,1958,Europe,4.0
2854,1958-06-15,Norway,Finland,2.0,0.0,Nordic Championship,Oslo,Norway,False,Home,1958,Europe,2.0
2855,1958-06-15,Paraguay,Yugoslavia,3.0,3.0,FIFA World Cup,Eskilstuna,Sweden,True,Draw,1958,Europe,6.0
2856,1958-06-15,Sweden,Wales,0.0,0.0,FIFA World Cup,Solna,Sweden,False,Draw,1958,Europe,0.0
2857,1958-06-17,Czechoslovakia,Northern Ireland,1.0,2.0,FIFA World Cup,Malmö,Sweden,True,Away,1958,Europe,3.0
2858,1958-06-17,England,Russia,0.0,1.0,FIFA World Cup,Gothenburg,Sweden,True,Away,1958,Europe,1.0
2859,1958-06-17,Hungary,Wales,1.0,2.0,FIFA World Cup,Solna,Sweden,True,Away,1958,Europe,3.0
2860,1958-06-19,Brazil,Wales,1.0,0.0,FIFA World Cup,Gothenburg,Sweden,True,Home,1958,Europe,1.0
2861,1958-06-19,Germany,Yugoslavia,1.0,0.0,FIFA World Cup,Malmö,Sweden,True,Home,1958,Europe,1.0
2862,1958-06-19,Sweden,Russia,2.0,0.0,FIFA World Cup,Solna,Sweden,False,Home,1958,Europe,2.0
2863,1958-06-24,Sweden,Germany,3.0,1.0,FIFA World Cup,Gothenburg,Sweden,False,Home,1958,Europe,4.0
2864,1958-06-29,Denmark,Norway,1.0,2.0,Nordic Championship,Copenhagen,Denmark,False,Away,1958,Europe,3.0
2865,1958-07-03,Malaysia,Indonesia,2.0,4.0,Friendly,Kallang,Singapore,True,Away,1958,Asia,6.0
2866,1958-08-16,New Zealand,Australia,2.0,3.0,Friendly,Wellington,New Zealand,False,Away,1958,Oceania,5.0
2867,1958-08-23,New Zealand,Australia,2.0,2.0,Friendly,Auckland,New Zealand,False,Draw,1958,Oceania,4.0
2868,1958-08-30,Czechoslovakia,Russia,1.0,2.0,Friendly,Prague,Czechoslovakia,False,Away,1958,Europe,3.0
2869,1958-08-31,New Caledonia,New Zealand,1.0,2.0,Friendly,Nouméa,New Caledonia,False,Away,1958,Oceania,3.0
2870,1958-09-14,Austria,Yugoslavia,3.0,4.0,Friendly,Vienna,Austria,False,Away,1958,Europe,7.0
2871,1958-09-14,Finland,Denmark,1.0,4.0,Nordic Championship,Helsinki,Finland,False,Away,1958,Europe,5.0
2872,1958-09-14,New Caledonia,New Zealand,1.0,2.0,Friendly,Nouméa,New Caledonia,False,Away,1958,Oceania,3.0
2873,1958-09-14,Norway,Sweden,0.0,2.0,Nordic Championship,Oslo,Norway,False,Away,1958,Europe,2.0
2874,1958-09-14,Poland,Hungary,1.0,3.0,Friendly,Chorzów,Poland,False,Away,1958,Europe,4.0
2875,1958-09-20,Czechoslovakia,Switzerland,2.0,1.0,International Cup,Bratislava,Czechoslovakia,False,Home,1958,Europe,3.0
2876,1958-09-24,Denmark,Germany,1.0,1.0,Friendly,Copenhagen,Denmark,False,Draw,1958,Europe,2.0
2877,1958-09-28,Belgium,Netherlands,2.0,3.0,Friendly,Antwerp,Belgium,False,Away,1958,Europe,5.0
2878,1958-10-04,Northern Ireland,England,3.0,3.0,British Championship,Belfast,Northern Ireland,False,Draw,1958,Europe,6.0
2879,1958-10-05,Austria,France,1.0,2.0,Friendly,Vienna,Austria,False,Away,1958,Europe,3.0
2880,1958-10-05,Republic of Ireland,Poland,2.0,2.0,Friendly,Dublin,Republic of Ireland,False,Draw,1958,Europe,4.0
2881,1958-10-05,Kenya,Tanzania,3.0,1.0,Friendly,Nairobi,Kenya,False,Home,1958,Africa,4.0
2882,1958-10-07,Uganda,Tanzania,2.0,0.0,Friendly,Nairobi,Kenya,True,Home,1958,Africa,2.0
2883,1958-10-11,Kenya,Uganda,2.0,0.0,Friendly,Nairobi,Kenya,False,Home,1958,Africa,2.0
2884,1958-10-12,Czechoslovakia,Bulgaria,0.0,1.0,Friendly,Ostrava,Czechoslovakia,False,Away,1958,Europe,1.0
2885,1958-10-18,Wales,Scotland,0.0,3.0,British Championship,Cardiff,Wales,False,Away,1958,Europe,3.0
2886,1958-10-25,Nigeria,Ghana,3.0,2.0,Friendly,Lagos,Nigeria,False,Home,1958,Africa,5.0
2887,1958-10-26,Belgium,Turkey,1.0,1.0,Friendly,Brussels,Belgium,False,Draw,1958,Europe,2.0
2888,1958-10-26,France,Germany,2.0,2.0,Friendly,Colombes,France,False,Draw,1958,Europe,4.0
2889,1958-10-26,Romania,Hungary,1.0,2.0,Friendly,Bucharest,Romania,False,Away,1958,Europe,3.0
2890,1958-11-02,Netherlands,Switzerland,2.0,0.0,Friendly,Rotterdam,Netherlands,False,Home,1958,Europe,2.0
2891,1958-11-02,Romania,Turkey,3.0,0.0,UEFA Euro qualification,Bucharest,Romania,False,Home,1958,Europe,3.0
2892,1958-11-05,Scotland,Northern Ireland,2.0,2.0,British Championship,Glasgow,Scotland,False,Draw,1958,Europe,4.0
2893,1958-11-09,France,Italy,2.0,2.0,Friendly,Colombes,France,False,Draw,1958,Europe,4.0
2894,1958-11-19,Germany,Austria,2.0,2.0,Friendly,Berlin,Germany,False,Draw,1958,Europe,4.0
2895,1958-11-23,Hungary,Belgium,3.0,1.0,Friendly,Budapest,Hungary,False,Home,1958,Europe,4.0
2896,1958-11-26,England,Wales,2.0,2.0,British Championship,Birmingham,England,False,Draw,1958,Europe,4.0
2897,1958-12-03,Greece,France,1.0,1.0,UEFA Euro qualification,Athens,Greece,False,Draw,1958,Europe,2.0
2898,1958-12-07,Turkey,Bulgaria,0.0,0.0,Friendly,Ankara,Turkey,False,Draw,1958,Europe,0.0
2899,1958-12-13,Italy,Czechoslovakia,1.0,1.0,International Cup,Genoa,Italy,False,Draw,1958,Europe,2.0
2900,1958-12-18,Turkey,Czechoslovakia,1.0,0.0,Friendly,Istanbul,Turkey,False,Home,1958,Europe,1.0
2901,1958-12-21,Germany,Bulgaria,3.0,0.0,Friendly,Augsburg,Germany,False,Home,1958,Europe,3.0
2902,1959-01-10,Singapore,Japan,3.0,4.0,Friendly,Kallang,Singapore,False,Away,1959,Asia,7.0
2903,1959-01-11,Singapore,Japan,3.0,2.0,Friendly,Kallang,Singapore,False,Home,1959,Asia,5.0
2904,1959-02-28,Italy,Spain,1.0,1.0,Friendly,Rome,Italy,False,Draw,1959,Europe,2.0
2905,1959-03-01,France,Belgium,2.0,2.0,Friendly,Colombes,France,False,Draw,1959,Europe,4.0
2906,1959-03-01,Guyana,Jamaica,2.0,2.0,Friendly,Port of Spain,Trinidad and Tobago,True,Draw,1959,America,4.0
2907,1959-03-01,Mexico,Costa Rica,3.0,1.0,Friendly,Mexico City,Mexico,False,Home,1959,America,4.0
2908,1959-03-02,Trinidad and Tobago,Barbados,2.0,0.0,Friendly,Port of Spain,Trinidad and Tobago,False,Home,1959,America,2.0
2909,1959-03-04,Barbados,Jamaica,1.0,3.0,Friendly,Port of Spain,Trinidad and Tobago,True,Away,1959,America,4.0
2910,1959-03-05,Trinidad and Tobago,Guyana,2.0,1.0,Friendly,San Fernando,Trinidad and Tobago,False,Home,1959,America,3.0
2911,1959-03-08,Costa Rica,Mexico,1.0,2.0,Friendly,San José,Costa Rica,False,Away,1959,America,3.0
2912,1959-03-08,Tunisia,Malta,0.0,0.0,Friendly,Tunis,Tunisia,False,Draw,1959,Africa,0.0
2913,1959-03-09,Barbados,Guyana,2.0,1.0,Friendly,Port of Spain,Trinidad and Tobago,True,Home,1959,America,3.0
2914,1959-03-10,Brazil,Peru,2.0,2.0,Copa América,Buenos Aires,Argentina,True,Draw,1959,America,4.0
2915,1959-03-10,Trinidad and Tobago,Jamaica,2.0,1.0,Friendly,Port of Spain,Trinidad and Tobago,False,Home,1959,America,3.0
