,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent,total_score
55,1899-03-04,Northern Ireland,Wales,1.0,0.0,British Championship,Belfast,Republic of Ireland,False,Home,1899,Europe,1.0
56,1899-04-08,England,Scotland,2.0,1.0,British Championship,Birmingham,England,False,Home,1899,Europe,3.0
57,1900-02-24,Wales,Northern Ireland,2.0,0.0,British Championship,Llandudno,Wales,False,Home,1900,Europe,2.0
58,1900-03-03,Northern Ireland,Scotland,0.0,3.0,British Championship,Belfast,Republic of Ireland,False,Away,1900,Europe,3.0
59,1900-03-17,Northern Ireland,England,0.0,2.0,British Championship,Dublin,Republic of Ireland,False,Away,1900,Europe,2.0
60,1900-03-26,Wales,England,1.0,1.0,British Championship,Cardiff,Wales,False,Draw,1900,Europe,2.0
61,1901-03-02,Wales,Scotland,1.0,1.0,British Championship,Wrexham,Wales,False,Draw,1901,Europe,2.0
62,1901-03-09,England,Northern Ireland,3.0,0.0,British Championship,Southampton,England,False,Home,1901,Europe,3.0
63,1901-03-23,Northern Ireland,Wales,0.0,1.0,British Championship,Belfast,Republic of Ireland,False,Away,1901,Europe,1.0
64,1901-03-30,England,Scotland,2.0,2.0,British Championship,London,England,False,Draw,1901,Europe,4.0
65,1902-02-22,Wales,Northern Ireland,0.0,3.0,British Championship,Cardiff,Wales,False,Away,1902,Europe,3.0
66,1902-03-03,Wales,England,0.0,0.0,British Championship,Wrexham,Wales,False,Draw,1902,Europe,0.0
67,1902-03-22,Northern Ireland,England,0.0,1.0,British Championship,Belfast,Republic of Ireland,False,Away,1902,Europe,1.0
68,1902-05-03,England,Scotland,2.0,2.0,British Championship,Birmingham,England,False,Draw,1902,Europe,4.0
69,1903-03-02,England,Wales,2.0,1.0,British Championship,Portsmouth,England,False,Home,1903,Europe,3.0
70,1903-03-09,Wales,Scotland,0.0,1.0,British Championship,Cardiff,Wales,False,Away,1903,Europe,1.0
71,1903-03-21,Scotland,Northern Ireland,0.0,2.0,British Championship,Glasgow,Scotland,False,Away,1903,Europe,2.0
72,1903-03-28,Northern Ireland,Wales,2.0,0.0,British Championship,Belfast,Republic of Ireland,False,Home,1903,Europe,2.0
73,1903-04-04,England,Scotland,1.0,2.0,British Championship,Sheffield,England,False,Away,1903,Europe,3.0
74,1903-04-05,Hungary,Czechoslovakia,2.0,1.0,Friendly,Budapest,Hungary,False,Home,1903,Europe,3.0
75,1903-06-11,Hungary,Austria,3.0,2.0,Friendly,Budapest,Hungary,False,Home,1903,Europe,5.0
76,1903-09-13,Argentina,Uruguay,2.0,3.0,Friendly,Buenos Aires,Argentina,False,Away,1903,America,5.0
77,1904-02-29,Wales,England,2.0,2.0,British Championship,Wrexham,Wales,False,Draw,1904,Europe,4.0
78,1904-03-12,Northern Ireland,England,1.0,3.0,British Championship,Belfast,Republic of Ireland,False,Away,1904,Europe,4.0
79,1904-03-12,Scotland,Wales,1.0,1.0,British Championship,Dundee,Scotland,False,Draw,1904,Europe,2.0
80,1904-03-21,Wales,Northern Ireland,0.0,1.0,British Championship,Bangor,Wales,False,Away,1904,Europe,1.0
81,1904-03-26,Northern Ireland,Scotland,1.0,1.0,British Championship,Dublin,Republic of Ireland,False,Draw,1904,Europe,2.0
82,1904-04-09,Scotland,England,0.0,1.0,British Championship,Glasgow,Scotland,False,Away,1904,Europe,1.0
83,1904-05-01,Belgium,France,3.0,3.0,Friendly,Brussels,Belgium,False,Draw,1904,Europe,6.0
84,1904-06-02,Hungary,Austria,3.0,0.0,Friendly,Budapest,Hungary,False,Home,1904,Europe,3.0
85,1905-02-12,France,Switzerland,1.0,0.0,Friendly,Paris,France,False,Home,1905,Europe,1.0
86,1905-02-25,England,Northern Ireland,1.0,1.0,British Championship,Middlesbrough,England,False,Draw,1905,Europe,2.0
87,1905-03-06,Wales,Scotland,3.0,1.0,British Championship,Wrexham,Wales,False,Home,1905,Europe,4.0
88,1905-03-27,England,Wales,3.0,1.0,British Championship,Liverpool,England,False,Home,1905,Europe,4.0
89,1905-04-01,England,Scotland,1.0,0.0,British Championship,London,England,False,Home,1905,Europe,1.0
90,1905-04-08,Northern Ireland,Wales,2.0,2.0,British Championship,Belfast,Republic of Ireland,False,Draw,1905,Europe,4.0
91,1905-04-09,Hungary,Austria,0.0,0.0,Friendly,Budapest,Hungary,False,Draw,1905,Europe,0.0
92,1905-04-30,Belgium,Netherlands,1.0,4.0,Friendly,Antwerp,Belgium,False,Away,1905,Europe,5.0
93,1905-08-15,Argentina,Uruguay,0.0,0.0,Copa Lipton,Buenos Aires,Argentina,False,Draw,1905,America,0.0
94,1906-03-03,Scotland,Wales,0.0,2.0,British Championship,Edinburgh,Scotland,False,Away,1906,Europe,2.0
95,1906-03-17,Northern Ireland,Scotland,0.0,1.0,British Championship,Dublin,Republic of Ireland,False,Away,1906,Europe,1.0
96,1906-03-19,Wales,England,0.0,1.0,British Championship,Cardiff,Wales,False,Away,1906,Europe,1.0
97,1906-04-01,Hungary,Czechoslovakia,1.0,1.0,Friendly,Budapest,Hungary,False,Draw,1906,Europe,2.0
98,1906-04-07,Scotland,England,2.0,1.0,British Championship,Glasgow,Scotland,False,Home,1906,Europe,3.0
99,1906-05-13,Netherlands,Belgium,2.0,3.0,Friendly,Rotterdam,Netherlands,False,Away,1906,Europe,5.0
100,1906-08-15,Uruguay,Argentina,0.0,2.0,Copa Lipton,Montevideo,Uruguay,False,Away,1906,America,2.0
101,1906-10-21,Argentina,Uruguay,2.0,1.0,Copa Newton,Buenos Aires,Argentina,False,Home,1906,America,3.0
102,1906-11-04,Hungary,Austria,3.0,1.0,Friendly,Budapest,Hungary,False,Home,1906,Europe,4.0
103,1907-02-16,England,Northern Ireland,1.0,0.0,British Championship,Liverpool,England,False,Home,1907,Europe,1.0
104,1907-02-23,Northern Ireland,Wales,2.0,3.0,British Championship,Belfast,Republic of Ireland,False,Away,1907,Europe,5.0
105,1907-03-04,Wales,Scotland,1.0,0.0,British Championship,Wrexham,Wales,False,Home,1907,Europe,1.0
106,1907-03-16,Scotland,Northern Ireland,3.0,0.0,British Championship,Glasgow,Scotland,False,Home,1907,Europe,3.0
107,1907-03-18,England,Wales,1.0,1.0,British Championship,London,England,False,Draw,1907,Europe,2.0
108,1907-04-06,England,Scotland,1.0,1.0,British Championship,Newcastle,England,False,Draw,1907,Europe,2.0
109,1907-04-14,Belgium,Netherlands,1.0,3.0,Friendly,Antwerp,Belgium,False,Away,1907,Europe,4.0
110,1907-04-21,Belgium,France,1.0,2.0,Friendly,Brussels,Belgium,False,Away,1907,Europe,3.0
111,1907-05-05,Austria,Hungary,3.0,1.0,Friendly,Vienna,Austria,False,Home,1907,Europe,4.0
112,1907-05-09,Netherlands,Belgium,1.0,2.0,Friendly,Haarlem,Netherlands,False,Away,1907,Europe,3.0
113,1908-02-15,Northern Ireland,England,1.0,3.0,British Championship,Belfast,Republic of Ireland,False,Away,1908,Europe,4.0
114,1908-03-07,Scotland,Wales,2.0,1.0,British Championship,Dundee,Scotland,False,Home,1908,Europe,3.0
115,1908-03-08,Switzerland,France,1.0,2.0,Friendly,Geneva,Switzerland,False,Away,1908,Europe,3.0
116,1908-03-29,Belgium,Netherlands,1.0,4.0,Friendly,Antwerp,Belgium,False,Away,1908,Europe,5.0
117,1908-04-04,Scotland,England,1.0,1.0,British Championship,Glasgow,Scotland,False,Draw,1908,Europe,2.0
118,1908-04-11,Wales,Northern Ireland,0.0,1.0,British Championship,Aberdare,Wales,False,Away,1908,Europe,1.0
119,1908-04-12,France,Belgium,1.0,2.0,Friendly,Colombes,France,False,Away,1908,Europe,3.0
120,1908-04-26,Netherlands,Belgium,3.0,1.0,Friendly,Rotterdam,Netherlands,False,Home,1908,Europe,4.0
121,1908-06-07,Austria,Germany,3.0,2.0,Friendly,Vienna,Austria,False,Home,1908,Europe,5.0
122,1908-08-15,Uruguay,Argentina,2.0,2.0,Copa Lipton,Montevideo,Uruguay,False,Draw,1908,America,4.0
123,1908-09-13,Argentina,Uruguay,2.0,1.0,Copa Newton,Buenos Aires,Argentina,False,Home,1908,America,3.0
124,1908-10-04,Argentina,Uruguay,0.0,1.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Away,1908,America,1.0
125,1908-10-26,Belgium,Sweden,2.0,1.0,Friendly,Brussels,Belgium,False,Home,1908,Europe,3.0
126,1909-03-01,Wales,Scotland,3.0,2.0,British Championship,Wrexham,Wales,False,Home,1909,Europe,5.0
127,1909-03-15,England,Wales,2.0,0.0,British Championship,Nottingham,England,False,Home,1909,Europe,2.0
128,1909-03-20,Northern Ireland,Wales,2.0,3.0,British Championship,Belfast,Republic of Ireland,False,Away,1909,Europe,5.0
129,1909-03-21,Belgium,Netherlands,1.0,4.0,Friendly,Antwerp,Belgium,False,Away,1909,Europe,5.0
130,1909-04-03,England,Scotland,2.0,0.0,British Championship,London,England,False,Home,1909,Europe,2.0
131,1909-04-04,Germany,Switzerland,1.0,0.0,Friendly,Karlsruhe,Germany,False,Home,1909,Europe,1.0
132,1909-04-04,Hungary,Germany,3.0,3.0,Friendly,Budapest,Hungary,False,Draw,1909,Europe,6.0
133,1909-05-02,Austria,Hungary,3.0,4.0,Friendly,Vienna,Austria,False,Away,1909,Europe,7.0
134,1909-05-29,Hungary,England,2.0,4.0,Friendly,Budapest,Hungary,False,Away,1909,Europe,6.0
135,1909-05-30,Hungary,Austria,1.0,1.0,Friendly,Budapest,Hungary,False,Draw,1909,Europe,2.0
136,1909-08-15,Argentina,Uruguay,2.0,1.0,Copa Lipton,Buenos Aires,Argentina,False,Home,1909,America,3.0
137,1909-09-19,Uruguay,Argentina,2.0,2.0,Copa Newton,Montevideo,Uruguay,False,Draw,1909,America,4.0
138,1909-10-10,Argentina,Uruguay,3.0,1.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Home,1909,America,4.0
139,1909-11-07,Hungary,Austria,2.0,2.0,Friendly,Budapest,Hungary,False,Draw,1909,Europe,4.0
140,1910-02-12,Northern Ireland,England,1.0,1.0,British Championship,Belfast,Republic of Ireland,False,Draw,1910,Europe,2.0
141,1910-03-05,Scotland,Wales,1.0,0.0,British Championship,Kilmarnock,Scotland,False,Home,1910,Europe,1.0
142,1910-03-13,Belgium,Netherlands,3.0,2.0,Friendly,Antwerp,Belgium,False,Home,1910,Europe,5.0
143,1910-03-14,Wales,England,0.0,1.0,British Championship,Cardiff,Wales,False,Away,1910,Europe,1.0
144,1910-03-19,Northern Ireland,Scotland,1.0,0.0,British Championship,Belfast,Republic of Ireland,False,Home,1910,Europe,1.0
145,1910-04-02,Scotland,England,2.0,0.0,British Championship,Glasgow,Scotland,False,Home,1910,Europe,2.0
146,1910-04-03,France,Belgium,0.0,4.0,Friendly,Gentilly,France,False,Away,1910,Europe,4.0
147,1910-04-03,Switzerland,Germany,2.0,3.0,Friendly,Basel,Switzerland,False,Away,1910,Europe,5.0
148,1910-05-01,Austria,Hungary,2.0,1.0,Friendly,Vienna,Austria,False,Home,1910,Europe,3.0
149,1910-05-16,Germany,Belgium,0.0,3.0,Friendly,Duisburg,Germany,False,Away,1910,Europe,3.0
150,1910-05-27,Argentina,Chile,3.0,1.0,Friendly,Buenos Aires,Argentina,False,Home,1910,America,4.0
151,1910-05-29,Chile,Uruguay,0.0,3.0,Friendly,Buenos Aires,Argentina,True,Away,1910,America,3.0
152,1910-08-15,Uruguay,Argentina,3.0,1.0,Copa Lipton,Montevideo,Uruguay,False,Home,1910,America,4.0
153,1910-09-11,Chile,Argentina,0.0,3.0,Friendly,Viña del Mar,Chile,False,Away,1910,America,3.0
154,1910-09-11,Norway,Sweden,0.0,4.0,Friendly,Kristiania,Norway,False,Away,1910,Europe,4.0
155,1910-10-16,Germany,Netherlands,1.0,2.0,Friendly,Kleve,Germany,False,Away,1910,Europe,3.0
156,1910-11-06,Hungary,Austria,3.0,0.0,Friendly,Budapest,Hungary,False,Home,1910,Europe,3.0
157,1910-11-13,Argentina,Uruguay,1.0,1.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Draw,1910,America,2.0
158,1911-01-01,France,Hungary,0.0,3.0,Friendly,Maisons-Alfort,France,False,Away,1911,Europe,3.0
159,1911-01-06,Italy,Hungary,0.0,1.0,Friendly,Milan,Italy,False,Away,1911,Europe,1.0
160,1911-01-08,Switzerland,Hungary,2.0,0.0,Friendly,Zürich,Switzerland,False,Home,1911,Europe,2.0
161,1911-01-28,Northern Ireland,Wales,1.0,2.0,British Championship,Belfast,Republic of Ireland,False,Away,1911,Europe,3.0
162,1911-02-11,England,Northern Ireland,2.0,1.0,British Championship,Derby,England,False,Home,1911,Europe,3.0
163,1911-03-06,Wales,Scotland,2.0,2.0,British Championship,Cardiff,Wales,False,Draw,1911,Europe,4.0
164,1911-03-13,England,Wales,3.0,0.0,British Championship,London,England,False,Home,1911,Europe,3.0
165,1911-03-18,Scotland,Northern Ireland,2.0,0.0,British Championship,Glasgow,Scotland,False,Home,1911,Europe,2.0
166,1911-04-01,England,Scotland,1.0,1.0,British Championship,Liverpool,England,False,Draw,1911,Europe,2.0
167,1911-04-02,Netherlands,Belgium,3.0,1.0,Friendly,Dordrecht,Netherlands,False,Home,1911,Europe,4.0
168,1911-04-09,France,Italy,2.0,2.0,Friendly,Saint-Ouen,France,False,Draw,1911,Europe,4.0
169,1911-04-23,Belgium,Germany,2.0,1.0,Friendly,Liège,Belgium,False,Home,1911,Europe,3.0
170,1911-05-07,Austria,Hungary,3.0,1.0,Friendly,Vienna,Austria,False,Home,1911,Europe,4.0
171,1911-05-07,Italy,Switzerland,2.0,2.0,Friendly,Milan,Italy,False,Draw,1911,Europe,4.0
172,1911-05-21,Switzerland,Italy,3.0,0.0,Friendly,La Chaux-de-Fonds,Switzerland,False,Home,1911,Europe,3.0
173,1911-06-18,Sweden,Germany,2.0,4.0,Friendly,Solna,Sweden,False,Away,1911,Europe,6.0
174,1911-08-15,Argentina,Uruguay,0.0,2.0,Copa Lipton,Buenos Aires,Argentina,False,Away,1911,America,2.0
175,1911-09-17,Uruguay,Argentina,2.0,3.0,Copa Newton,Montevideo,Uruguay,False,Away,1911,America,5.0
176,1911-10-08,Uruguay,Argentina,1.0,1.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,Draw,1911,America,2.0
177,1911-10-09,Germany,Austria,1.0,2.0,Friendly,Dresden,Germany,False,Away,1911,Europe,3.0
178,1911-10-22,Argentina,Uruguay,2.0,0.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Home,1911,America,2.0
179,1911-10-29,Germany,Sweden,1.0,3.0,Friendly,Hamburg,Germany,False,Away,1911,Europe,4.0
180,1911-10-29,Luxembourg,France,1.0,4.0,Friendly,Luxembourg,Luxembourg,False,Away,1911,Europe,5.0
181,1911-10-29,Uruguay,Argentina,3.0,0.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,Home,1911,America,3.0
182,1911-11-05,Hungary,Austria,2.0,0.0,Friendly,Budapest,Hungary,False,Home,1911,Europe,2.0
183,1911-12-17,Germany,Hungary,1.0,4.0,Friendly,Munich,Germany,False,Away,1911,Europe,5.0
184,1912-01-28,France,Belgium,1.0,1.0,Friendly,Saint-Ouen,France,False,Draw,1912,Europe,2.0
185,1912-03-02,Scotland,Wales,1.0,0.0,British Championship,Edinburgh,Scotland,False,Home,1912,Europe,1.0
186,1912-03-10,Belgium,Netherlands,1.0,2.0,Friendly,Antwerp,Belgium,False,Away,1912,Europe,3.0
187,1912-03-11,Wales,England,0.0,2.0,British Championship,Wrexham,Wales,False,Away,1912,Europe,2.0
188,1912-03-16,Northern Ireland,Scotland,1.0,4.0,British Championship,Belfast,Republic of Ireland,False,Away,1912,Europe,5.0
189,1912-03-17,Italy,France,3.0,4.0,Friendly,Turin,Italy,False,Away,1912,Europe,7.0
190,1912-03-23,Scotland,England,1.0,1.0,British Championship,Glasgow,Scotland,False,Draw,1912,Europe,2.0
191,1912-04-13,Wales,Northern Ireland,2.0,3.0,British Championship,Cardiff,Wales,False,Away,1912,Europe,5.0
192,1912-05-05,Austria,Hungary,1.0,1.0,Friendly,Vienna,Austria,False,Draw,1912,Europe,2.0
193,1912-05-05,Switzerland,Germany,1.0,2.0,Friendly,St. Gallen,Switzerland,False,Away,1912,Europe,3.0
194,1912-06-16,Norway,Sweden,1.0,2.0,Friendly,Kristiania,Norway,False,Away,1912,Europe,3.0
195,1912-06-20,Sweden,Hungary,2.0,2.0,Friendly,Gothenburg,Sweden,False,Draw,1912,Europe,4.0
196,1912-07-01,Austria,Norway,1.0,1.0,Friendly,Stockholm,Sweden,True,Draw,1912,Europe,2.0
197,1912-07-03,Hungary,Austria,3.0,0.0,Friendly,Stockholm,Sweden,True,Home,1912,Europe,3.0
198,1912-07-03,Norway,Russia,2.0,1.0,Friendly,Stockholm,Sweden,True,Home,1912,Europe,3.0
199,1912-07-05,Netherlands,Austria,3.0,1.0,Friendly,Stockholm,Sweden,True,Home,1912,Europe,4.0
200,1912-08-15,Uruguay,Argentina,2.0,0.0,Copa Lipton,Montevideo,Uruguay,False,Home,1912,America,2.0
201,1912-08-25,Uruguay,Argentina,3.0,0.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,Home,1912,America,3.0
202,1912-09-22,Argentina,Uruguay,0.0,1.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Away,1912,America,1.0
203,1912-10-06,Argentina,Uruguay,3.0,3.0,Copa Newton,Avellaneda,Argentina,False,Draw,1912,America,6.0
204,1912-10-06,Denmark,Germany,3.0,1.0,Friendly,Copenhagen,Denmark,False,Home,1912,Europe,4.0
205,1912-11-17,Germany,Netherlands,2.0,3.0,Friendly,Leipzig,Germany,False,Away,1912,Europe,5.0
206,1912-12-01,Uruguay,Argentina,1.0,3.0,Friendly,Montevideo,Uruguay,False,Away,1912,America,4.0
207,1912-12-22,Italy,Austria,1.0,3.0,Friendly,Genoa,Italy,False,Away,1912,Europe,4.0
208,1913-01-12,France,Italy,1.0,0.0,Friendly,Saint-Ouen,France,False,Home,1913,Europe,1.0
209,1913-01-18,Northern Ireland,Wales,0.0,1.0,British Championship,Belfast,Republic of Ireland,False,Away,1913,Europe,1.0
210,1913-02-15,Northern Ireland,England,2.0,1.0,British Championship,Belfast,Republic of Ireland,False,Home,1913,Europe,3.0
211,1913-02-16,Belgium,France,3.0,0.0,Friendly,Brussels,Belgium,False,Home,1913,Europe,3.0
212,1913-03-03,Wales,Scotland,0.0,0.0,British Championship,Wrexham,Wales,False,Draw,1913,Europe,0.0
213,1913-03-09,Belgium,Netherlands,3.0,3.0,Friendly,Antwerp,Belgium,False,Draw,1913,Europe,6.0
214,1913-03-09,Switzerland,France,1.0,4.0,Friendly,Geneva,Switzerland,False,Away,1913,Europe,5.0
215,1913-03-15,Northern Ireland,Scotland,1.0,2.0,British Championship,Dublin,Republic of Ireland,False,Away,1913,Europe,3.0
216,1913-04-05,England,Scotland,1.0,0.0,British Championship,London,England,False,Home,1913,Europe,1.0
217,1913-04-20,Netherlands,Belgium,2.0,4.0,Friendly,Zwolle,Netherlands,False,Away,1913,Europe,6.0
218,1913-04-27,Austria,Hungary,1.0,4.0,Friendly,Vienna,Austria,False,Away,1913,Europe,5.0
219,1913-05-01,Italy,Belgium,1.0,0.0,Friendly,Turin,Italy,False,Home,1913,Europe,1.0
220,1913-05-04,Russia,Sweden,1.0,4.0,Friendly,Moscow,Russia,False,Away,1913,Europe,5.0
221,1913-05-04,Switzerland,Belgium,1.0,2.0,Friendly,Basel,Switzerland,False,Away,1913,Europe,3.0
222,1913-05-18,Germany,Switzerland,1.0,2.0,Friendly,Freiburg,Germany,False,Away,1913,Europe,3.0
223,1913-05-18,Hungary,Sweden,2.0,0.0,Friendly,Budapest,Hungary,False,Home,1913,Europe,2.0
224,1913-06-15,Argentina,Uruguay,1.0,1.0,Friendly,Avellaneda,Argentina,False,Draw,1913,America,2.0
225,1913-06-15,Austria,Italy,2.0,0.0,Friendly,Vienna,Austria,False,Home,1913,Europe,2.0
226,1913-07-09,Argentina,Uruguay,2.0,1.0,Friendly,Avellaneda,Argentina,False,Home,1913,America,3.0
227,1913-08-31,Argentina,Uruguay,2.0,0.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Home,1913,America,2.0
228,1913-09-14,Russia,Norway,1.0,1.0,Friendly,Moscow,Russia,False,Draw,1913,Europe,2.0
229,1913-09-21,Chile,Argentina,0.0,2.0,Friendly,Viña del Mar,Chile,False,Away,1913,America,2.0
230,1913-10-05,Uruguay,Argentina,1.0,0.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,Home,1913,America,1.0
231,1913-10-26,Germany,Denmark,1.0,4.0,Friendly,Hamburg,Germany,False,Away,1913,Europe,5.0
232,1913-10-26,Norway,Sweden,1.0,1.0,Friendly,Kristiania,Norway,False,Draw,1913,Europe,2.0
233,1913-10-26,Uruguay,Argentina,1.0,0.0,Copa Newton,Montevideo,Uruguay,False,Home,1913,America,1.0
234,1913-11-02,Belgium,Switzerland,2.0,0.0,Friendly,Verviers,Belgium,False,Home,1913,Europe,2.0
235,1914-01-11,Italy,Austria,0.0,0.0,Friendly,Milan,Italy,False,Draw,1914,Europe,0.0
236,1914-01-19,Wales,Northern Ireland,1.0,2.0,British Championship,Wrexham,Wales,False,Away,1914,Europe,3.0
237,1914-02-14,England,Northern Ireland,0.0,3.0,British Championship,Middlesbrough,England,False,Away,1914,Europe,3.0
