,team,home_matches,away_matches,tot,home_win,away_win,home_draw,away_draw,home_loss,away_loss,home_win_penalty,home_loss_penalty,away_win_penalty,away_loss_penalty
93,Yugoslavia,190,291,481,108,115,36,61,45,115,0,1,0,0
94,Libya,187,154,341,100,23,48,37,38,94,0,1,0,0
95,Gabon,187,175,362,85,41,56,40,42,89,0,4,3,2
96,Burkina Faso,187,207,394,87,39,51,49,44,115,3,2,2,2
97,Albania,180,164,344,65,25,42,30,73,109,0,0,0,0
98,Angola,175,187,362,84,42,55,64,34,77,1,1,3,1
99,Canada,175,217,392,80,63,34,51,60,102,1,0,0,1
100,Sudan,174,230,404,79,57,41,58,52,115,1,1,0,0
101,Venezuela,169,224,393,56,38,47,41,66,144,0,0,0,1
102,Croatia,162,174,336,99,76,37,46,23,50,2,1,2,0
103,Barbados,162,106,268,62,27,46,14,53,65,1,0,0,0
104,Curaçao,162,176,338,76,49,46,43,40,84,0,0,0,0
105,Lithuania,159,222,381,55,49,34,37,70,136,0,0,0,0
106,Suriname,158,197,355,94,63,30,50,34,83,0,0,0,1
107,Botswana,157,131,288,56,21,38,35,58,68,3,2,5,2
108,Togo,156,235,391,77,43,38,61,41,128,0,0,2,1
109,Martinique,153,154,307,85,54,32,40,33,57,3,0,2,1
110,Mozambique,152,168,320,68,37,36,36,44,91,4,0,1,3
111,Czech Republic,151,164,315,99,70,17,42,35,50,0,0,1,1
112,Syria,148,263,411,78,75,29,65,38,119,0,3,3,1
113,Fiji,146,75,221,78,19,22,16,44,40,1,1,0,0
114,New Zealand,145,217,362,79,67,23,39,42,109,0,1,1,1
115,Cuba,142,200,342,61,56,36,41,43,101,1,1,0,2
116,Ukraine,142,144,286,78,51,37,40,26,52,0,1,1,0
117,Guyana,140,129,269,53,29,33,21,54,79,0,0,0,0
118,Slovakia,139,166,305,66,56,37,35,36,74,0,0,1,0
119,Lebanon,139,141,280,47,30,47,32,45,79,0,0,0,0
120,Liberia,136,114,250,56,13,39,18,41,83,0,0,0,0
121,Benin,133,130,263,44,16,39,25,48,88,2,0,1,0
122,New Caledonia,133,94,227,83,37,13,13,36,44,1,0,0,0
123,German DR,132,166,298,77,63,30,36,25,67,0,0,0,0
124,Lesotho,132,125,257,28,19,45,25,53,76,3,3,2,3
125,Rwanda,131,117,248,57,28,35,24,37,63,1,1,1,1
126,Slovenia,128,132,260,55,37,26,37,47,57,0,0,1,0
127,Cambodia,127,101,228,40,8,22,7,64,85,0,1,0,1
128,Guadeloupe,127,114,241,61,37,21,22,44,54,1,0,1,0
129,North Korea,126,214,340,81,63,23,64,22,83,0,0,3,1
130,North Macedonia,125,126,251,49,25,26,37,50,63,0,0,0,1
131,Uzbekistan,125,159,284,72,52,27,29,25,77,0,1,0,1
132,Gambia,124,95,219,41,13,43,20,38,62,1,1,0,0
133,Azerbaijan,121,137,258,32,17,40,29,49,91,0,0,0,0
134,Belarus,121,141,262,44,36,34,30,43,74,0,0,1,0
135,Vietnam,120,86,206,56,28,30,17,34,40,0,0,1,0
136,Bangladesh,120,96,216,35,16,27,17,56,62,1,1,0,1
137,Faroe Islands,119,118,237,32,12,15,12,72,94,0,0,0,0
138,Eswatini,119,120,239,30,18,36,27,48,71,4,1,1,3
139,Madagascar,119,108,227,54,31,29,15,35,59,1,0,1,2
140,Georgia,114,138,252,47,28,28,26,39,83,0,0,0,1
141,Serbia,112,175,287,60,67,31,43,21,63,0,0,1,1
142,Namibia,111,129,240,44,21,29,26,32,79,2,4,2,1
143,Bosnia and Herzegovina,111,121,232,48,40,30,23,33,58,0,0,0,0
144,Antigua and Barbuda,111,89,200,48,16,20,17,42,55,1,0,1,0
145,Sierra Leone,109,147,256,58,20,27,31,22,93,1,1,1,2
146,Grenada,109,110,219,49,28,21,25,39,57,0,0,0,0
147,Armenia,109,112,221,36,21,27,18,46,72,0,0,0,1
148,Mauritius,107,143,250,37,31,21,29,48,82,0,1,1,0
149,Moldova,106,141,247,23,23,30,29,53,89,0,0,0,0
150,Saint Kitts and Nevis,106,79,185,51,23,22,10,33,44,0,0,0,2
151,Philippines,103,132,235,45,21,19,21,39,90,0,0,0,0
152,Yemen,102,128,230,32,13,25,18,45,97,0,0,0,0
153,Liechtenstein,100,109,209,10,7,17,10,73,92,0,0,0,0
154,Niger,99,113,212,38,11,25,25,34,76,1,1,0,1
155,Dominica,99,87,186,31,13,21,18,47,56,0,0,0,0
156,Kazakhstan,97,111,208,32,17,24,25,40,69,1,0,0,0
157,Tahiti,94,116,210,53,56,12,16,29,44,0,0,0,0
158,Cape Verde,92,79,171,43,18,21,17,28,44,0,0,0,0
159,Mauritania,92,126,218,28,13,27,27,36,85,0,1,0,1
160,Sri Lanka,92,111,203,28,12,19,15,45,83,0,0,1,0
161,Saint Lucia,92,107,199,39,27,14,16,39,64,0,0,0,0
162,Nepal,91,95,186,31,9,17,14,43,72,0,0,0,0
163,Bermuda,91,67,158,39,17,18,9,34,41,0,0,0,0
164,Andorra,91,86,177,6,0,13,9,72,77,0,0,0,0
165,San Marino,88,86,174,1,0,3,3,84,83,0,0,0,0
166,Burundi,84,107,191,35,24,20,25,28,56,0,1,0,2
167,Maldives,81,81,162,33,14,16,9,31,57,0,1,0,1
168,Guinea-Bissau,76,73,149,32,10,15,14,27,49,0,2,0,0
169,Solomon Islands,76,94,170,43,29,11,17,22,46,0,0,1,1
170,Pakistan,74,116,190,21,17,14,20,39,79,0,0,0,0
171,Laos,73,90,163,24,7,15,11,34,72,0,0,0,0
172,Palestine,72,119,191,30,24,18,34,24,61,0,0,0,0
173,French Guiana,71,88,159,27,20,16,15,28,51,0,0,0,2
174,Equatorial Guinea,69,63,132,28,2,17,8,22,51,0,2,0,2
175,Dominican Republic,67,52,119,31,15,10,7,26,30,0,0,0,0
176,Montenegro,64,56,120,28,13,16,16,20,27,0,0,0,0
177,Saint Vincent and the Grenadines,63,88,151,35,30,13,26,15,32,0,0,0,0
178,Vanuatu,63,111,174,21,35,12,9,30,66,0,0,0,1
179,Tajikistan,62,91,153,33,27,8,20,21,44,0,0,0,0
180,Aruba,62,62,124,17,5,14,13,31,44,0,0,0,0
181,Macau,62,66,128,16,5,8,7,38,54,0,0,0,0
182,Chad,60,58,118,17,8,14,11,26,39,2,1,0,0
183,Kyrgyzstan,60,89,149,23,22,14,9,23,58,0,0,0,0
184,Gibraltar,59,50,109,22,10,7,5,30,35,0,0,0,0
185,Turkmenistan,58,82,140,31,22,12,11,15,49,0,0,0,0
186,Zanzibar,58,147,205,17,24,9,30,31,92,1,0,1,0
187,Cayman Islands,57,38,95,16,3,8,7,33,28,0,0,0,0
188,Puerto Rico,55,68,123,14,11,13,8,28,49,0,0,0,0
189,Papua New Guinea,55,61,116,19,16,14,6,21,39,0,1,0,0
190,Central African Republic,54,46,100,18,2,12,7,21,37,1,2,0,0
191,Seychelles,51,62,113,11,2,8,9,32,50,0,0,1,0
192,Nicaragua,51,110,161,17,12,7,8,27,90,0,0,0,0
193,Jersey,48,34,82,38,17,7,4,3,13,0,0,0,0
194,Vietnam Republic,48,105,153,28,38,7,18,13,47,0,0,1,1
195,Guam,46,55,101,17,6,5,4,24,45,0,0,0,0
196,Somalia,44,65,109,6,4,7,4,31,56,0,0,0,1
197,Djibouti,42,48,90,5,0,5,2,32,46,0,0,0,0
198,British Virgin Islands,41,54,95,10,6,5,7,24,41,1,1,0,0
199,Réunion,41,40,81,12,15,7,6,22,19,0,0,0,0
200,Afghanistan,41,75,116,17,14,8,19,16,42,0,0,0,0
201,Catalonia,39,9,48,18,1,10,2,11,6,0,0,0,0
202,Guernsey,37,40,77,22,15,8,9,7,16,0,0,0,0
203,Belize,35,47,82,14,5,4,8,17,34,0,0,0,0
204,Kosovo,34,19,53,17,4,4,6,13,9,0,0,0,0
205,Basque Country,33,25,58,22,16,6,5,5,4,0,0,0,0
206,Samoa,32,19,51,14,2,3,1,15,16,0,0,0,0
207,Greenland,30,43,73,12,12,5,4,13,27,0,0,0,0
208,Comoros,30,33,63,4,5,13,7,13,21,0,0,0,0
209,Ynys Môn,29,32,61,18,14,5,6,6,12,0,0,0,0
210,Padania,28,15,43,20,9,5,3,3,3,0,0,0,0
211,Åland Islands,27,19,46,14,7,4,2,9,10,0,0,0,0
212,Bhutan,27,54,81,6,2,3,2,18,50,0,0,0,0
213,Mongolia,26,50,76,13,7,1,7,12,36,0,0,0,0
214,Isle of Wight,26,18,44,16,7,4,3,6,8,0,0,0,0
215,Eritrea,26,46,72,7,4,9,7,10,35,0,0,0,0
216,Brunei,26,47,73,8,2,1,4,17,41,0,0,0,0
217,United States Virgin Islands,24,34,58,2,5,2,4,20,25,0,0,0,0
218,American Samoa,24,24,48,4,1,2,0,18,23,0,0,0,0
219,Taiwan,23,129,152,12,26,2,18,9,84,0,0,1,0
220,Tonga,23,33,56,9,5,1,5,13,23,0,0,0,0
221,South Sudan,23,25,48,6,2,8,1,9,22,0,0,0,0
222,Shetland,22,29,51,12,6,5,2,5,21,0,0,0,0
223,Isle of Man,22,27,49,14,15,3,1,5,11,0,0,0,0
224,São Tomé and Príncipe,22,26,48,7,1,2,3,13,22,0,0,0,0
225,Anguilla,22,43,65,2,1,2,3,18,39,0,0,0,0
226,Northern Cyprus,21,13,34,14,6,5,2,2,5,0,0,0,0
227,Bahamas,20,21,41,7,4,6,1,7,16,0,0,0,0
228,Gotland,20,10,30,9,2,2,2,9,6,0,0,0,0
229,Sápmi,18,8,26,9,2,1,1,8,5,0,0,0,0
230,Abkhazia,18,10,28,9,3,7,5,2,2,0,0,0,0
231,Saint Martin,18,26,44,9,5,1,2,8,19,0,0,0,0
232,Montserrat,17,28,45,5,6,3,3,9,19,0,0,0,0
233,Cook Islands,17,26,43,6,3,2,2,9,21,0,0,0,0
234,Sint Maarten,17,17,34,7,3,3,1,7,12,0,0,0,1
235,Saare County,15,20,35,4,1,0,5,11,14,0,0,0,0
236,East Timor,15,36,51,3,1,1,2,11,33,0,0,0,0
237,Iraqi Kurdistan,13,14,27,8,5,3,5,2,4,0,0,0,0
238,Andalusia,12,1,13,7,1,4,0,1,0,0,0,0,0
239,Frøya,12,18,30,3,3,1,1,8,14,0,0,0,0
240,Orkney,12,9,21,4,1,0,0,8,8,0,0,0,0
241,Western Isles,11,17,28,6,5,1,2,4,10,0,0,0,0
242,Falkland Islands,11,18,29,2,4,0,0,9,14,0,0,0,0
243,Tuvalu,11,23,34,4,1,1,3,6,19,0,0,0,0
244,Barawa,11,1,12,3,0,0,0,8,1,0,0,0,0
245,Rhodes,11,7,18,8,3,1,1,2,3,0,0,0,0
246,Turks and Caicos Islands,11,19,30,3,3,0,2,8,14,0,0,0,0
247,Menorca,11,10,21,8,2,0,6,3,2,0,0,0,0
248,Northern Mariana Islands,10,14,24,1,1,2,0,7,13,0,0,0,0
249,Myanmar,9,9,18,3,2,2,0,4,7,0,0,0,0
250,Székely Land,9,14,23,4,2,1,2,4,10,0,0,0,0
251,Brittany,9,3,12,5,1,2,1,2,1,0,0,0,0
252,Occitania,9,9,18,4,4,1,2,4,3,0,0,0,0
253,Provence,8,9,17,2,2,1,0,5,7,0,0,0,0
254,United Koreans in Japan,8,3,11,2,0,4,2,2,1,0,0,0,0
255,Bonaire,8,13,21,1,6,2,1,5,6,0,0,0,0
256,Ellan Vannin,8,9,17,5,2,2,3,1,4,0,0,0,0
257,Hitra,8,11,19,3,1,1,0,4,10,0,0,0,0
258,Silesia,8,0,8,3,0,2,0,3,0,0,0,0,0
259,Kernow,8,3,11,3,3,2,0,3,0,0,0,0,0
260,Corsica,8,1,9,3,1,4,0,1,0,0,0,0,0
