,team,confederation,games,home_games,away_games,neutral_games,wins,home_wins,away_wins,neutral_wins,defeats,home_defeats,away_defeats,neutral_defeats,draws,home_draws,away_draws,neutral_draws,goals_scored,home_goals_scored,away_goals_scored,neutral_goals_scored,goals_conceded,home_goals_conceded,away_goals_conceded,neutral_goals_conceded
54,Denmark,UEFA,802,376,361,65,366,212,128,26,265,91,152,22,171,73,81,17,1447,836,518,93,1081,444,555,82
55,Djibouti,CAF,81,20,28,33,3,3,0,0,72,14,27,31,6,3,1,2,52,13,17,22,313,45,136,132
56,Dominica,CONCACAF,145,42,55,48,37,18,8,11,79,17,37,25,29,7,10,12,185,67,49,69,286,69,120,97
57,Dominican Republic,CONCACAF,105,51,35,19,41,24,8,9,50,20,24,6,14,7,3,4,165,98,35,32,173,53,91,29
58,Ecuador,CONMEBOL,522,164,184,174,156,88,31,37,238,36,111,91,128,40,42,46,636,282,158,196,849,169,342,338
59,Egypt,CAF,611,250,199,162,301,165,57,79,154,41,70,43,156,44,72,40,980,506,195,279,592,193,244,155
60,El Salvador,CONCACAF,508,151,154,203,168,84,24,60,228,41,95,92,112,26,35,51,626,310,105,211,747,176,276,295
61,England,UEFA,1020,459,453,108,580,296,242,42,197,63,101,33,243,100,110,33,2227,1103,973,151,996,398,486,112
62,Equatorial Guinea,CAF,131,63,46,22,29,27,1,1,73,19,41,13,29,17,4,8,109,70,23,16,210,58,115,37
63,Eritrea,CAF,68,16,24,28,11,5,1,5,44,5,21,18,13,6,2,5,48,10,14,24,123,14,63,46
64,Estonia,UEFA,472,206,222,44,120,67,42,11,249,88,141,20,103,51,39,13,475,241,182,52,837,288,461,88
65,Ethiopia,CAF,346,164,113,69,121,83,19,19,149,38,78,33,76,43,16,17,472,277,108,87,524,148,258,118
66,Faroe Islands,UEFA,224,96,108,20,32,17,10,5,166,65,88,13,26,14,10,2,152,75,58,19,562,220,295,47
67,Fiji,OFC,190,76,44,70,77,34,7,36,76,27,28,21,37,15,9,13,348,123,46,179,320,114,110,96
68,Finland,UEFA,747,309,392,46,194,100,77,17,400,148,233,19,153,61,82,10,878,457,373,48,1545,612,884,49
69,France,UEFA,839,435,313,91,423,256,124,43,238,92,122,24,178,87,67,24,1503,878,476,149,1092,467,519,106
70,Gabon,CAF,352,152,118,82,123,74,24,25,127,30,70,27,102,48,24,30,408,211,98,99,398,114,187,97
71,Gambia,CAF,218,91,81,46,54,31,8,15,99,26,56,17,65,34,17,14,203,90,55,58,304,90,152,62
72,Georgia,UEFA,249,98,127,24,73,41,24,8,122,31,80,11,54,26,23,5,281,135,117,29,355,99,224,32
73,Germany,UEFA,958,424,384,150,559,266,209,84,199,70,96,33,200,88,79,33,2144,1090,767,287,1107,447,480,180
74,Ghana,CAF,582,172,222,188,268,111,68,89,154,16,88,50,160,45,66,49,906,374,273,259,599,126,288,185
75,Gibraltar,UEFA,59,18,28,13,8,4,2,2,45,12,23,10,6,2,3,1,26,14,7,5,198,48,101,49
76,Greece,UEFA,564,260,247,57,212,123,71,18,206,77,102,27,146,60,74,12,704,391,258,55,772,297,386,89
77,Grenada,CONCACAF,179,63,67,49,61,24,17,20,85,27,39,19,33,12,11,10,304,124,82,98,353,106,161,86
78,Guam,AFC,66,14,24,28,10,6,1,3,50,5,20,25,6,3,3,0,44,18,11,15,326,30,105,191
79,Guatemala,CONCACAF,453,152,135,166,161,80,25,56,176,35,79,62,116,37,31,48,628,283,119,226,611,159,231,221
80,Guinea,CAF,464,121,189,154,172,81,37,54,156,12,93,51,136,28,59,49,628,235,188,205,562,82,287,193
81,Guinea-Bissau,CAF,146,44,47,55,39,19,6,14,76,16,32,28,31,9,9,13,140,56,24,60,231,61,82,88
82,Guyana,CONCACAF,205,84,85,36,63,36,13,14,100,27,57,16,42,21,15,6,252,125,73,54,345,106,184,55
83,Haiti,CONCACAF,412,154,138,120,167,78,43,46,156,38,74,44,89,38,21,30,630,293,171,166,568,152,254,162
84,Honduras,CONCACAF,513,173,161,179,206,99,33,74,169,26,84,59,138,48,44,46,753,302,171,280,632,125,285,222
85,Hong Kong,AFC,319,126,100,93,95,44,25,26,153,50,56,47,71,32,19,20,404,195,97,112,522,183,194,145
86,Hungary,UEFA,916,424,429,63,431,239,162,30,286,90,175,21,199,95,92,12,1865,981,750,134,1363,517,757,89
87,IR Iran,AFC,496,183,152,161,270,125,72,73,98,21,37,40,128,37,43,48,904,422,208,274,399,108,145,146
88,Iceland,UEFA,444,186,213,45,140,79,49,12,220,71,129,20,84,36,35,13,539,259,239,41,735,238,433,64
89,India,AFC,346,118,101,127,109,44,20,45,158,42,63,53,79,32,18,29,462,172,116,174,603,166,238,199
90,Indonesia,AFC,462,160,125,177,159,76,20,63,210,52,79,79,93,32,26,35,708,298,120,290,813,220,304,289
91,Iraq,AFC,537,85,177,275,245,57,54,134,136,8,62,66,156,20,61,75,836,192,186,458,500,53,199,248
92,Israel,UEFA,430,224,180,26,147,88,48,11,178,77,92,9,105,59,40,6,615,340,225,50,636,290,310,36
93,Italy,UEFA,811,375,296,140,437,252,124,61,150,32,83,35,224,91,89,44,1411,815,407,189,777,277,346,154
94,Jamaica,CONCACAF,531,206,202,123,199,109,52,38,213,46,114,53,119,51,36,32,680,341,203,136,732,190,365,177
95,Japan,AFC,596,254,145,197,282,144,53,85,179,54,59,66,135,56,33,46,1011,489,178,344,682,245,182,255
96,Jordan,AFC,397,155,127,115,138,66,29,43,139,37,65,37,120,52,33,35,473,213,113,147,432,119,190,123
97,Kazakhstan,UEFA,199,76,91,32,43,21,10,12,108,36,62,10,48,19,19,10,195,90,68,37,338,110,199,29
98,Kenya,CAF,578,230,222,126,199,117,36,46,226,53,124,49,153,60,62,31,723,358,208,157,814,263,383,168
99,Korea DPR,AFC,316,39,122,155,123,26,34,63,104,5,49,50,89,8,39,42,441,64,131,246,370,19,168,183
100,Korea Republic,AFC,802,293,201,308,419,181,89,149,177,45,57,75,206,67,55,84,1395,580,300,515,724,192,223,309
101,Kosovo,UEFA,52,21,15,16,20,12,2,6,22,5,8,9,10,4,5,1,71,37,18,16,77,27,24,26
102,Kuwait,AFC,559,222,141,196,229,103,38,88,175,59,63,53,155,60,40,55,834,370,157,307,609,208,204,197
103,Laos,AFC,130,31,44,55,18,6,2,10,90,16,39,35,22,9,3,10,119,37,25,57,440,72,198,170
104,Latvia,UEFA,395,160,185,50,111,58,36,17,189,64,106,19,95,38,43,14,467,211,194,62,654,232,362,60
105,Lebanon,AFC,275,115,94,66,75,40,19,16,124,34,54,36,76,41,21,14,317,173,71,73,429,139,174,116
106,Lesotho,CAF,210,83,88,39,36,15,11,10,108,28,61,19,66,40,16,10,163,61,57,45,341,88,190,63
107,Liberia,CAF,248,116,102,30,69,51,10,8,123,29,75,19,56,36,17,3,220,133,57,30,346,103,202,41
108,Libya,CAF,336,125,128,83,120,71,17,32,130,22,85,23,86,32,26,28,418,215,82,121,407,114,214,79
109,Liechtenstein,UEFA,209,96,102,11,17,10,5,2,165,70,87,8,27,16,10,1,94,45,40,9,593,237,337,19
110,Lithuania,UEFA,353,137,177,39,92,49,32,11,194,60,117,17,67,28,28,11,360,159,151,50,645,190,386,69
111,Luxembourg,UEFA,404,222,169,13,38,26,10,2,316,162,144,10,50,34,15,1,248,156,83,9,1082,512,539,31
112,Macau,AFC,103,31,36,36,14,6,0,8,76,20,33,23,13,5,3,5,77,24,13,40,336,85,138,113
113,Madagascar,CAF,191,76,78,37,66,36,17,13,84,21,48,15,41,19,13,9,225,107,73,45,291,85,155,51
114,Malawi,CAF,517,251,177,89,176,109,30,37,192,68,99,25,149,74,48,27,598,340,145,113,651,249,311,91
115,Malaysia,AFC,474,185,146,143,153,72,25,56,198,61,89,48,123,52,32,39,645,291,128,226,729,231,293,205
116,Maldives,AFC,153,46,55,52,45,18,6,21,82,18,42,22,26,10,7,9,212,89,32,91,339,53,168,118
117,Mali,CAF,500,154,187,159,198,88,45,65,172,25,94,53,130,41,48,41,634,248,173,213,572,117,274,181
118,Malta,UEFA,404,216,164,24,51,35,10,6,283,134,134,15,70,47,20,3,256,175,61,20,916,383,478,55
119,Mauritania,CAF,217,73,78,66,41,26,8,7,121,22,52,47,55,25,18,12,161,67,41,53,338,64,145,129
120,Mauritius,CAF,200,74,97,29,41,22,13,6,122,38,64,20,37,14,20,3,178,90,66,22,374,117,201,56
121,Mexico,CONCACAF,859,256,222,381,438,173,73,192,221,27,91,103,200,56,58,86,1483,597,264,622,900,187,306,407
122,Moldova,UEFA,245,87,121,37,44,17,16,11,142,44,81,17,59,26,24,9,188,72,78,38,414,132,240,42
123,Mongolia,AFC,50,9,23,18,10,4,1,5,32,4,17,11,8,1,5,2,48,12,12,24,144,12,94,38
124,Montenegro,UEFA,120,61,56,3,41,27,14,0,47,19,27,1,32,15,15,2,144,85,59,0,158,69,88,1
125,Montserrat,CONCACAF,35,9,13,13,9,4,4,1,20,3,8,9,6,2,1,3,37,11,8,18,102,17,34,51
126,Morocco,CAF,530,233,176,121,248,147,50,51,125,31,64,30,157,55,62,40,744,412,171,161,435,137,195,103
127,Mozambique,CAF,293,118,123,52,92,57,21,14,128,28,71,29,73,33,31,9,300,168,91,41,378,106,192,80
128,Myanmar,AFC,15,7,6,2,5,3,2,0,9,3,4,2,1,1,0,0,16,9,6,1,32,11,13,8
129,Namibia,CAF,234,90,102,42,64,35,14,15,109,26,68,15,61,29,20,12,238,115,70,53,334,93,189,52
130,Nepal,AFC,174,45,50,79,34,15,2,17,112,18,42,52,28,12,6,10,130,40,14,76,435,46,187,202
131,Netherlands,UEFA,785,374,321,90,399,216,135,48,208,73,117,18,178,85,69,24,1622,913,545,164,963,388,494,81
132,New Caledonia,OFC,184,70,37,77,97,43,9,45,65,21,21,23,22,6,7,9,461,184,56,221,261,91,74,96
