,team,confederation,total_matches,neutral_matches,neutral_matches_wins,neutral_matches_losses,neutral_matches_draws,neutral_matches_goal_scored,neutral_matches_goal_conceded,home_matches,home_matches_wins,home_matches_losses,home_matches_draws,home_matches_goal_scored,home_matches_goal_conceded,away_matches,away_matches_wins,away_matches_losses,away_matches_draws,away_matches_goal_scored,away_matches_goal_conceded
176,Sudan,CAF,394,126,44,45,37,161,156,119,63,34,22,175,122,149,25,85,39,105,251
178,Sweden,UEFA,1030,109,42,33,34,155,114,453,272,88,93,1089,523,468,194,176,98,788,680
179,Switzerland,UEFA,809,61,21,26,14,77,97,391,175,131,85,686,549,357,91,188,78,432,704
184,Tanzania,CAF,488,113,35,50,28,147,188,170,63,47,60,201,168,205,24,126,55,169,398
185,Thailand,AFC,584,201,63,91,47,293,392,261,133,64,64,457,285,122,18,75,29,124,246
187,Togo,CAF,386,86,26,36,24,102,119,138,69,35,34,193,124,162,24,94,44,117,280
189,Trinidad and Tobago,CONCACAF,607,103,43,38,22,182,132,247,143,55,49,515,224,257,68,132,57,313,444
190,Tunisia,CAF,577,124,43,38,43,173,149,265,154,44,67,469,204,188,48,84,56,191,250
191,Turkey,UEFA,577,69,30,26,13,100,90,249,113,73,63,376,294,259,77,115,67,289,427
195,USA,CONCACAF,696,73,24,37,12,99,122,401,220,91,90,690,392,222,60,119,43,237,403
196,Uganda,CAF,594,187,81,53,53,288,208,201,118,33,50,412,194,206,44,102,60,192,308
197,Ukraine,UEFA,286,42,21,13,8,61,45,127,70,22,35,199,98,117,38,43,36,137,149
198,United Arab Emirates,AFC,525,179,60,74,45,204,242,225,116,53,56,398,237,121,34,58,29,132,182
199,Uruguay,CONMEBOL,887,222,109,74,39,419,276,292,174,44,74,544,259,373,103,165,105,429,567
202,Venezuela,CONMEBOL,386,86,21,47,18,93,171,152,54,56,42,194,219,148,18,102,28,100,350
204,Wales,UEFA,668,28,9,16,3,27,39,314,121,111,82,456,428,326,84,182,60,344,621
206,Yugoslavia,UEFA,471,58,33,14,11,122,69,180,103,43,34,419,230,233,83,100,50,382,428
207,Zambia,CAF,709,194,82,56,56,273,208,214,130,30,54,423,174,301,105,117,79,369,360
208,Zimbabwe,CAF,444,106,39,28,39,149,124,145,81,22,42,227,111,193,55,94,44,212,278
