,team,confederation,games,home_games,away_games,neutral_games,wins,home_wins,away_wins,neutral_wins,defeats,home_defeats,away_defeats,neutral_defeats,draws,home_draws,away_draws,neutral_draws,goals_scored,home_goals_scored,away_goals_scored,neutral_goals_scored,goals_conceded,home_goals_conceded,away_goals_conceded,neutral_goals_conceded
0,Afghanistan,AFC,110,5.454545454545454,39.09090909090909,55.45454545454545,25.454545454545453,1.8181818181818181,2.727272727272727,20.909090909090907,52.72727272727272,2.727272727272727,28.18181818181818,21.818181818181817,21.818181818181817,0.9090909090909091,8.181818181818182,12.727272727272727,104.54545454545455,5.454545454545454,21.818181818181817,77.27272727272727,206.36363636363635,8.181818181818182,95.45454545454545,102.72727272727273
1,Albania,UEFA,341,46.33431085043988,46.9208211143695,6.744868035190615,26.392961876832842,17.008797653958943,7.038123167155426,2.346041055718475,52.785923753665685,18.475073313782993,31.378299120234605,2.932551319648094,20.821114369501466,10.850439882697946,8.504398826979472,1.466275659824047,92.96187683284457,52.19941348973607,33.724340175953074,7.038123167155426,154.54545454545453,52.49266862170088,93.54838709677419,8.504398826979472
2,Algeria,CAF,506,37.54940711462451,34.78260869565217,27.66798418972332,43.08300395256917,24.110671936758894,7.905138339920949,11.067193675889328,29.446640316205535,4.940711462450593,15.41501976284585,9.090909090909092,27.4703557312253,8.49802371541502,11.462450592885375,7.5098814229249005,142.09486166007906,75.29644268774703,28.063241106719367,38.73517786561265,100.98814229249011,28.26086956521739,43.67588932806324,29.051383399209485
3,American Samoa,OFC,38,0.0,26.31578947368421,73.68421052631578,10.526315789473683,0.0,2.631578947368421,7.894736842105263,86.8421052631579,0.0,23.684210526315788,63.1578947368421,2.631578947368421,0.0,0.0,2.631578947368421,63.1578947368421,0.0,13.157894736842104,50.0,739.4736842105262,0.0,202.6315789473684,536.8421052631579
4,Andorra,UEFA,176,40.340909090909086,45.45454545454545,14.204545454545455,3.4090909090909087,2.840909090909091,0.0,0.5681818181818182,84.0909090909091,32.95454545454545,41.47727272727273,9.659090909090908,12.5,4.545454545454546,3.977272727272727,3.977272727272727,27.84090909090909,14.772727272727273,10.227272727272728,2.840909090909091,259.65909090909093,90.3409090909091,142.04545454545453,27.27272727272727
5,Angola,CAF,345,34.78260869565217,40.869565217391305,24.347826086956523,33.91304347826087,19.420289855072465,8.405797101449275,6.086956521739131,31.30434782608696,4.9275362318840585,17.681159420289855,8.695652173913043,34.78260869565217,10.434782608695652,14.782608695652174,9.565217391304348,112.17391304347825,52.46376811594203,34.20289855072463,25.507246376811594,106.95652173913044,25.79710144927536,51.30434782608696,29.855072463768117
6,Anguilla,CONCACAF,47,23.404255319148938,48.93617021276596,27.659574468085108,2.127659574468085,0.0,2.127659574468085,0.0,89.36170212765957,21.27659574468085,42.5531914893617,25.53191489361702,8.51063829787234,2.127659574468085,4.25531914893617,2.127659574468085,46.808510638297875,6.382978723404255,27.659574468085108,12.76595744680851,476.59574468085106,63.829787234042556,246.80851063829786,165.95744680851064
7,Antigua and Barbuda,CONCACAF,160,41.875,40.625,17.5,33.75,19.375,7.5,6.875000000000001,48.125,16.875,24.375,6.875000000000001,18.125,5.625,8.75,3.75,145.625,63.125,49.375,33.125,178.75,53.75,93.75,31.25
8,Argentina,CONMEBOL,989,33.872598584428715,38.624873609706775,27.502527805864506,53.58948432760364,22.24469160768453,14.762386248736098,16.582406471183013,21.435793731041457,3.1344792719919106,12.942366026289182,5.358948432760364,24.974721941354904,8.493427704752275,10.920121334681497,5.5611729019211324,186.24873609706773,72.3963599595551,55.51061678463094,58.341759352881695,104.75227502527807,26.188068756319517,49.3427704752275,29.221435793731043
9,Armenia,UEFA,219,40.63926940639269,45.662100456621005,13.698630136986301,25.570776255707763,12.785388127853881,8.21917808219178,4.5662100456621,53.42465753424658,17.80821917808219,30.59360730593607,5.0228310502283104,21.00456621004566,10.045662100456621,6.8493150684931505,4.10958904109589,102.28310502283105,46.118721461187214,36.986301369863014,19.17808219178082,171.23287671232876,58.9041095890411,92.23744292237443,20.091324200913242
10,Aruba,CONCACAF,99,39.39393939393939,40.4040404040404,20.2020202020202,19.19191919191919,13.131313131313133,3.0303030303030303,3.0303030303030303,58.58585858585859,16.161616161616163,28.28282828282828,14.14141414141414,22.22222222222222,10.1010101010101,9.090909090909092,3.0303030303030303,135.35353535353536,62.62626262626263,42.42424242424242,30.303030303030305,243.43434343434342,72.72727272727273,113.13131313131312,57.57575757575758
11,Australia,AFC,497,43.05835010060362,36.820925553319924,20.12072434607646,47.88732394366197,23.943661971830984,14.88933601609658,9.054325955734406,29.577464788732392,10.865191146881289,12.676056338028168,6.036217303822937,22.535211267605636,8.249496981891348,9.25553319919517,5.030181086519115,192.5553319919517,99.59758551307847,55.93561368209256,37.02213279678068,112.07243460764586,47.88732394366197,40.24144869215292,23.943661971830984
12,Austria,UEFA,791,50.316055625790135,44.24778761061947,5.436156763590392,41.97218710493047,26.04298356510746,14.15929203539823,1.7699115044247788,36.53603034134007,14.664981036662454,19.342604298356513,2.5284450063211126,21.491782553729458,9.608091024020228,10.745891276864729,1.1378002528445006,178.3817951959545,101.26422250316057,70.03792667509482,7.079646017699115,156.63716814159292,65.36030341340076,82.80657395701644,8.470290771175728
13,Azerbaijan,UEFA,252,34.523809523809526,48.80952380952381,16.666666666666664,18.253968253968253,9.126984126984127,5.952380952380952,3.1746031746031744,55.158730158730165,15.079365079365079,33.730158730158735,6.349206349206349,26.58730158730159,10.317460317460316,9.126984126984127,7.142857142857142,71.03174603174604,30.952380952380953,28.174603174603174,11.904761904761903,165.87301587301587,42.857142857142854,106.34920634920636,16.666666666666664
14,Bahamas,CONCACAF,37,40.54054054054054,37.83783783783784,21.62162162162162,27.027027027027028,13.513513513513514,5.405405405405405,8.108108108108109,56.75675675675676,10.81081081081081,32.432432432432435,13.513513513513514,16.216216216216218,16.216216216216218,0.0,0.0,121.62162162162163,70.27027027027027,21.62162162162162,29.72972972972973,316.21621621621625,59.45945945945946,181.08108108108107,75.67567567567568
15,Bahrain,AFC,488,35.86065573770492,25.204918032786882,38.9344262295082,33.19672131147541,14.549180327868852,5.737704918032787,12.90983606557377,38.114754098360656,10.860655737704917,12.295081967213115,14.959016393442623,28.688524590163933,10.450819672131148,7.172131147540983,11.065573770491802,120.49180327868851,50.409836065573764,22.540983606557376,47.540983606557376,127.45901639344261,37.704918032786885,39.959016393442624,49.795081967213115
