,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent
60,1888-04-07,138.0,61.0,1.0,5.0,17.0,184.0,179.0,0.0,2.0,1888,3.0
61,1888-09-19,159.0,35.0,4.0,0.0,57.0,592.0,189.0,0.0,1.0,1888,3.0
62,1889-02-23,61.0,203.0,4.0,1.0,17.0,1579.0,67.0,0.0,1.0,1889,3.0
63,1889-03-02,61.0,138.0,6.0,1.0,17.0,916.0,67.0,0.0,1.0,1889,3.0
64,1889-03-09,159.0,138.0,7.0,0.0,17.0,592.0,189.0,0.0,1.0,1889,3.0
65,1889-04-13,61.0,159.0,2.0,3.0,17.0,930.0,67.0,0.0,2.0,1889,3.0
66,1889-04-15,203.0,159.0,0.0,0.0,17.0,1800.0,242.0,0.0,0.0,1889,3.0
67,1889-04-27,138.0,203.0,1.0,3.0,17.0,184.0,179.0,0.0,2.0,1889,3.0
68,1890-02-08,203.0,138.0,5.0,2.0,17.0,1529.0,67.0,1.0,1.0,1890,3.0
69,1890-03-15,138.0,61.0,1.0,9.0,17.0,184.0,179.0,0.0,2.0,1890,3.0
70,1890-03-15,203.0,61.0,1.0,3.0,17.0,1800.0,242.0,0.0,2.0,1890,3.0
71,1890-03-22,159.0,203.0,5.0,0.0,17.0,1223.0,189.0,0.0,1.0,1890,3.0
72,1890-03-29,138.0,159.0,1.0,4.0,17.0,184.0,179.0,0.0,2.0,1890,3.0
73,1890-04-05,159.0,61.0,1.0,1.0,17.0,592.0,189.0,0.0,0.0,1890,3.0
74,1891-02-07,138.0,203.0,7.0,2.0,17.0,184.0,179.0,0.0,1.0,1891,3.0
75,1891-03-07,61.0,203.0,4.0,1.0,17.0,1589.0,67.0,0.0,1.0,1891,3.0
76,1891-03-07,61.0,138.0,6.0,1.0,17.0,1798.0,67.0,0.0,1.0,1891,3.0
77,1891-03-21,203.0,159.0,3.0,4.0,17.0,1800.0,242.0,0.0,2.0,1891,3.0
78,1891-03-28,159.0,138.0,2.0,1.0,17.0,592.0,189.0,0.0,1.0,1891,3.0
79,1891-04-06,61.0,159.0,2.0,1.0,17.0,225.0,67.0,0.0,1.0,1891,3.0
80,1892-02-27,203.0,138.0,1.0,1.0,17.0,151.0,242.0,0.0,0.0,1892,3.0
81,1892-03-05,138.0,61.0,0.0,2.0,17.0,184.0,179.0,0.0,2.0,1892,3.0
82,1892-03-05,203.0,61.0,0.0,2.0,17.0,1800.0,242.0,0.0,2.0,1892,3.0
83,1892-03-19,138.0,159.0,2.0,3.0,17.0,184.0,179.0,0.0,2.0,1892,3.0
84,1892-03-26,159.0,203.0,6.0,1.0,17.0,504.0,189.0,0.0,1.0,1892,3.0
85,1892-04-02,159.0,61.0,1.0,4.0,17.0,592.0,189.0,0.0,2.0,1892,3.0
86,1893-02-25,61.0,138.0,6.0,1.0,17.0,217.0,67.0,0.0,1.0,1893,3.0
87,1893-03-13,61.0,203.0,6.0,0.0,17.0,1579.0,67.0,0.0,1.0,1893,3.0
88,1893-03-18,203.0,159.0,0.0,8.0,17.0,1800.0,242.0,0.0,2.0,1893,3.0
89,1893-03-25,159.0,138.0,6.0,1.0,17.0,592.0,189.0,0.0,1.0,1893,3.0
90,1893-04-01,61.0,159.0,5.0,2.0,17.0,1378.0,67.0,0.0,1.0,1893,3.0
91,1894-02-24,203.0,138.0,4.0,1.0,17.0,1597.0,242.0,0.0,1.0,1894,3.0
92,1894-03-03,138.0,61.0,2.0,2.0,17.0,184.0,179.0,0.0,0.0,1894,3.0
93,1894-03-12,203.0,61.0,1.0,5.0,17.0,1800.0,242.0,0.0,2.0,1894,3.0
94,1894-03-24,159.0,203.0,5.0,2.0,17.0,794.0,189.0,0.0,1.0,1894,3.0
95,1894-03-31,138.0,159.0,1.0,2.0,17.0,184.0,179.0,0.0,2.0,1894,3.0
96,1894-04-07,159.0,61.0,2.0,2.0,17.0,592.0,189.0,0.0,0.0,1894,3.0
97,1895-03-09,61.0,138.0,9.0,0.0,17.0,458.0,67.0,0.0,1.0,1895,3.0
98,1895-03-16,138.0,203.0,2.0,2.0,17.0,184.0,179.0,0.0,0.0,1895,3.0
99,1895-03-18,61.0,203.0,1.0,1.0,17.0,930.0,67.0,0.0,0.0,1895,3.0
100,1895-03-23,203.0,159.0,2.0,2.0,17.0,1800.0,242.0,0.0,0.0,1895,3.0
101,1895-03-30,159.0,138.0,3.0,1.0,17.0,592.0,189.0,0.0,1.0,1895,3.0
102,1895-04-06,61.0,159.0,3.0,0.0,17.0,916.0,67.0,0.0,1.0,1895,3.0
103,1896-02-29,203.0,138.0,6.0,1.0,17.0,1800.0,242.0,0.0,1.0,1896,3.0
104,1896-03-07,138.0,61.0,0.0,2.0,17.0,184.0,179.0,0.0,2.0,1896,3.0
105,1896-03-16,203.0,61.0,1.0,9.0,17.0,319.0,242.0,0.0,2.0,1896,3.0
106,1896-03-21,159.0,203.0,4.0,0.0,17.0,492.0,189.0,0.0,1.0,1896,3.0
107,1896-03-28,138.0,159.0,3.0,3.0,17.0,184.0,179.0,0.0,0.0,1896,3.0
108,1896-04-04,159.0,61.0,2.0,1.0,17.0,592.0,189.0,0.0,1.0,1896,3.0
109,1897-02-20,61.0,138.0,6.0,0.0,17.0,1169.0,67.0,0.0,1.0,1897,3.0
110,1897-03-06,138.0,203.0,4.0,3.0,17.0,184.0,179.0,0.0,1.0,1897,3.0
111,1897-03-20,203.0,159.0,2.0,2.0,17.0,1800.0,242.0,0.0,0.0,1897,3.0
112,1897-03-27,159.0,138.0,5.0,1.0,17.0,592.0,189.0,0.0,1.0,1897,3.0
113,1897-03-29,61.0,203.0,4.0,0.0,17.0,1523.0,67.0,0.0,1.0,1897,3.0
114,1897-04-03,61.0,159.0,1.0,2.0,17.0,930.0,67.0,0.0,2.0,1897,3.0
115,1898-02-19,203.0,138.0,0.0,1.0,17.0,921.0,242.0,0.0,2.0,1898,3.0
116,1898-03-05,138.0,61.0,2.0,3.0,17.0,184.0,179.0,0.0,2.0,1898,3.0
117,1898-03-19,159.0,203.0,5.0,2.0,17.0,1090.0,189.0,0.0,1.0,1898,3.0
118,1898-03-26,138.0,159.0,0.0,3.0,17.0,184.0,179.0,0.0,2.0,1898,3.0
119,1898-03-28,203.0,61.0,0.0,3.0,17.0,1800.0,242.0,0.0,2.0,1898,3.0
120,1898-04-02,159.0,61.0,1.0,3.0,17.0,592.0,189.0,0.0,2.0,1898,3.0
121,1899-02-18,61.0,138.0,13.0,2.0,17.0,1589.0,67.0,0.0,1.0,1899,3.0
122,1899-03-04,138.0,203.0,1.0,0.0,17.0,184.0,179.0,0.0,1.0,1899,3.0
123,1899-03-18,203.0,159.0,0.0,6.0,17.0,1800.0,242.0,0.0,2.0,1899,3.0
124,1899-03-20,61.0,203.0,4.0,0.0,17.0,270.0,67.0,0.0,1.0,1899,3.0
125,1899-03-25,159.0,138.0,9.0,1.0,17.0,592.0,189.0,0.0,1.0,1899,3.0
126,1899-04-08,61.0,159.0,2.0,1.0,17.0,217.0,67.0,0.0,1.0,1899,3.0
127,1900-02-03,159.0,203.0,5.0,2.0,17.0,7.0,189.0,0.0,1.0,1900,3.0
128,1900-02-24,203.0,138.0,2.0,0.0,17.0,921.0,242.0,0.0,1.0,1900,3.0
129,1900-03-03,138.0,159.0,0.0,3.0,17.0,184.0,179.0,0.0,2.0,1900,3.0
130,1900-03-17,138.0,61.0,0.0,2.0,17.0,487.0,179.0,0.0,2.0,1900,3.0
131,1900-03-26,203.0,61.0,1.0,1.0,17.0,319.0,242.0,0.0,0.0,1900,3.0
132,1900-04-07,159.0,61.0,4.0,1.0,17.0,592.0,189.0,0.0,1.0,1900,3.0
133,1901-02-23,159.0,138.0,11.0,0.0,17.0,592.0,189.0,0.0,1.0,1901,3.0
134,1901-03-02,203.0,159.0,1.0,1.0,17.0,1800.0,242.0,0.0,0.0,1901,3.0
135,1901-03-09,61.0,138.0,3.0,0.0,17.0,1559.0,67.0,0.0,1.0,1901,3.0
136,1901-03-18,61.0,203.0,6.0,0.0,17.0,1147.0,67.0,0.0,1.0,1901,3.0
137,1901-03-23,138.0,203.0,0.0,1.0,17.0,184.0,179.0,0.0,2.0,1901,3.0
138,1901-03-30,61.0,159.0,2.0,2.0,17.0,930.0,67.0,0.0,0.0,1901,3.0
139,1902-02-22,203.0,138.0,0.0,3.0,17.0,319.0,242.0,0.0,2.0,1902,3.0
140,1902-03-01,138.0,159.0,1.0,5.0,17.0,184.0,179.0,0.0,2.0,1902,3.0
141,1902-03-03,203.0,61.0,0.0,0.0,17.0,1800.0,242.0,0.0,0.0,1902,3.0
142,1902-03-15,159.0,203.0,5.0,1.0,17.0,604.0,189.0,0.0,1.0,1902,3.0
143,1902-03-22,138.0,61.0,0.0,1.0,17.0,184.0,179.0,0.0,2.0,1902,3.0
144,1902-05-03,61.0,159.0,2.0,2.0,17.0,217.0,67.0,0.0,0.0,1902,3.0
145,1902-07-20,198.0,8.0,0.0,6.0,57.0,1075.0,235.0,0.0,2.0,1902,1.0
146,1902-10-12,12.0,86.0,5.0,0.0,57.0,1744.0,11.0,0.0,1.0,1902,3.0
147,1903-02-14,61.0,138.0,4.0,0.0,17.0,1798.0,67.0,0.0,1.0,1903,3.0
148,1903-03-02,61.0,203.0,2.0,1.0,17.0,1320.0,67.0,0.0,1.0,1903,3.0
149,1903-03-09,203.0,159.0,0.0,1.0,17.0,319.0,242.0,0.0,2.0,1903,3.0
150,1903-03-21,159.0,138.0,0.0,2.0,17.0,592.0,189.0,0.0,2.0,1903,3.0
151,1903-03-28,138.0,203.0,2.0,0.0,17.0,184.0,179.0,0.0,1.0,1903,3.0
152,1903-04-04,61.0,159.0,1.0,2.0,17.0,1523.0,67.0,0.0,2.0,1903,3.0
153,1903-04-05,86.0,52.0,2.0,1.0,57.0,280.0,99.0,0.0,1.0,1903,3.0
154,1903-06-11,86.0,12.0,3.0,2.0,57.0,280.0,99.0,0.0,1.0,1903,3.0
155,1903-09-13,8.0,198.0,2.0,3.0,57.0,281.0,7.0,0.0,2.0,1903,1.0
156,1903-10-11,12.0,86.0,4.0,2.0,57.0,1744.0,11.0,0.0,1.0,1903,3.0
157,1904-02-29,203.0,61.0,2.0,2.0,17.0,1800.0,242.0,0.0,0.0,1904,3.0
158,1904-03-12,138.0,61.0,1.0,3.0,17.0,184.0,179.0,0.0,2.0,1904,3.0
159,1904-03-12,159.0,203.0,1.0,1.0,17.0,492.0,189.0,0.0,0.0,1904,3.0
160,1904-03-21,203.0,138.0,0.0,1.0,17.0,151.0,242.0,0.0,2.0,1904,3.0
161,1904-03-26,138.0,159.0,1.0,1.0,17.0,487.0,179.0,0.0,0.0,1904,3.0
162,1904-04-09,159.0,61.0,0.0,1.0,17.0,592.0,189.0,0.0,2.0,1904,3.0
163,1904-05-01,19.0,69.0,3.0,3.0,57.0,274.0,19.0,0.0,0.0,1904,3.0
164,1904-06-02,86.0,12.0,3.0,0.0,57.0,280.0,99.0,0.0,1.0,1904,3.0
165,1904-10-09,12.0,86.0,5.0,4.0,57.0,1744.0,11.0,0.0,1.0,1904,3.0
166,1905-02-12,69.0,178.0,1.0,0.0,57.0,1243.0,76.0,0.0,1.0,1905,3.0
167,1905-02-25,61.0,138.0,1.0,1.0,17.0,1040.0,67.0,0.0,0.0,1905,3.0
168,1905-03-06,203.0,159.0,3.0,1.0,17.0,1800.0,242.0,0.0,1.0,1905,3.0
169,1905-03-18,159.0,138.0,4.0,0.0,17.0,592.0,189.0,0.0,1.0,1905,3.0
170,1905-03-27,61.0,203.0,3.0,1.0,17.0,916.0,67.0,0.0,1.0,1905,3.0
171,1905-04-01,61.0,159.0,1.0,0.0,17.0,930.0,67.0,0.0,1.0,1905,3.0
172,1905-04-08,138.0,203.0,2.0,2.0,17.0,184.0,179.0,0.0,0.0,1905,3.0
173,1905-04-09,86.0,12.0,0.0,0.0,57.0,280.0,99.0,0.0,0.0,1905,3.0
174,1905-04-30,19.0,131.0,1.0,4.0,57.0,81.0,19.0,0.0,2.0,1905,3.0
175,1905-05-07,19.0,69.0,7.0,0.0,57.0,274.0,19.0,0.0,1.0,1905,3.0
176,1905-05-14,131.0,19.0,4.0,0.0,57.0,1404.0,152.0,0.0,1.0,1905,3.0
177,1905-08-15,8.0,198.0,0.0,0.0,37.0,281.0,7.0,0.0,0.0,1905,1.0
178,1906-02-17,138.0,61.0,0.0,5.0,17.0,184.0,179.0,0.0,2.0,1906,3.0
