home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,day_of_week,month,year,date,match_id
Malawi,Zimbabwe,1,0,Friendly,Blantyre,Malawi,False,H,Saturday,January,1998,1998-01-03,21031.0
Barbados,Trinidad and Tobago,0,1,Friendly,Bridgetown,Barbados,False,A,Sunday,January,1998,1998-01-04,21032.0
Burkina Faso,Mozambique,1,0,Friendly,Bobo Dioulasso,Burkina Faso,False,H,Sunday,January,1998,1998-01-04,21033.0
Guinea,Togo,1,0,Friendly,Conakry,Guinea,False,H,Sunday,January,1998,1998-01-04,21034.0
Malawi,Zimbabwe,0,2,Friendly,Lilongwe,Malawi,False,A,Sunday,January,1998,1998-01-04,21035.0
Burkina Faso,Mozambique,4,2,Friendly,Ouagadougou,Burkina Faso,False,H,Wednesday,January,1998,1998-01-07,21036.0
Trinidad and Tobago,Jamaica,0,0,Friendly,Port of Spain,Trinidad and Tobago,False,D,Wednesday,January,1998,1998-01-07,21037.0
Malawi,Zambia,0,1,COSAFA Cup qualification,Blantyre,Malawi,False,A,Saturday,January,1998,1998-01-10,21038.0
Eswatini,Botswana,1,1,Friendly,Mbabane,Eswatini,False,D,Saturday,January,1998,1998-01-10,21039.0
Burkina Faso,Mali,0,0,Friendly,Ouagadougou,Burkina Faso,False,D,Sunday,January,1998,1998-01-11,21040.0
Togo,Mozambique,1,2,Friendly,Lomé,Togo,False,A,Sunday,January,1998,1998-01-11,21041.0
Lesotho,Botswana,0,0,Friendly,Maseru,Lesotho,False,D,Monday,January,1998,1998-01-12,21042.0
Ghana,Mozambique,0,0,Friendly,Accra,Ghana,False,D,Wednesday,January,1998,1998-01-14,21043.0
Morocco,Angola,2,1,Friendly,Casablanca,Morocco,False,H,Wednesday,January,1998,1998-01-14,21044.0
Gambia,Zambia,0,2,Friendly,Banjul,Gambia,False,A,Friday,January,1998,1998-01-16,21045.0
Lesotho,Zimbabwe,0,2,COSAFA Cup qualification,Maseru,Lesotho,False,A,Sunday,January,1998,1998-01-18,21046.0
Ghana,Mozambique,3,1,Friendly,Accra,Ghana,False,H,Monday,January,1998,1998-01-19,21047.0
Costa Rica,Honduras,1,4,Friendly,Nicoya,Costa Rica,False,A,Wednesday,January,1998,1998-01-21,21048.0
El Salvador,Trinidad and Tobago,2,0,Friendly,San Salvador,El Salvador,False,H,Wednesday,January,1998,1998-01-21,21049.0
Turkey,Albania,1,4,Friendly,Antalya,Turkey,False,A,Wednesday,January,1998,1998-01-21,21050.0
Namibia,South Africa,3,2,COSAFA Cup qualification,Windhoek,Namibia,False,H,Saturday,January,1998,1998-01-24,21051.0
United States,Sweden,1,0,Friendly,Orlando,United States,False,H,Saturday,January,1998,1998-01-24,21052.0
Botswana,Mozambique,1,2,COSAFA Cup qualification,Gaborone,Botswana,False,A,Sunday,January,1998,1998-01-25,21053.0
Thailand,Egypt,1,1,King's Cup,Bangkok,Thailand,False,D,Sunday,January,1998,1998-01-25,21054.0
Egypt,South Korea,0,2,King's Cup,Bangkok,Thailand,True,A,Tuesday,January,1998,1998-01-27,21055.0
Liberia,Burkina Faso,1,2,Friendly,Monrovia,Liberia,False,A,Tuesday,January,1998,1998-01-27,21056.0
Cameroon,Angola,1,0,Friendly,Garoua,Cameroon,False,H,Wednesday,January,1998,1998-01-28,21057.0
France,Spain,1,0,Friendly,Saint-Denis,France,False,H,Wednesday,January,1998,1998-01-28,21058.0
Iran,Nigeria,0,1,Lunar New Year Cup,So Kon Po,Hong Kong,True,A,Wednesday,January,1998,1998-01-28,21059.0
Italy,Slovakia,3,0,Friendly,Catania,Italy,False,H,Wednesday,January,1998,1998-01-28,21060.0
Tunisia,Serbia,0,3,Friendly,Tunis,Tunisia,False,A,Wednesday,January,1998,1998-01-28,21061.0
Ivory Coast,Mozambique,4,1,Friendly,Bouaké,Ivory Coast,False,H,Thursday,January,1998,1998-01-29,21062.0
Jamaica,Sweden,0,0,Friendly,Kingston,Jamaica,False,D,Thursday,January,1998,1998-01-29,21063.0
Thailand,South Korea,0,2,King's Cup,Bangkok,Thailand,False,A,Thursday,January,1998,1998-01-29,21064.0
Togo,Mali,2,1,Friendly,Lomé,Togo,False,H,Thursday,January,1998,1998-01-29,21065.0
Niger,Namibia,2,1,Friendly,Niamey,Niger,False,H,Friday,January,1998,1998-01-30,21066.0
Egypt,South Korea,1,1,King's Cup,Bangkok,Thailand,True,AP,Saturday,January,1998,1998-01-31,21067.0
Iran,Chile,1,1,Lunar New Year Cup,So Kon Po,Hong Kong,True,HP,Saturday,January,1998,1998-01-31,21068.0
Tunisia,Guinea,4,1,Friendly,Tunis,Tunisia,False,H,Saturday,January,1998,1998-01-31,21069.0
Burkina Faso,Namibia,3,1,Friendly,Niamey,Niger,True,H,Sunday,February,1998,1998-02-01,21070.0
Guatemala,El Salvador,0,0,Gold Cup,Los Angeles,United States,True,D,Sunday,February,1998,1998-02-01,21071.0
Honduras,Trinidad and Tobago,1,3,Gold Cup,Oakland,United States,True,A,Sunday,February,1998,1998-02-01,21072.0
Ivory Coast,Cameroon,1,0,Friendly,Bouaké,Ivory Coast,False,H,Sunday,February,1998,1998-02-01,21073.0
Togo,Mali,0,4,Friendly,Lomé,Togo,False,A,Sunday,February,1998,1998-02-01,21074.0
United States,Cuba,3,0,Gold Cup,Oakland,United States,False,H,Sunday,February,1998,1998-02-01,21075.0
Brazil,Jamaica,0,0,Gold Cup,Miami,United States,True,D,Tuesday,February,1998,1998-02-03,21076.0
Cuba,Costa Rica,2,7,Gold Cup,Oakland,United States,True,A,Wednesday,February,1998,1998-02-04,21077.0
Mali,Tunisia,0,1,Friendly,Bamako,Mali,False,A,Wednesday,February,1998,1998-02-04,21078.0
New Zealand,Chile,0,0,Friendly,Auckland,New Zealand,False,D,Wednesday,February,1998,1998-02-04,21079.0
Trinidad and Tobago,Mexico,2,4,Gold Cup,Oakland,United States,True,A,Wednesday,February,1998,1998-02-04,21080.0
Brazil,Guatemala,1,1,Gold Cup,Miami,United States,True,D,Thursday,February,1998,1998-02-05,21081.0
Cyprus,Finland,1,1,Cyprus International Tournament,Limassol,Cyprus,False,D,Thursday,February,1998,1998-02-05,21082.0
Iceland,Slovenia,2,3,Cyprus International Tournament,Limassol,Cyprus,True,A,Thursday,February,1998,1998-02-05,21083.0
Morocco,Niger,3,0,Friendly,Marrakech,Morocco,False,H,Thursday,February,1998,1998-02-05,21084.0
Georgia,Latvia,2,1,Malta International Tournament,Attard,Malta,True,H,Friday,February,1998,1998-02-06,21085.0
Malta,Albania,1,1,Malta International Tournament,Attard,Malta,False,D,Friday,February,1998,1998-02-06,21086.0
Slovenia,Slovakia,1,1,Cyprus International Tournament,Limassol,Cyprus,True,D,Friday,February,1998,1998-02-06,21087.0
Australia,Chile,0,1,Friendly,Melbourne,Australia,False,A,Saturday,February,1998,1998-02-07,21088.0
Burkina Faso,Cameroon,0,1,African Cup of Nations,Ouagadougou,Burkina Faso,False,A,Saturday,February,1998,1998-02-07,21089.0
Iceland,Slovakia,1,2,Cyprus International Tournament,Limassol,Cyprus,True,A,Saturday,February,1998,1998-02-07,21090.0
Mexico,Honduras,2,0,Gold Cup,Oakland,United States,True,H,Saturday,February,1998,1998-02-07,21091.0
New Zealand,South Korea,0,1,Friendly,Auckland,New Zealand,False,A,Saturday,February,1998,1998-02-07,21092.0
United States,Costa Rica,2,1,Gold Cup,Oakland,United States,False,H,Saturday,February,1998,1998-02-07,21093.0
Albania,Georgia,0,3,Malta International Tournament,Attard,Malta,True,A,Sunday,February,1998,1998-02-08,21094.0
Algeria,Guinea,0,1,African Cup of Nations,Ouagadougou,Burkina Faso,True,A,Sunday,February,1998,1998-02-08,21095.0
El Salvador,Brazil,0,4,Gold Cup,Los Angeles,United States,True,A,Sunday,February,1998,1998-02-08,21096.0
Guatemala,Jamaica,2,3,Gold Cup,Los Angeles,United States,True,A,Sunday,February,1998,1998-02-08,21097.0
Ivory Coast,Namibia,4,3,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,H,Sunday,February,1998,1998-02-08,21098.0
Malta,Latvia,2,1,Malta International Tournament,Attard,Malta,False,H,Sunday,February,1998,1998-02-08,21099.0
Paraguay,Poland,4,0,Friendly,Asunción,Paraguay,False,H,Sunday,February,1998,1998-02-08,21100.0
South Africa,Angola,0,0,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,D,Sunday,February,1998,1998-02-08,21101.0
DR Congo,Togo,2,1,African Cup of Nations,Ouagadougou,Burkina Faso,True,H,Monday,February,1998,1998-02-09,21102.0
Cyprus,Slovenia,1,0,Cyprus International Tournament,Limassol,Cyprus,False,H,Monday,February,1998,1998-02-09,21103.0
Finland,Slovakia,0,2,Cyprus International Tournament,Larnaca,Cyprus,True,A,Monday,February,1998,1998-02-09,21104.0
Ghana,Tunisia,2,0,African Cup of Nations,Ouagadougou,Burkina Faso,True,H,Monday,February,1998,1998-02-09,21105.0
Jamaica,El Salvador,2,0,Gold Cup,Los Angeles,United States,True,H,Monday,February,1998,1998-02-09,21106.0
Zambia,Morocco,1,1,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,D,Monday,February,1998,1998-02-09,21107.0
Albania,Latvia,2,2,Malta International Tournament,Attard,Malta,True,D,Tuesday,February,1998,1998-02-10,21108.0
Egypt,Mozambique,2,0,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,H,Tuesday,February,1998,1998-02-10,21109.0
Malta,Georgia,1,3,Malta International Tournament,Attard,Malta,False,A,Tuesday,February,1998,1998-02-10,21110.0
United States,Brazil,1,0,Gold Cup,Los Angeles,United States,False,H,Tuesday,February,1998,1998-02-10,21111.0
Australia,South Korea,1,0,Friendly,Sydney,Australia,False,H,Wednesday,February,1998,1998-02-11,21112.0
Burkina Faso,Algeria,2,1,African Cup of Nations,Ouagadougou,Burkina Faso,False,H,Wednesday,February,1998,1998-02-11,21113.0
Cameroon,Guinea,2,2,African Cup of Nations,Ouagadougou,Burkina Faso,True,D,Wednesday,February,1998,1998-02-11,21114.0
England,Chile,0,2,Friendly,London,England,False,A,Wednesday,February,1998,1998-02-11,21115.0
South Africa,Ivory Coast,1,1,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,D,Wednesday,February,1998,1998-02-11,21116.0
Angola,Namibia,3,3,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,D,Thursday,February,1998,1998-02-12,21117.0
Ghana,Togo,1,2,African Cup of Nations,Ouagadougou,Burkina Faso,True,A,Thursday,February,1998,1998-02-12,21118.0
Jamaica,Mexico,0,1,Gold Cup,Los Angeles,United States,True,A,Thursday,February,1998,1998-02-12,21119.0
Tunisia,DR Congo,2,1,African Cup of Nations,Ouagadougou,Burkina Faso,True,H,Thursday,February,1998,1998-02-12,21120.0
Morocco,Mozambique,3,0,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,H,Friday,February,1998,1998-02-13,21121.0
Zambia,Egypt,0,4,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,A,Friday,February,1998,1998-02-13,21122.0
Australia,Japan,0,3,Friendly,Adelaide,Australia,False,A,Sunday,February,1998,1998-02-15,21123.0
Brazil,Jamaica,1,0,Gold Cup,Los Angeles,United States,True,H,Sunday,February,1998,1998-02-15,21124.0
Burkina Faso,Guinea,1,0,African Cup of Nations,Ouagadougou,Burkina Faso,False,H,Sunday,February,1998,1998-02-15,21125.0
Cameroon,Algeria,2,1,African Cup of Nations,Ouagadougou,Burkina Faso,True,H,Sunday,February,1998,1998-02-15,21126.0
United States,Mexico,0,1,Gold Cup,Los Angeles,United States,False,A,Sunday,February,1998,1998-02-15,21127.0
Ghana,DR Congo,0,1,African Cup of Nations,Ouagadougou,Burkina Faso,True,A,Monday,February,1998,1998-02-16,21128.0
Ivory Coast,Angola,5,2,African Cup of Nations,Ouagadougou,Burkina Faso,True,H,Monday,February,1998,1998-02-16,21129.0
South Africa,Namibia,4,1,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,H,Monday,February,1998,1998-02-16,21130.0
Tunisia,Togo,3,1,African Cup of Nations,Ouagadougou,Burkina Faso,True,H,Monday,February,1998,1998-02-16,21131.0
Egypt,Morocco,0,1,African Cup of Nations,Ouagadougou,Burkina Faso,True,A,Tuesday,February,1998,1998-02-17,21132.0
Zambia,Mozambique,3,1,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,H,Tuesday,February,1998,1998-02-17,21133.0
Greece,Russia,1,1,Friendly,Athens,Greece,False,D,Wednesday,February,1998,1998-02-18,21134.0
Israel,Turkey,4,0,Friendly,Ramat-Gan,Israel,False,H,Wednesday,February,1998,1998-02-18,21135.0
Oman,Germany,0,2,Friendly,Muscat,Oman,False,A,Wednesday,February,1998,1998-02-18,21136.0
Cameroon,DR Congo,0,1,African Cup of Nations,Bobo Dioulasso,Burkina Faso,True,A,Friday,February,1998,1998-02-20,21137.0
Burkina Faso,Tunisia,1,1,African Cup of Nations,Ouagadougou,Burkina Faso,False,HP,Saturday,February,1998,1998-02-21,21138.0
Ivory Coast,Egypt,0,0,African Cup of Nations,Ouagadougou,Burkina Faso,True,AP,Saturday,February,1998,1998-02-21,21139.0
United States,Netherlands,0,2,Friendly,Miami Gardens,United States,False,A,Saturday,February,1998,1998-02-21,21140.0
Antigua and Barbuda,Dominica,1,1,Friendly,St. John's,Antigua and Barbuda,False,D,Sunday,February,1998,1998-02-22,21141.0
Jamaica,Nigeria,2,2,Friendly,Kingston,Jamaica,False,D,Sunday,February,1998,1998-02-22,21142.0
Morocco,South Africa,1,2,African Cup of Nations,Ouagadougou,Burkina Faso,True,A,Sunday,February,1998,1998-02-22,21143.0
Saudi Arabia,Germany,0,3,Friendly,Riyadh,Saudi Arabia,False,A,Sunday,February,1998,1998-02-22,21144.0
Argentina,Serbia,3,1,Friendly,Mar del Plata,Argentina,False,H,Tuesday,February,1998,1998-02-24,21145.0
Mexico,Netherlands,2,3,Friendly,Miami Gardens,United States,True,A,Tuesday,February,1998,1998-02-24,21146.0
Belgium,United States,2,0,Friendly,Brussels,Belgium,False,H,Wednesday,February,1998,1998-02-25,21147.0
Burkina Faso,Egypt,0,2,African Cup of Nations,Bobo Dioulasso,Burkina Faso,False,A,Wednesday,February,1998,1998-02-25,21148.0
DR Congo,South Africa,1,2,African Cup of Nations,Ouagadougou,Burkina Faso,True,A,Wednesday,February,1998,1998-02-25,21149.0
France,Norway,3,3,Friendly,Marseille,France,False,D,Wednesday,February,1998,1998-02-25,21150.0
Israel,Poland,2,0,Friendly,Ramat-Gan,Israel,False,H,Wednesday,February,1998,1998-02-25,21151.0
Burkina Faso,DR Congo,4,4,African Cup of Nations,Ouagadougou,Burkina Faso,False,AP,Friday,February,1998,1998-02-27,21152.0
South Africa,Egypt,0,2,African Cup of Nations,Ouagadougou,Burkina Faso,True,A,Saturday,February,1998,1998-02-28,21153.0
Barbados,Saint Kitts and Nevis,6,2,Friendly,Bridgetown,Barbados,False,H,Sunday,March,1998,1998-03-01,21154.0
China PR,Hong Kong,1,0,Dynasty Cup,Yokohama,Japan,True,H,Sunday,March,1998,1998-03-01,21155.0
Japan,South Korea,2,1,Dynasty Cup,Yokohama,Japan,False,H,Sunday,March,1998,1998-03-01,21156.0
Aruba,French Guiana,1,0,CFU Caribbean Cup qualification,Oranjestad,Aruba,False,H,Tuesday,March,1998,1998-03-03,21157.0
Saint Lucia,Saint Kitts and Nevis,2,0,Friendly,Castries,Saint Lucia,False,H,Tuesday,March,1998,1998-03-03,21158.0
Suriname,Curaçao,3,3,CFU Caribbean Cup qualification,Oranjestad,Aruba,True,D,Tuesday,March,1998,1998-03-03,21159.0
China PR,South Korea,1,2,Dynasty Cup,Yokohama,Japan,True,A,Wednesday,March,1998,1998-03-04,21160.0
Japan,Hong Kong,5,1,Dynasty Cup,Yokohama,Japan,False,H,Wednesday,March,1998,1998-03-04,21161.0
Aruba,Curaçao,0,1,CFU Caribbean Cup qualification,Oranjestad,Aruba,False,A,Thursday,March,1998,1998-03-05,21162.0
Saint Vincent and the Grenadines,Saint Kitts and Nevis,4,2,Friendly,Kingstown,Saint Vincent and the Grenadines,False,H,Thursday,March,1998,1998-03-05,21163.0
Suriname,French Guiana,2,2,CFU Caribbean Cup qualification,Oranjestad,Aruba,True,D,Thursday,March,1998,1998-03-05,21164.0
Aruba,Suriname,3,3,CFU Caribbean Cup qualification,Oranjestad,Aruba,False,D,Saturday,March,1998,1998-03-07,21165.0
Curaçao,French Guiana,2,1,CFU Caribbean Cup qualification,Oranjestad,Aruba,True,H,Saturday,March,1998,1998-03-07,21166.0
Japan,China PR,0,2,Dynasty Cup,Tokyo,Japan,False,A,Saturday,March,1998,1998-03-07,21167.0
Hong Kong,South Korea,0,1,Dynasty Cup,Tokyo,Japan,True,A,Sunday,March,1998,1998-03-08,21168.0
Eswatini,Angola,0,1,COSAFA Cup qualification,Lobamba,Eswatini,False,A,Sunday,March,1998,1998-03-08,21169.0
Argentina,Bulgaria,2,0,Friendly,Buenos Aires,Argentina,False,H,Tuesday,March,1998,1998-03-10,21170.0
Haiti,Puerto Rico,4,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False,H,Wednesday,March,1998,1998-03-11,21171.0
Dominican Republic,Puerto Rico,3,1,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,True,H,Friday,March,1998,1998-03-13,21172.0
Burma,Brunei,4,1,AFF Championship,Rangoon,Burma,False,H,Saturday,March,1998,1998-03-14,21173.0
United States,Paraguay,2,2,Friendly,San Diego,United States,False,D,Saturday,March,1998,1998-03-14,21174.0
Haiti,Dominican Republic,5,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False,H,Sunday,March,1998,1998-03-15,21175.0
Laos,Brunei,2,1,AFF Championship,Rangoon,Burma,True,H,Monday,March,1998,1998-03-16,21176.0
Burma,Laos,3,0,AFF Championship,Rangoon,Burma,False,H,Wednesday,March,1998,1998-03-18,21177.0
Mexico,Paraguay,1,1,Friendly,Mexico City,Mexico,False,D,Wednesday,March,1998,1998-03-18,21178.0
Romania,Israel,0,1,Friendly,Bucharest,Romania,False,A,Wednesday,March,1998,1998-03-18,21179.0
Saint Lucia,Barbados,2,1,CFU Caribbean Cup qualification,Castries,Saint Lucia,False,H,Wednesday,March,1998,1998-03-18,21180.0
Martinique,Barbados,4,1,CFU Caribbean Cup qualification,Castries,Saint Lucia,True,H,Friday,March,1998,1998-03-20,21181.0
Saint Lucia,Saint Vincent and the Grenadines,3,2,CFU Caribbean Cup qualification,Castries,Saint Lucia,False,H,Friday,March,1998,1998-03-20,21182.0
Azerbaijan,Moldova,1,0,Friendly,Baku,Azerbaijan,False,H,Sunday,March,1998,1998-03-22,21183.0
Saint Lucia,Martinique,1,2,CFU Caribbean Cup qualification,Castries,Saint Lucia,False,A,Sunday,March,1998,1998-03-22,21184.0
United States Virgin Islands,British Virgin Islands,1,0,Friendly,St. Croix Island,United States Virgin Islands,False,H,Sunday,March,1998,1998-03-22,21185.0
Singapore,Philippines,1,0,AFF Championship,Singapore,Singapore,False,H,Tuesday,March,1998,1998-03-24,21186.0
Austria,Hungary,2,3,Friendly,Vienna,Austria,False,A,Wednesday,March,1998,1998-03-25,21187.0
Belgium,Norway,2,2,Friendly,Brussels,Belgium,False,D,Wednesday,March,1998,1998-03-25,21188.0
Colombia,Serbia,0,0,Friendly,Bogotá,Colombia,False,D,Wednesday,March,1998,1998-03-25,21189.0
Czech Republic,Republic of Ireland,2,1,Friendly,Olomouc,Czech Republic,False,H,Wednesday,March,1998,1998-03-25,21190.0
Germany,Brazil,1,2,Friendly,Stuttgart,Germany,False,A,Wednesday,March,1998,1998-03-25,21191.0
North Macedonia,Bulgaria,1,0,Friendly,Skopje,North Macedonia,False,H,Wednesday,March,1998,1998-03-25,21192.0
Malta,Finland,0,2,Friendly,Attard,Malta,False,A,Wednesday,March,1998,1998-03-25,21193.0
Northern Ireland,Slovakia,1,0,Friendly,Belfast,Northern Ireland,False,H,Wednesday,March,1998,1998-03-25,21194.0
Poland,Slovenia,2,0,Friendly,Warsaw,Poland,False,H,Wednesday,March,1998,1998-03-25,21195.0
Russia,France,1,0,Friendly,Moscow,Russia,False,H,Wednesday,March,1998,1998-03-25,21196.0
Scotland,Denmark,0,1,Friendly,Glasgow,Scotland,False,A,Wednesday,March,1998,1998-03-25,21197.0
Spain,Sweden,4,0,Friendly,Vigo,Spain,False,H,Wednesday,March,1998,1998-03-25,21198.0
Switzerland,England,1,1,Friendly,Berne,Switzerland,False,D,Wednesday,March,1998,1998-03-25,21199.0
Wales,Jamaica,0,0,Friendly,Cardiff,Wales,False,D,Wednesday,March,1998,1998-03-25,21200.0
Cambodia,Philippines,1,1,AFF Championship,Singapore,Singapore,True,D,Thursday,March,1998,1998-03-26,21201.0
Singapore,Cambodia,3,0,AFF Championship,Singapore,Singapore,False,H,Saturday,March,1998,1998-03-28,21202.0
Colombia,Paraguay,1,1,Friendly,New Haven,United States,True,D,Sunday,March,1998,1998-03-29,21203.0
Antigua and Barbuda,Saint Lucia,1,1,Friendly,St. John's,Antigua and Barbuda,False,D,Wednesday,April,1998,1998-04-01,21204.0
Dominica,Guadeloupe,1,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True,D,Wednesday,April,1998,1998-04-01,21205.0
South Korea,Japan,2,1,Friendly,Seoul,South Korea,False,H,Wednesday,April,1998,1998-04-01,21206.0
Saint Kitts and Nevis,British Virgin Islands,4,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False,H,Wednesday,April,1998,1998-04-01,21207.0
Guadeloupe,British Virgin Islands,3,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True,H,Friday,April,1998,1998-04-03,21208.0
Saint Kitts and Nevis,Dominica,1,2,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False,A,Friday,April,1998,1998-04-03,21209.0
Dominica,British Virgin Islands,4,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True,H,Sunday,April,1998,1998-04-05,21210.0
Saint Kitts and Nevis,Guadeloupe,2,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False,H,Sunday,April,1998,1998-04-05,21211.0
Romania,Greece,2,1,Friendly,Bucharest,Romania,False,H,Wednesday,April,1998,1998-04-08,21212.0
Iran,Kuwait,1,1,Friendly,Teheran,Iran,False,D,Tuesday,April,1998,1998-04-14,21213.0
Grenada,Anguilla,14,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True,H,Wednesday,April,1998,1998-04-15,21214.0
Israel,Argentina,2,1,Friendly,Jerusalem,Israel,False,H,Wednesday,April,1998,1998-04-15,21215.0
Mexico,Peru,1,0,Friendly,Los Angeles,United States,True,H,Wednesday,April,1998,1998-04-15,21216.0
Slovakia,South Korea,0,0,Friendly,Bratislava,Slovakia,False,D,Wednesday,April,1998,1998-04-15,21217.0
North Macedonia,South Korea,2,2,Friendly,Skopje,North Macedonia,False,D,Saturday,April,1998,1998-04-18,21218.0
Antigua and Barbuda,Grenada,2,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False,H,Sunday,April,1998,1998-04-19,21219.0
Guyana,Anguilla,14,0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True,H,Sunday,April,1998,1998-04-19,21220.0
Zimbabwe,Namibia,5,2,COSAFA Cup,Harare,Zimbabwe,False,H,Sunday,April,1998,1998-04-19,21221.0
Iran,Hungary,0,2,Friendly,Teheran,Iran,False,A,Monday,April,1998,1998-04-20,21222.0
Jamaica,North Macedonia,1,2,Friendly,Teheran,Iran,True,A,Monday,April,1998,1998-04-20,21223.0
Latvia,Lithuania,1,2,Baltic Cup,Liepāja,Latvia,False,A,Tuesday,April,1998,1998-04-21,21224.0
Austria,United States,0,3,Friendly,Vienna,Austria,False,A,Wednesday,April,1998,1998-04-22,21225.0
Belgium,Romania,1,1,Friendly,Brussels,Belgium,False,D,Wednesday,April,1998,1998-04-22,21226.0
Bulgaria,Morocco,2,1,Friendly,Sofia,Bulgaria,False,H,Wednesday,April,1998,1998-04-22,21227.0
Chile,Colombia,2,2,Friendly,Santiago,Chile,False,D,Wednesday,April,1998,1998-04-22,21228.0
Croatia,Poland,4,1,Friendly,Osijek,Croatia,False,H,Wednesday,April,1998,1998-04-22,21229.0
Denmark,Norway,0,2,Friendly,Copenhagen,Denmark,False,A,Wednesday,April,1998,1998-04-22,21230.0
England,Portugal,3,0,Friendly,London,England,False,H,Wednesday,April,1998,1998-04-22,21231.0
Germany,Nigeria,1,0,Friendly,Cologne,Germany,False,H,Wednesday,April,1998,1998-04-22,21232.0
Hungary,North Macedonia,0,0,Friendly,Teheran,Iran,True,HP,Wednesday,April,1998,1998-04-22,21233.0
Iran,Jamaica,1,0,Friendly,Teheran,Iran,False,H,Wednesday,April,1998,1998-04-22,21234.0
Republic of Ireland,Argentina,0,2,Friendly,Dublin,Republic of Ireland,False,A,Wednesday,April,1998,1998-04-22,21235.0
Italy,Paraguay,3,1,Friendly,Parma,Italy,False,H,Wednesday,April,1998,1998-04-22,21236.0
Northern Ireland,Switzerland,1,0,Friendly,Belfast,Northern Ireland,False,H,Wednesday,April,1998,1998-04-22,21237.0
Russia,Turkey,1,0,Friendly,Moscow,Russia,False,H,Wednesday,April,1998,1998-04-22,21238.0
Scotland,Finland,1,1,Friendly,Edinburgh,Scotland,False,D,Wednesday,April,1998,1998-04-22,21239.0
Serbia,South Korea,3,1,Friendly,Belgrade,Yugoslavia,False,H,Wednesday,April,1998,1998-04-22,21240.0
Slovenia,Czech Republic,1,3,Friendly,Murska Sobota,Slovenia,False,A,Wednesday,April,1998,1998-04-22,21241.0
Sweden,France,0,0,Friendly,Solna,Sweden,False,D,Wednesday,April,1998,1998-04-22,21242.0
Azerbaijan,Uzbekistan,2,1,Friendly,Baku,Azerbaijan,False,H,Friday,April,1998,1998-04-24,21243.0
Brazil,Argentina,0,1,Friendly,Rio de Janeiro,Brazil,False,A,Wednesday,April,1998,1998-04-29,21244.0
Chile,Lithuania,1,0,Friendly,Santiago,Chile,False,H,Wednesday,April,1998,1998-04-29,21245.0
Tunisia,Georgia,1,1,Friendly,Sousse,Tunisia,False,D,Saturday,May,1998,1998-05-02,21246.0
Angola,Zambia,1,1,COSAFA Cup,Luanda,Angola,False,D,Sunday,May,1998,1998-05-03,21247.0
Jamaica,Saudi Arabia,0,0,Friendly,Nice,France,True,D,Monday,May,1998,1998-05-04,21248.0
Jersey,Guernsey,2,0,Friendly,St. Helier,Jersey,False,H,Monday,May,1998,1998-05-04,21249.0
Cayman Islands,Cuba,2,2,CFU Caribbean Cup qualification,George Town,Cayman Islands,False,D,Wednesday,May,1998,1998-05-06,21250.0
Cuba,Bermuda,2,1,CFU Caribbean Cup qualification,George Town,Cayman Islands,True,H,Friday,May,1998,1998-05-08,21251.0
Estonia,Mexico,0,6,Friendly,Montecatini Terme,Italy,True,A,Saturday,May,1998,1998-05-09,21252.0
Saudi Arabia,Trinidad and Tobago,2,1,Friendly,Cannes,France,True,H,Saturday,May,1998,1998-05-09,21253.0
Cayman Islands,Bermuda,2,0,CFU Caribbean Cup qualification,George Town,Cayman Islands,False,H,Sunday,May,1998,1998-05-10,21254.0
Iceland,Saudi Arabia,1,1,Friendly,Cannes,France,True,D,Wednesday,May,1998,1998-05-13,21255.0
Argentina,Bosnia and Herzegovina,5,0,Friendly,Córdoba,Argentina,False,H,Thursday,May,1998,1998-05-14,21256.0
Corsica,Cameroon,0,1,Friendly,Bastia,France,False,A,Thursday,May,1998,1998-05-14,21257.0
Estonia,Azerbaijan,0,0,Friendly,Viljandi,Estonia,False,D,Saturday,May,1998,1998-05-16,21258.0
