,Unnamed: 0.1,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent
26895,29901,2008-01-02,Kuwait,Lebanon,3.0,2.0,Friendly,Salmiya,Kuwait,False,Home,2008,Asia
26896,29902,2008-01-05,Egypt,Namibia,3.0,0.0,Friendly,Aswan,Egypt,False,Home,2008,Africa
26897,29903,2008-01-06,Tunisia,Zambia,1.0,2.0,Friendly,Radès,Tunisia,False,Away,2008,Africa
26898,29904,2008-01-08,Tunisia,Zambia,1.0,0.0,Friendly,Radès,Tunisia,False,Home,2008,Africa
26899,29905,2008-01-09,Nigeria,Sudan,2.0,0.0,Friendly,Estepona,Spain,True,Home,2008,Europe
26900,29906,2008-01-10,Egypt,Mali,1.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,True,Home,2008,Asia
26901,29907,2008-01-10,Qatar,IR Iran,0.0,0.0,Friendly,Doha,Qatar,False,Draw,2008,Asia
26902,29908,2008-01-10,United Arab Emirates,China PR,0.0,0.0,Friendly,Dubai,United Arab Emirates,False,Draw,2008,Asia
26903,29909,2008-01-11,Guinea,Sudan,6.0,0.0,Friendly,Estepona,Spain,True,Home,2008,Europe
26904,29910,2008-01-12,Kuwait,Côte d'Ivoire,0.0,2.0,Friendly,Kuwait City,Kuwait,False,Away,2008,Asia
26905,29911,2008-01-12,Morocco,Zambia,2.0,0.0,Friendly,Fès,Morocco,False,Home,2008,Africa
26906,29912,2008-01-12,Senegal,Namibia,3.0,1.0,Friendly,Dakar,Senegal,False,Home,2008,Africa
26907,29913,2008-01-13,Angola,Egypt,3.0,3.0,Friendly,Alverca do Ribatejo,Portugal,True,Draw,2008,Europe
26908,29914,2008-01-13,Barbados,Antigua and Barbuda,3.0,2.0,Friendly,Black Rock,Barbados,False,Home,2008,America
26909,29915,2008-01-13,Costa Rica,Sweden,0.0,1.0,Friendly,San José,Costa Rica,False,Away,2008,America
26910,29916,2008-01-13,South Africa,Mozambique,2.0,0.0,Friendly,Durban,South Africa,False,Home,2008,Africa
26911,29917,2008-01-13,Syria,Qatar,0.0,0.0,Friendly,Damascus,Syria,False,Draw,2008,Asia
26912,29918,2008-01-16,Bahrain,Kuwait,1.0,0.0,Friendly,Manama,Bahrain,False,Home,2008,Asia
26913,29919,2008-01-16,Benin,Senegal,1.0,2.0,Friendly,Ouagadougou,Burkina Faso,True,Away,2008,Africa
26914,29920,2008-01-16,Bermuda,Puerto Rico,0.0,2.0,Friendly,Hamilton,Bermuda,False,Away,2008,America
26915,29921,2008-01-16,Morocco,Angola,2.0,1.0,Friendly,Rabat,Morocco,False,Home,2008,Africa
26916,29922,2008-01-16,South Africa,Botswana,2.0,1.0,Friendly,Umlazi,South Africa,False,Home,2008,Africa
26917,29923,2008-01-18,Bermuda,Puerto Rico,0.0,1.0,Friendly,Hamilton,Bermuda,False,Away,2008,America
26918,29925,2008-01-19,USA,Sweden,2.0,0.0,Friendly,Carson,USA,False,Home,2008,America
26919,29926,2008-01-20,China PR,Lebanon,0.0,0.0,Friendly,Zhongshan,China PR,False,Draw,2008,Asia
26920,29927,2008-01-20,Ghana,Guinea,2.0,1.0,African Cup of Nations,Accra,Ghana,False,Home,2008,Africa
26921,29928,2008-01-20,Guyana,Grenada,1.0,2.0,Friendly,Georgetown,Guyana,False,Away,2008,America
26922,29929,2008-01-21,Mali,Benin,1.0,0.0,African Cup of Nations,Sekondi,Ghana,True,Home,2008,Africa
26923,29930,2008-01-21,Namibia,Morocco,1.0,5.0,African Cup of Nations,Accra,Ghana,True,Away,2008,Africa
26924,29931,2008-01-21,Nigeria,Côte d'Ivoire,0.0,1.0,African Cup of Nations,Sekondi,Ghana,True,Away,2008,Africa
26925,29932,2008-01-22,Belize,El Salvador,0.0,1.0,Friendly,San Ignacio,Belize,False,Away,2008,America
26926,29933,2008-01-22,Egypt,Cameroon,4.0,2.0,African Cup of Nations,Kumasi,Ghana,True,Home,2008,Africa
26927,29934,2008-01-22,Sudan,Zambia,0.0,3.0,African Cup of Nations,Kumasi,Ghana,True,Away,2008,Africa
26928,29935,2008-01-23,Bahrain,Syria,1.0,2.0,Friendly,Manama,Bahrain,False,Away,2008,Asia
26929,29936,2008-01-23,South Africa,Angola,1.0,1.0,African Cup of Nations,Tamale,Ghana,True,Draw,2008,Africa
26930,29937,2008-01-23,Tunisia,Senegal,2.0,2.0,African Cup of Nations,Tamale,Ghana,True,Draw,2008,Africa
26931,29938,2008-01-24,Ghana,Namibia,1.0,0.0,African Cup of Nations,Accra,Ghana,False,Home,2008,Africa
26932,29939,2008-01-24,Guinea,Morocco,3.0,2.0,African Cup of Nations,Accra,Ghana,True,Home,2008,Africa
26933,29940,2008-01-24,Iraq,Jordan,1.0,1.0,Friendly,Dubai,United Arab Emirates,True,Draw,2008,Asia
26934,29941,2008-01-24,Kuwait,Singapore,0.0,2.0,Friendly,Muscat,Oman,True,Away,2008,Asia
26935,29942,2008-01-25,Côte d'Ivoire,Benin,4.0,1.0,African Cup of Nations,Sekondi,Ghana,True,Home,2008,Africa
26936,29943,2008-01-25,Nigeria,Mali,0.0,0.0,African Cup of Nations,Sekondi,Ghana,True,Draw,2008,Africa
26937,29944,2008-01-26,Bahrain,Yemen,2.0,1.0,Friendly,Manama,Bahrain,False,Home,2008,Asia
26938,29945,2008-01-26,Cameroon,Zambia,5.0,1.0,African Cup of Nations,Kumasi,Ghana,True,Home,2008,Africa
26939,29946,2008-01-26,Egypt,Sudan,3.0,0.0,African Cup of Nations,Kumasi,Ghana,True,Home,2008,Africa
26940,29947,2008-01-26,Haiti,El Salvador,0.0,0.0,Friendly,Port-au-Prince,Haiti,False,Draw,2008,America
26941,29948,2008-01-26,Japan,Chile,0.0,0.0,Friendly,Tokyo,Japan,False,Draw,2008,Asia
26942,29949,2008-01-26,Puerto Rico,Trinidad and Tobago,2.0,2.0,Friendly,Bayamón,Puerto Rico,False,Draw,2008,America
26943,29950,2008-01-27,China PR,Syria,2.0,1.0,Friendly,Zhongshan,China PR,False,Home,2008,Asia
26944,29951,2008-01-27,Oman,Singapore,2.0,0.0,Friendly,Muscat,Oman,False,Home,2008,Asia
26945,29952,2008-01-27,Senegal,Angola,1.0,3.0,African Cup of Nations,Tamale,Ghana,True,Away,2008,Africa
26946,29953,2008-01-27,Tunisia,South Africa,3.0,1.0,African Cup of Nations,Tamale,Ghana,True,Home,2008,Africa
26947,29954,2008-01-28,Ghana,Morocco,2.0,0.0,African Cup of Nations,Accra,Ghana,False,Home,2008,Africa
26948,29955,2008-01-28,Guinea,Namibia,1.0,1.0,African Cup of Nations,Sekondi,Ghana,True,Draw,2008,Africa
26949,29956,2008-01-28,Jordan,Lebanon,4.0,1.0,Friendly,Amman,Jordan,False,Home,2008,Asia
26950,29957,2008-01-29,Haiti,El Salvador,0.0,0.0,Friendly,Saint-Marc,Haiti,False,Draw,2008,America
26951,29958,2008-01-29,Côte d'Ivoire,Mali,3.0,0.0,African Cup of Nations,Accra,Ghana,True,Home,2008,Africa
26952,29959,2008-01-29,Nigeria,Benin,2.0,0.0,African Cup of Nations,Sekondi,Ghana,True,Home,2008,Africa
26953,29960,2008-01-29,Trinidad and Tobago,Guyana,2.0,1.0,Friendly,Couva,Trinidad and Tobago,False,Home,2008,America
26954,29961,2008-01-30,Cameroon,Sudan,3.0,0.0,African Cup of Nations,Tamale,Ghana,True,Home,2008,Africa
26955,29962,2008-01-30,Egypt,Zambia,1.0,1.0,African Cup of Nations,Kumasi,Ghana,True,Draw,2008,Africa
26956,29963,2008-01-30,IR Iran,Costa Rica,0.0,0.0,Friendly,Teheran,IR Iran,False,Draw,2008,Asia
26957,29964,2008-01-30,Japan,Bosnia and Herzegovina,3.0,0.0,Friendly,Tokyo,Japan,False,Home,2008,Asia
26958,29965,2008-01-30,Korea Republic,Chile,0.0,1.0,Friendly,Seoul,Korea Republic,False,Away,2008,Asia
26959,29967,2008-01-30,Oman,Kuwait,1.0,1.0,Friendly,Muscat,Oman,False,Draw,2008,Asia
26960,29968,2008-01-30,Saudi Arabia,Luxembourg,2.0,1.0,Friendly,Riyadh,Saudi Arabia,False,Home,2008,Asia
26961,29969,2008-01-31,Jordan,Singapore,2.0,1.0,Friendly,Zarqa,Jordan,False,Home,2008,Asia
26962,29970,2008-01-31,Senegal,South Africa,1.0,1.0,African Cup of Nations,Kumasi,Ghana,True,Draw,2008,Africa
26963,29971,2008-01-31,Tunisia,Angola,0.0,0.0,African Cup of Nations,Tamale,Ghana,True,Draw,2008,Africa
26964,29972,2008-01-31,United Arab Emirates,Iraq,0.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,False,Away,2008,Asia
26965,29973,2008-02-02,Belarus,Iceland,2.0,0.0,Malta International Tournament,Attard,Malta,True,Home,2008,Europe
26966,29974,2008-02-02,Malta,Armenia,0.0,1.0,Malta International Tournament,Attard,Malta,False,Away,2008,Europe
26967,29975,2008-02-03,Azerbaijan,Kazakhstan,0.0,0.0,Friendly,Antalya,Turkey,True,Draw,2008,Europe
26968,29976,2008-02-03,Bermuda,Cayman Islands,1.0,1.0,FIFA World Cup qualification,Hamilton,Bermuda,False,Draw,2008,America
26969,29977,2008-02-03,Ghana,Nigeria,2.0,1.0,African Cup of Nations,Accra,Ghana,False,Home,2008,Africa
26970,29978,2008-02-03,Côte d'Ivoire,Guinea,5.0,0.0,African Cup of Nations,Sekondi,Ghana,True,Home,2008,Africa
26971,29979,2008-02-03,Venezuela,Haiti,1.0,0.0,Friendly,Maturín,Venezuela,False,Home,2008,America
26972,29980,2008-02-04,Armenia,Belarus,2.0,1.0,Malta International Tournament,Attard,Malta,True,Home,2008,Europe
26973,29981,2008-02-04,Egypt,Angola,2.0,1.0,African Cup of Nations,Kumasi,Ghana,True,Home,2008,Africa
